[6.842613220214844e-05]Start running EvoMol from [H][H]...
[0.0007753372192382812] Updated in round 1! max:(0.02702702702702703, 'C=C'), min:(-99999, '')
[0.0015196800231933594] Updated in round 2! max:(0.05405405405405406, 'C=CC=C'), min:(-99999, '')
[0.0036246776580810547] Updated in round 3! max:(0.08108108108108109, 'C=CC=CC=C'), min:(-99999, '')
[0.0068662166595458984] Updated in round 4! max:(0.10810810810810811, 'c1ccccc1'), min:(-99999, '')
[0.010839700698852539] Updated in round 5! max:(0.13513513513513514, 'C=Cc1ccccc1'), min:(-99999, '')
[0.015276193618774414] Updated in round 6! max:(0.16216216216216217, 'C=Cc1ccccc1C=C'), min:(-99999, '')
[0.02033400535583496] Updated in round 7! max:(0.1891891891891892, 'C=Cc1ccc(C=C)c(C=C)c1'), min:(-99999, '')
[0.02655768394470215] Updated in round 8! max:(0.21621621621621623, 'C=CC(=C)c1cc(C=C)ccc1C=C'), min:(-99999, '')
[0.03525137901306152] Updated in round 9! max:(0.24324324324324326, 'C=Cc1ccc2cccc(C=C)c2c1'), min:(-99999, '')
[0.04440760612487793] Updated in round 10! max:(0.2702702702702703, 'C=Cc1ccc2cccc(C=C)c2c1C=C'), min:(-99999, '')
[0.05540800094604492] Updated in round 11! max:(0.2972972972972973, 'C=Cc1cccc2ccc3ccccc3c12'), min:(-99999, '')
[0.0657198429107666] Updated in round 12! max:(0.2972972972972973, 'C=Cc1cccc2ccc3ccccc3c12'), min:(-99999, '')
[0.06931066513061523] Updated in round 13! max:(0.32432432432432434, 'C=Cc1ccc2ccc3ccccc3c2c1C=C'), min:(-99999, '')
[0.08346414566040039] Updated in round 14! max:(0.35135135135135137, 'C=CC=Cc1c(C=C)ccc2ccc3ccccc3c12'), min:(-99999, '')
[0.10309863090515137] Updated in round 15! max:(0.3783783783783784, 'C=CC=Cc1ccc2ccc3ccccc3c2c1C=CC=C'), min:(-99999, '')
[0.12713384628295898] Updated in round 16! max:(0.3783783783783784, 'C=CC=Cc1ccc2ccc3ccccc3c2c1C=CC=C'), min:(-99999, '')
[0.1344776153564453] Updated in round 17! max:(0.40540540540540543, 'c1ccccc2c(ccc1)ccc1ccc3ccccc3c12'), min:(-99999, '')
[0.15845251083374023] Updated in round 18! max:(0.40540540540540543, 'c1ccccc2c(ccc1)ccc1ccc3ccccc3c12'), min:(-99999, '')
[0.1631159782409668] Updated in round 19! max:(0.43243243243243246, 'c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c21'), min:(-99999, '')
[0.18288326263427734] Updated in round 20! max:(0.43243243243243246, 'c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c21'), min:(-99999, '')
[0.18616819381713867] Updated in round 21! max:(0.43243243243243246, 'c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c21'), min:(-99999, '')
[0.18909573554992676] Updated in round 22! max:(0.43243243243243246, 'c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c21'), min:(-99999, '')
[0.19366002082824707] Updated in round 23! max:(0.4594594594594595, 'C=Cc1ccc2ccc3c(ccc4ccc5ccccc5c43)c2c1'), min:(-99999, '')
[0.22255969047546387] Updated in round 24! max:(0.4864864864864865, 'C=Cc1ccc2ccc3c(ccc4ccc5cccc(C=C)c5c43)c2c1'), min:(-99999, '')
[0.2563478946685791] Updated in round 25! max:(0.4864864864864865, 'C=Cc1ccc2ccc3c(ccc4ccc5cccc(C=C)c5c43)c2c1'), min:(-99999, '')
[0.2642490863800049] Updated in round 26! max:(0.4864864864864865, 'C=Cc1ccc2ccc3c(ccc4ccc5cccc(C=C)c5c43)c2c1'), min:(-99999, '')
[0.2715303897857666] Updated in round 27! max:(0.4864864864864865, 'C=Cc1ccc2ccc3c(ccc4ccc5cccc(C=C)c5c43)c2c1'), min:(-99999, '')
[0.27954888343811035] Updated in round 28! max:(0.4864864864864865, 'C=Cc1ccc2ccc3c(ccc4ccc5cccc(C=C)c5c43)c2c1'), min:(-99999, '')
[0.28537535667419434] Updated in round 29! max:(0.4864864864864865, 'C=Cc1ccc2ccc3c(ccc4ccc5cccc(C=C)c5c43)c2c1'), min:(-99999, '')
[0.2942070960998535] Updated in round 30! max:(0.5135135135135135, 'C=CC=Cc1cccc2ccc3ccc4c5cc(C=C)ccc5ccc4c3c12'), min:(-99999, '')
[0.3393995761871338] Updated in round 31! max:(0.5135135135135135, 'C=CC=Cc1cccc2ccc3ccc4c5cc(C=C)ccc5ccc4c3c12'), min:(-99999, '')
[0.3515479564666748] Updated in round 32! max:(0.5405405405405406, 'C=CC=C(C=C)c1cccc2ccc3ccc4c5cc(C=C)ccc5ccc4c3c12'), min:(-99999, '')
[0.4038231372833252] Updated in round 33! max:(0.5405405405405406, 'C=CC=C(C=C)c1cccc2ccc3ccc4c5cc(C=C)ccc5ccc4c3c12'), min:(-99999, '')
[0.41626453399658203] Updated in round 34! max:(0.5675675675675675, 'C=CC=C(C(=C)C=C)c1cccc2ccc3ccc4c5cc(C=C)ccc5ccc4c3c12'), min:(-99999, '')
[0.4744300842285156] Updated in round 35! max:(0.5945945945945946, 'C=CC(=C)C(=C(C=C)C=C)c1cccc2ccc3ccc4c5cc(C=C)ccc5ccc4c3c12'), min:(-99999, '')
[0.537569522857666] Updated in round 36! max:(0.5945945945945946, 'C=CC(=C)C(=C(C=C)C=C)c1cccc2ccc3ccc4c5cc(C=C)ccc5ccc4c3c12'), min:(-99999, '')
[0.5445168018341064] Updated in round 37! max:(0.5945945945945946, 'C=CC(=C)C(=C(C=C)C=C)c1cccc2ccc3ccc4c5cc(C=C)ccc5ccc4c3c12'), min:(-99999, '')
[0.5612304210662842] Updated in round 38! max:(0.6216216216216216, 'C=CC(=C)c1c(C=C)ccc2ccc3ccc4ccc5c6cc(C=C)ccc6ccc5c4c3c12'), min:(-99999, '')
[0.625762939453125] Updated in round 39! max:(0.6216216216216216, 'C=CC(=C)c1c(C=C)ccc2ccc3ccc4ccc5c6cc(C=C)ccc6ccc5c4c3c12'), min:(-99999, '')
[0.6408283710479736] Updated in round 40! max:(0.6216216216216216, 'C=CC(=C)c1c(C=C)ccc2ccc3ccc4ccc5c6cc(C=C)ccc6ccc5c4c3c12'), min:(-99999, '')
[0.6569533348083496] Updated in round 41! max:(0.6486486486486487, 'C=CC(=C)C(=C)c1c(C=C)ccc2ccc3ccc4ccc5c6cc(C=C)ccc6ccc5c4c3c12'), min:(-99999, '')
