[6.4849853515625e-05]Start running EvoMol from [H][H]...
[0.0016012191772460938] Updated in round 1! max:(0.1, 'c1ccccc1'), min:(-99999, '')
[0.0064907073974609375] Updated in round 2! max:(0.125, 'C#Cc1ccccc1'), min:(-99999, '')
[0.011062860488891602] Updated in round 3! max:(0.225, 'C(#Cc1ccccc1)c1ccccc1'), min:(-99999, '')
[0.020450592041015625] Updated in round 4! max:(0.225, 'C(#Cc1ccccc1)c1ccccc1'), min:(-99999, '')
[0.02271127700805664] Updated in round 5! max:(0.25, 'C#Cc1ccccc1C#Cc1ccccc1'), min:(-99999, '')
[0.033620357513427734] Updated in round 6! max:(0.275, 'C#Cc1cccc(C#Cc2ccccc2C#C)c1'), min:(-99999, '')
[0.04440712928771973] Updated in round 7! max:(0.375, 'C#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2)c1'), min:(-99999, '')
[0.06664133071899414] Updated in round 8! max:(0.4, 'C#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2)c1C#C'), min:(-99999, '')
[0.08928847312927246] Updated in round 9! max:(0.4, 'C#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2)c1C#C'), min:(-99999, '')
[0.09162545204162598] Updated in round 10! max:(0.425, 'C#Cc1c(C#Cc2ccccc2)cccc1C#Cc1ccccc1C#CC=C'), min:(-99999, '')
[0.12167024612426758] Updated in round 11! max:(0.425, 'C#Cc1c(C#Cc2ccccc2)cccc1C#Cc1ccccc1C#CC=C'), min:(-99999, '')
[0.12432050704956055] Updated in round 12! max:(0.45, 'C#Cc1c(C#Cc2ccccc2)cccc1C#Cc1ccccc1C#CC(=C)C=C'), min:(-99999, '')
[0.15916013717651367] Updated in round 13! max:(0.45, 'C#Cc1c(C#Cc2ccccc2)cccc1C#Cc1ccccc1C#CC(=C)C=C'), min:(-99999, '')
[0.16251587867736816] Updated in round 14! max:(0.55, 'C=CC(=C)C#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.2240581512451172] Updated in round 15! max:(0.575, 'C=CC=CC(=C)C#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.2982621192932129] Updated in round 16! max:(0.6, 'C(#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2)c1C#Cc1ccccc1)c1ccccc1'), min:(-99999, '')
