[6.246566772460938e-05]Start running EvoMol from [H][H]...
[0.012504339218139648] Updated in round 1! max:(0.025, 'C=C'), min:(-99999, '')
[0.013532400131225586] Updated in round 2! max:(0.05, 'C=CC=C'), min:(-99999, '')
[0.01841902732849121] Updated in round 3! max:(0.075, 'C=CC=CC=C'), min:(-99999, '')
[0.022670507431030273] Updated in round 4! max:(0.1, 'c1ccccc1'), min:(-99999, '')
[0.026578903198242188] Updated in round 5! max:(0.125, 'C#Cc1ccccc1'), min:(-99999, '')
[0.029747486114501953] Updated in round 6! max:(0.15, 'C=CC#Cc1ccccc1'), min:(-99999, '')
[0.03409075736999512] Updated in round 7! max:(0.175, 'C=CC=CC#Cc1ccccc1'), min:(-99999, '')
[0.0393824577331543] Updated in round 8! max:(0.2, 'C#Cc1ccccc1C#CC=CC=C'), min:(-99999, '')
[0.04452681541442871] Updated in round 9! max:(0.2, 'C#Cc1ccccc1C#CC=CC=C'), min:(-99999, '')
[0.047966718673706055] Updated in round 10! max:(0.225, 'C=CC#Cc1ccccc1C#CC=CC=C'), min:(-99999, '')
[0.057706594467163086] Updated in round 11! max:(0.25, 'C#CC(C=C)=CC#Cc1ccccc1C#CC=C'), min:(-99999, '')
[0.06635451316833496] Updated in round 12! max:(0.275, 'C#CC=CC(C#C)=CC#Cc1ccccc1C#CC=C'), min:(-99999, '')
[0.0756521224975586] Updated in round 13! max:(0.3, 'C#CC=C(C#C)C(C#C)=CC#Cc1ccccc1C#CC=C'), min:(-99999, '')
[0.08548092842102051] Updated in round 14! max:(0.3, 'C#CC=C(C#C)C(C#C)=CC#Cc1ccccc1C#CC=C'), min:(-99999, '')
[0.08738923072814941] Updated in round 15! max:(0.325, 'C#CC=C(C#C)C(C#CC=C)=CC#Cc1ccccc1C#CC=C'), min:(-99999, '')
[0.09930181503295898] Updated in round 16! max:(0.325, 'C#CC=C(C#C)C(C#CC=C)=CC#Cc1ccccc1C#CC=C'), min:(-99999, '')
[0.10222244262695312] Updated in round 17! max:(0.35, 'C#CC=C(C#CC=C)C(C#CC=C)=CC#Cc1ccccc1C#CC=C'), min:(-99999, '')
[0.11699247360229492] Updated in round 18! max:(0.375, 'C#CC=C(C#CC=C)C1=CC#Cc2ccccc2C#CC(=C)C(=C)C#C1'), min:(-99999, '')
[0.1303703784942627] Updated in round 19! max:(0.4, 'C=CC#CC=C(C#CC=C)C1=CC#Cc2ccccc2C#CC(=C)C(=C)C#C1'), min:(-99999, '')
[0.14603185653686523] Updated in round 20! max:(0.425, 'C=CC#CC=C(C#CC(=C)C=C)C1=CC#Cc2ccccc2C#CC(=C)C(=C)C#C1'), min:(-99999, '')
[0.16538476943969727] Updated in round 21! max:(0.45, 'C=CC=CC#CC=C(C#CC(=C)C=C)C1=CC#Cc2ccccc2C#CC(=C)C(=C)C#C1'), min:(-99999, '')
[0.1898646354675293] Updated in round 22! max:(0.475, 'C=CC=CC#CC=C(C#CC(=C)C=C)C1=CC#Cc2ccccc2C#CC(=C)C(=CC=C)C#C1'), min:(-99999, '')
[0.22095870971679688] Updated in round 23! max:(0.475, 'C=CC=CC#CC=C(C#CC(=C)C=C)C1=CC#Cc2ccccc2C#CC(=C)C(=CC=C)C#C1'), min:(-99999, '')
[0.2236185073852539] Updated in round 24! max:(0.475, 'C=CC=CC#CC=C(C#CC(=C)C=C)C1=CC#Cc2ccccc2C#CC(=C)C(=CC=C)C#C1'), min:(-99999, '')
[0.2267322540283203] Updated in round 25! max:(0.5, 'C=CC=C(C#CC=C(C#CC(=C)C=C)C1=CC#Cc2ccccc2C#CC(=C)C(=CC=C)C#C1)C=C'), min:(-99999, '')
[0.26285862922668457] Updated in round 26! max:(0.5, 'C=CC=C(C#CC=C(C#CC(=C)C=C)C1=CC#Cc2ccccc2C#CC(=C)C(=CC=C)C#C1)C=C'), min:(-99999, '')
[0.26593923568725586] Updated in round 27! max:(0.525, 'C#CC(=C)C(C#CC=C(C#CC(=C)C=C)C1=CC#Cc2ccccc2C#CC(=C)C(=CC=C)C#C1)=CC=C'), min:(-99999, '')
[0.3033931255340576] Updated in round 28! max:(0.525, 'C#CC(=C)C(C#CC=C(C#CC(=C)C=C)C1=CC#Cc2ccccc2C#CC(=C)C(=CC=C)C#C1)=CC=C'), min:(-99999, '')
[0.30638670921325684] Updated in round 29! max:(0.55, 'C=CC=C1C#CC=C(C2=CC#Cc3ccccc3C#CC(=C)C(=CC=C)C#C2)C#CC(=C)C(=C)C#CC1=C'), min:(-99999, '')
[0.3400592803955078] Updated in round 30! max:(0.55, 'C=CC=C1C#CC=C(C2=CC#Cc3ccccc3C#CC(=C)C(=CC=C)C#C2)C#CC(=C)C(=C)C#CC1=C'), min:(-99999, '')
