[6.771087646484375e-05]Start running EvoMol from [H][H]...
[0.004859209060668945] Updated in round 1! max:(0.08163265306122448, 'c1ccccc1'), min:(-99999, '')
[0.011162042617797852] Updated in round 2! max:(0.16326530612244897, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.02166914939880371] Updated in round 3! max:(0.22448979591836735, 'c1ccc(-c2cccc3ccccc23)cc1'), min:(-99999, '')
[0.03688216209411621] Updated in round 4! max:(0.24489795918367346, 'C=Cc1ccccc1-c1cccc2ccccc12'), min:(-99999, '')
[0.055696964263916016] Updated in round 5! max:(0.2653061224489796, 'C=CC=Cc1ccccc1-c1cccc2ccccc12'), min:(-99999, '')
[0.07961392402648926] Updated in round 6! max:(0.2653061224489796, 'C=CC=Cc1ccccc1-c1cccc2ccccc12'), min:(-99999, '')
[0.08179759979248047] Updated in round 7! max:(0.2653061224489796, 'C=CC=Cc1ccccc1-c1cccc2ccccc12'), min:(-99999, '')
[0.08433675765991211] Updated in round 8! max:(0.2857142857142857, 'C#Cc1ccc2ccccc2c1-c1ccccc1C=CC=C'), min:(-99999, '')
[0.10888266563415527] Updated in round 9! max:(0.2857142857142857, 'C#Cc1ccc2ccccc2c1-c1ccccc1C=CC=C'), min:(-99999, '')
[0.11070513725280762] Updated in round 10! max:(0.2857142857142857, 'C#Cc1ccc2ccccc2c1-c1ccccc1C=CC=C'), min:(-99999, '')
[0.11248445510864258] Updated in round 11! max:(0.2857142857142857, 'C#Cc1ccc2ccccc2c1-c1ccccc1C=CC=C'), min:(-99999, '')
[0.1142282485961914] Updated in round 12! max:(0.2857142857142857, 'C#Cc1ccc2ccccc2c1-c1ccccc1C=CC=C'), min:(-99999, '')
[0.11641550064086914] Updated in round 13! max:(0.30612244897959184, 'C#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.13831686973571777] Updated in round 14! max:(0.30612244897959184, 'C#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.14037394523620605] Updated in round 15! max:(0.32653061224489793, 'C#CC#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.16345620155334473] Updated in round 16! max:(0.32653061224489793, 'C#CC#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.16520929336547852] Updated in round 17! max:(0.32653061224489793, 'C#CC#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.16712141036987305] Updated in round 18! max:(0.32653061224489793, 'C#CC#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.16937041282653809] Updated in round 19! max:(0.40816326530612246, 'C(C#Cc1ccc2ccccc2c1-c1cccc2ccccc12)#Cc1ccccc1'), min:(-99999, '')
[0.21078252792358398] Updated in round 20! max:(0.40816326530612246, 'C(C#Cc1ccc2ccccc2c1-c1cccc2ccccc12)#Cc1ccccc1'), min:(-99999, '')
