[6.198883056640625e-05]Start running EvoMol from [H][H]...
[0.012928247451782227] Updated in round 1! max:(0.02040816326530612, 'C=C'), min:(-99999, '')
[0.01430511474609375] Updated in round 2! max:(0.04081632653061224, 'C=CC=C'), min:(-99999, '')
[0.017241716384887695] Updated in round 3! max:(0.061224489795918366, 'C=CC=CC=C'), min:(-99999, '')
[0.022799015045166016] Updated in round 4! max:(0.08163265306122448, 'c1ccccc1'), min:(-99999, '')
[0.028382301330566406] Updated in round 5! max:(0.10204081632653061, 'C=Cc1ccccc1'), min:(-99999, '')
[0.03293919563293457] Updated in round 6! max:(0.12244897959183673, 'C=Cc1cccc(C=C)c1'), min:(-99999, '')
[0.037515878677368164] Updated in round 7! max:(0.14285714285714285, 'C=Cc1cccc(C=C)c1C=C'), min:(-99999, '')
[0.04335498809814453] Updated in round 8! max:(0.16326530612244897, 'C=Cc1cccc2ccccc12'), min:(-99999, '')
[0.04860377311706543] Updated in round 9! max:(0.16326530612244897, 'C=Cc1cccc2ccccc12'), min:(-99999, '')
[0.05048966407775879] Updated in round 10! max:(0.1836734693877551, 'C=CC=Cc1cccc2ccccc12'), min:(-99999, '')
[0.05812525749206543] Updated in round 11! max:(0.1836734693877551, 'C=CC=Cc1cccc2ccccc12'), min:(-99999, '')
[0.060626983642578125] Updated in round 12! max:(0.20408163265306123, 'C=CC=CC=Cc1cccc2ccccc12'), min:(-99999, '')
[0.07119059562683105] Updated in round 13! max:(0.20408163265306123, 'C=CC=CC=Cc1cccc2ccccc12'), min:(-99999, '')
[0.07313036918640137] Updated in round 14! max:(0.20408163265306123, 'C=CC=CC=Cc1cccc2ccccc12'), min:(-99999, '')
[0.07536983489990234] Updated in round 15! max:(0.22448979591836735, 'C#Cc1ccc2ccccc2c1C=CC=CC=C'), min:(-99999, '')
[0.08686113357543945] Updated in round 16! max:(0.24489795918367346, 'C#Cc1ccc2ccccc2c1C(C=C)=CC=CC=C'), min:(-99999, '')
[0.10116839408874512] Updated in round 17! max:(0.2653061224489796, 'C#Cc1ccc2ccccc2c1C(C=CC=C)=CC=CC=C'), min:(-99999, '')
[0.11981844902038574] Updated in round 18! max:(0.2857142857142857, 'C#Cc1ccc2ccccc2c1-c1ccccccccc1'), min:(-99999, '')
[0.13738465309143066] Updated in round 19! max:(0.30612244897959184, 'C#Cc1ccccccccc1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.15621614456176758] Updated in round 20! max:(0.30612244897959184, 'C#Cc1ccccccccc1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.15799999237060547] Updated in round 21! max:(0.30612244897959184, 'C#Cc1ccccccccc1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.16012072563171387] Updated in round 22! max:(0.32653061224489793, 'C#CC#Cc1ccccccccc1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.17982268333435059] Updated in round 23! max:(0.32653061224489793, 'C#CC#Cc1ccccccccc1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.18163156509399414] Updated in round 24! max:(0.32653061224489793, 'C#CC#Cc1ccccccccc1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.18339943885803223] Updated in round 25! max:(0.32653061224489793, 'C#CC#Cc1ccccccccc1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.18517184257507324] Updated in round 26! max:(0.32653061224489793, 'C#CC#Cc1ccccccccc1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.1869678497314453] Updated in round 27! max:(0.32653061224489793, 'C#CC#Cc1ccccccccc1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.18914031982421875] Updated in round 28! max:(0.3469387755102041, 'C#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC=C'), min:(-99999, '')
[0.21494364738464355] Updated in round 29! max:(0.3469387755102041, 'C#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC=C'), min:(-99999, '')
[0.21695923805236816] Updated in round 30! max:(0.3469387755102041, 'C#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC=C'), min:(-99999, '')
[0.21938824653625488] Updated in round 31! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(=C)C=C'), min:(-99999, '')
[0.24949169158935547] Updated in round 32! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(=C)C=C'), min:(-99999, '')
[0.25155162811279297] Updated in round 33! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(=C)C=C'), min:(-99999, '')
[0.25360751152038574] Updated in round 34! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(=C)C=C'), min:(-99999, '')
[0.2557098865509033] Updated in round 35! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(=C)C=C'), min:(-99999, '')
[0.2577948570251465] Updated in round 36! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(=C)C=C'), min:(-99999, '')
[0.25984859466552734] Updated in round 37! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(=C)C=C'), min:(-99999, '')
[0.26190924644470215] Updated in round 38! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(=C)C=C'), min:(-99999, '')
[0.2644510269165039] Updated in round 39! max:(0.3877551020408163, 'C#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(C=C)=CC=C'), min:(-99999, '')
[0.30257463455200195] Updated in round 40! max:(0.3877551020408163, 'C#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(C=C)=CC=C'), min:(-99999, '')
[0.3056068420410156] Updated in round 41! max:(0.40816326530612246, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(C=C)=CC=C'), min:(-99999, '')
[0.3466324806213379] Updated in round 42! max:(0.42857142857142855, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(C=C)=CC=CC=C'), min:(-99999, '')
[0.39862990379333496] Updated in round 43! max:(0.4489795918367347, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(C=CC=C)=CC=CC=C'), min:(-99999, '')
[0.4616355895996094] Updated in round 44! max:(0.4489795918367347, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(C=CC=C)=CC=CC=C'), min:(-99999, '')
[0.4685652256011963] Updated in round 45! max:(0.46938775510204084, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(C=CC=CC=C)=CC=CC=C'), min:(-99999, '')
[0.5410404205322266] Updated in round 46! max:(0.46938775510204084, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(C=CC=CC=C)=CC=CC=C'), min:(-99999, '')
[0.5437295436859131] Updated in round 47! max:(0.46938775510204084, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(C=CC=CC=C)=CC=CC=C'), min:(-99999, '')
[0.5464942455291748] Updated in round 48! max:(0.46938775510204084, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC(C=CC=CC=C)=CC=CC=C'), min:(-99999, '')
[0.5499639511108398] Updated in round 49! max:(0.4897959183673469, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=C)c1C=CC=C'), min:(-99999, '')
[0.6184267997741699] Updated in round 50! max:(0.4897959183673469, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=C)c1C=CC=C'), min:(-99999, '')
[0.6211490631103516] Updated in round 51! max:(0.4897959183673469, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=C)c1C=CC=C'), min:(-99999, '')
[0.6242640018463135] Updated in round 52! max:(0.5102040816326531, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=C)c1C=CC(=C)C=C'), min:(-99999, '')
[0.7014675140380859] Updated in round 53! max:(0.5102040816326531, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=C)c1C=CC(=C)C=C'), min:(-99999, '')
[0.704418420791626] Updated in round 54! max:(0.5102040816326531, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=C)c1C=CC(=C)C=C'), min:(-99999, '')
[0.7082111835479736] Updated in round 55! max:(0.5306122448979592, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=C'), min:(-99999, '')
[0.8010227680206299] Updated in round 56! max:(0.5306122448979592, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=C'), min:(-99999, '')
[0.8039271831512451] Updated in round 57! max:(0.5306122448979592, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=C'), min:(-99999, '')
[0.8069663047790527] Updated in round 58! max:(0.5306122448979592, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=C'), min:(-99999, '')
[0.8106949329376221] Updated in round 59! max:(0.5510204081632653, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=CC=C'), min:(-99999, '')
[0.9201898574829102] Updated in round 60! max:(0.5510204081632653, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=CC=C'), min:(-99999, '')
[0.9231452941894531] Updated in round 61! max:(0.5510204081632653, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=CC=C'), min:(-99999, '')
[0.9262077808380127] Updated in round 62! max:(0.5510204081632653, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=CC=C'), min:(-99999, '')
[0.9291305541992188] Updated in round 63! max:(0.5510204081632653, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=CC=C'), min:(-99999, '')
[0.932091236114502] Updated in round 64! max:(0.5510204081632653, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=CC=C'), min:(-99999, '')
[0.9350144863128662] Updated in round 65! max:(0.5510204081632653, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=CC=C'), min:(-99999, '')
[0.938051700592041] Updated in round 66! max:(0.5510204081632653, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=CC=C'), min:(-99999, '')
[0.9419054985046387] Updated in round 67! max:(0.5510204081632653, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=CC=C'), min:(-99999, '')
[0.944908618927002] Updated in round 68! max:(0.5510204081632653, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=CC=C'), min:(-99999, '')
[0.9479601383209229] Updated in round 69! max:(0.5510204081632653, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=CC=C'), min:(-99999, '')
[0.950953483581543] Updated in round 70! max:(0.5510204081632653, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=CC=C'), min:(-99999, '')
[0.9539694786071777] Updated in round 71! max:(0.5510204081632653, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=CC=C'), min:(-99999, '')
[0.9569442272186279] Updated in round 72! max:(0.5510204081632653, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=CC=C'), min:(-99999, '')
[0.95977783203125] Updated in round 73! max:(0.5510204081632653, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=CC=C'), min:(-99999, '')
[0.962714433670044] Updated in round 74! max:(0.5510204081632653, 'C#CC#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#Cc1cccc(C=CC=C)c1C=CC(=C)C=CC=C'), min:(-99999, '')
