[6.890296936035156e-05]Start running EvoMol from [H][H]...
[0.015981435775756836] Updated in round 1! max:(0.08163265306122448, 'c1ccccc1'), min:(-99999, '')
[0.022333621978759766] Updated in round 2! max:(0.16326530612244897, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.034148216247558594] Updated in round 3! max:(0.22448979591836735, 'c1ccc(-c2cccc3ccccc23)cc1'), min:(-99999, '')
[0.05052685737609863] Updated in round 4! max:(0.24489795918367346, 'C=Cc1ccccc1-c1cccc2ccccc12'), min:(-99999, '')
[0.07062935829162598] Updated in round 5! max:(0.2653061224489796, 'c1ccc2c(c1)ccc1ccc3ccccc3c12'), min:(-99999, '')
[0.0888512134552002] Updated in round 6! max:(0.2653061224489796, 'c1ccc2c(c1)ccc1ccc3ccccc3c12'), min:(-99999, '')
[0.09198331832885742] Updated in round 7! max:(0.2857142857142857, 'C=Cc1cccc2ccc3ccc4ccccc4c3c12'), min:(-99999, '')
[0.13527607917785645] Updated in round 8! max:(0.32653061224489793, 'c1ccc2c(c1)ccc1ccc3ccc4ccccc4c3c12'), min:(-99999, '')
[0.1626265048980713] Updated in round 9! max:(0.40816326530612246, 'c1ccc(-c2cccc3ccc4ccc5ccc6ccccc6c5c4c23)cc1'), min:(-99999, '')
[0.213789701461792] Updated in round 10! max:(0.40816326530612246, 'c1ccc(-c2cccc3ccc4ccc5ccc6ccccc6c5c4c23)cc1'), min:(-99999, '')
[0.2210683822631836] Updated in round 11! max:(0.42857142857142855, 'C=Cc1cccc(-c2cccc3ccc4ccc5ccc6ccccc6c5c4c23)c1'), min:(-99999, '')
[0.28757238388061523] Updated in round 12! max:(0.4897959183673469, 'C=Cc1cccc(-c2cccc3ccc4ccc5ccc6ccc7ccccc7c6c5c4c23)c1'), min:(-99999, '')
[0.3749842643737793] Updated in round 13! max:(0.5102040816326531, 'C=CC=Cc1cccc(-c2cccc3ccc4ccc5ccc6ccc7ccccc7c6c5c4c23)c1'), min:(-99999, '')
[0.4719045162200928] Updated in round 14! max:(0.5102040816326531, 'C=CC=Cc1cccc(-c2cccc3ccc4ccc5ccc6ccc7ccccc7c6c5c4c23)c1'), min:(-99999, '')
[0.4882972240447998] Updated in round 15! max:(0.5102040816326531, 'C=CC=Cc1cccc(-c2cccc3ccc4ccc5ccc6ccc7ccccc7c6c5c4c23)c1'), min:(-99999, '')
[0.5099301338195801] Updated in round 16! max:(0.5714285714285714, 'C=CC=Cc1cccc(-c2cccc3ccc4ccc5ccc6ccc7ccc8ccccc8c7c6c5c4c23)c1'), min:(-99999, '')
[0.64046311378479] Updated in round 17! max:(0.5918367346938775, 'C=CC=Cc1cccc(-c2cccc3ccc4ccc5ccc6ccc7ccc8ccccc8c7c6c5c4c23)c1C=C'), min:(-99999, '')
[0.789649486541748] Updated in round 18! max:(0.5918367346938775, 'C=CC=Cc1cccc(-c2cccc3ccc4ccc5ccc6ccc7ccc8ccccc8c7c6c5c4c23)c1C=C'), min:(-99999, '')
[0.7999656200408936] Updated in round 19! max:(0.5918367346938775, 'C=CC=Cc1cccc(-c2cccc3ccc4ccc5ccc6ccc7ccc8ccccc8c7c6c5c4c23)c1C=C'), min:(-99999, '')
[0.8240671157836914] Updated in round 20! max:(0.673469387755102, 'C=CC=Cc1cccc(-c2cccc3ccc4ccc5ccc6ccc7ccc8ccccc8c7c6c5c4c23)c1C=Cc1ccccc1'), min:(-99999, '')
[1.0323739051818848] Updated in round 21! max:(0.673469387755102, 'C=CC=Cc1cccc(-c2cccc3ccc4ccc5ccc6ccc7ccc8ccccc8c7c6c5c4c23)c1C=Cc1ccccc1'), min:(-99999, '')
[1.0468089580535889] Updated in round 22! max:(0.673469387755102, 'C=CC=Cc1cccc(-c2cccc3ccc4ccc5ccc6ccc7ccc8ccccc8c7c6c5c4c23)c1C=Cc1ccccc1'), min:(-99999, '')
[1.0707213878631592] Updated in round 23! max:(0.673469387755102, 'C=CC=Cc1cccc(-c2cccc3ccc4ccc5ccc6ccc7ccc8ccccc8c7c6c5c4c23)c1C=Cc1ccccc1'), min:(-99999, '')
[1.0970239639282227] Updated in round 24! max:(0.7142857142857143, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c2c1C=Cc1ccccc1'), min:(-99999, '')
[1.3358206748962402] Updated in round 25! max:(0.7142857142857143, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c2c1C=Cc1ccccc1'), min:(-99999, '')
[1.3892159461975098] Updated in round 26! max:(0.7959183673469388, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c2c1C=Cc1ccccc1-c1ccccc1'), min:(-99999, '')
[1.7670338153839111] Updated in round 27! max:(0.7959183673469388, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c2c1C=Cc1ccccc1-c1ccccc1'), min:(-99999, '')
[1.7986845970153809] Updated in round 28! max:(0.7959183673469388, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c2c1C=Cc1ccccc1-c1ccccc1'), min:(-99999, '')
[1.8508002758026123] Updated in round 29! max:(0.7959183673469388, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c2c1C=Cc1ccccc1-c1ccccc1'), min:(-99999, '')
[1.9066953659057617] Updated in round 30! max:(0.8163265306122449, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c2c1C=Cc1ccccc1-c1cccc(C=C)c1'), min:(-99999, '')
[2.270798444747925] Updated in round 31! max:(0.8163265306122449, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c2c1C=Cc1ccccc1-c1cccc(C=C)c1'), min:(-99999, '')
[2.323030471801758] Updated in round 32! max:(0.8163265306122449, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c2c1C=Cc1ccccc1-c1cccc(C=C)c1'), min:(-99999, '')
[2.3744852542877197] Updated in round 33! max:(0.8163265306122449, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c2c1C=Cc1ccccc1-c1cccc(C=C)c1'), min:(-99999, '')
[2.4208359718322754] Updated in round 34! max:(0.8163265306122449, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c2c1C=Cc1ccccc1-c1cccc(C=C)c1'), min:(-99999, '')
[2.4645004272460938] Updated in round 35! max:(0.8163265306122449, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c2c1C=Cc1ccccc1-c1cccc(C=C)c1'), min:(-99999, '')
[2.5079152584075928] Updated in round 36! max:(0.8163265306122449, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c2c1C=Cc1ccccc1-c1cccc(C=C)c1'), min:(-99999, '')
[2.546863079071045] Updated in round 37! max:(0.8367346938775511, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c2c1C=C(C=C)c1ccccc1-c1cccc(C=C)c1'), min:(-99999, '')
[2.928809642791748] Updated in round 38! max:(0.8367346938775511, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c2c1C=C(C=C)c1ccccc1-c1cccc(C=C)c1'), min:(-99999, '')
