[7.152557373046875e-05]Start running EvoMol from [H][H]...
[0.013355731964111328] Updated in round 1! max:(0.02040816326530612, 'C=C'), min:(-99999, '')
[0.014176368713378906] Updated in round 2! max:(0.04081632653061224, 'C=CC=C'), min:(-99999, '')
[0.016329526901245117] Updated in round 3! max:(0.061224489795918366, 'C=CC=CC=C'), min:(-99999, '')
[0.019984006881713867] Updated in round 4! max:(0.08163265306122448, 'c1ccccc1'), min:(-99999, '')
[0.025609254837036133] Updated in round 5! max:(0.10204081632653061, 'C=Cc1ccccc1'), min:(-99999, '')
[0.0298616886138916] Updated in round 6! max:(0.12244897959183673, 'C=Cc1cccc(C=C)c1'), min:(-99999, '')
[0.034584760665893555] Updated in round 7! max:(0.14285714285714285, 'C=Cc1cccc(C=C)c1C=C'), min:(-99999, '')
[0.04219555854797363] Updated in round 8! max:(0.16326530612244897, 'C=Cc1cccc2ccccc12'), min:(-99999, '')
[0.04798483848571777] Updated in round 9! max:(0.16326530612244897, 'C=Cc1cccc2ccccc12'), min:(-99999, '')
[0.0512239933013916] Updated in round 10! max:(0.1836734693877551, 'C=Cc1ccc2ccccc2c1C=C'), min:(-99999, '')
[0.05894041061401367] Updated in round 11! max:(0.1836734693877551, 'C=Cc1ccc2ccccc2c1C=C'), min:(-99999, '')
[0.06273126602172852] Updated in round 12! max:(0.20408163265306123, 'C=Cc1ccc2ccc(C=C)c(C=C)c2c1'), min:(-99999, '')
[0.07387733459472656] Updated in round 13! max:(0.22448979591836735, 'C=Cc1ccc2ccc3ccccc3c2c1'), min:(-99999, '')
[0.08512115478515625] Updated in round 14! max:(0.24489795918367346, 'C=Cc1ccc2ccc3cccc(C=C)c3c2c1'), min:(-99999, '')
[0.09971952438354492] Updated in round 15! max:(0.2653061224489796, 'C=CC=Cc1ccc2ccc3cccc(C=C)c3c2c1'), min:(-99999, '')
[0.12003660202026367] Updated in round 16! max:(0.2857142857142857, 'C=Cc1cccc2ccc3ccc4ccccc4c3c12'), min:(-99999, '')
[0.13743066787719727] Updated in round 17! max:(0.2857142857142857, 'C=Cc1cccc2ccc3ccc4ccccc4c3c12'), min:(-99999, '')
[0.14080071449279785] Updated in round 18! max:(0.2857142857142857, 'C=Cc1cccc2ccc3ccc4ccccc4c3c12'), min:(-99999, '')
[0.14393925666809082] Updated in round 19! max:(0.2857142857142857, 'C=Cc1cccc2ccc3ccc4ccccc4c3c12'), min:(-99999, '')
[0.14638566970825195] Updated in round 20! max:(0.2857142857142857, 'C=Cc1cccc2ccc3ccc4ccccc4c3c12'), min:(-99999, '')
[0.15068721771240234] Updated in round 21! max:(0.2857142857142857, 'C=Cc1cccc2ccc3ccc4ccccc4c3c12'), min:(-99999, '')
[0.1555769443511963] Updated in round 22! max:(0.30612244897959184, 'C=CC(=C)c1cccc2ccc3ccc4ccccc4c3c12'), min:(-99999, '')
[0.17759227752685547] Updated in round 23! max:(0.32653061224489793, 'C=CC(=C)c1c(C=C)ccc2ccc3ccc4ccccc4c3c12'), min:(-99999, '')
[0.20490550994873047] Updated in round 24! max:(0.32653061224489793, 'C=CC(=C)c1c(C=C)ccc2ccc3ccc4ccccc4c3c12'), min:(-99999, '')
[0.21014857292175293] Updated in round 25! max:(0.32653061224489793, 'C=CC(=C)c1c(C=C)ccc2ccc3ccc4ccccc4c3c12'), min:(-99999, '')
[0.21551012992858887] Updated in round 26! max:(0.32653061224489793, 'C=CC(=C)c1c(C=C)ccc2ccc3ccc4ccccc4c3c12'), min:(-99999, '')
[0.22147417068481445] Updated in round 27! max:(0.32653061224489793, 'C=CC(=C)c1c(C=C)ccc2ccc3ccc4ccccc4c3c12'), min:(-99999, '')
[0.22856807708740234] Updated in round 28! max:(0.3469387755102041, 'C=c1ccc2ccc3ccc4ccc5ccccc5c4c3c2c1=C'), min:(-99999, '')
[0.25218820571899414] Updated in round 29! max:(0.3469387755102041, 'C=c1ccc2ccc3ccc4ccc5ccccc5c4c3c2c1=C'), min:(-99999, '')
[0.25672054290771484] Updated in round 30! max:(0.3469387755102041, 'C=c1ccc2ccc3ccc4ccc5ccccc5c4c3c2c1=C'), min:(-99999, '')
[0.263887882232666] Updated in round 31! max:(0.3673469387755102, 'C=CC=c1c(=C)ccc2ccc3ccc4ccc5ccccc5c4c3c12'), min:(-99999, '')
[0.2954537868499756] Updated in round 32! max:(0.3673469387755102, 'C=CC=c1c(=C)ccc2ccc3ccc4ccc5ccccc5c4c3c12'), min:(-99999, '')
[0.3046915531158447] Updated in round 33! max:(0.3877551020408163, 'C=CC=c1ccc2ccc3ccc4ccc5ccccc5c4c3c2c1=CC=C'), min:(-99999, '')
[0.34671974182128906] Updated in round 34! max:(0.3877551020408163, 'C=CC=c1ccc2ccc3ccc4ccc5ccccc5c4c3c2c1=CC=C'), min:(-99999, '')
[0.35355687141418457] Updated in round 35! max:(0.3877551020408163, 'C=CC=c1ccc2ccc3ccc4ccc5ccccc5c4c3c2c1=CC=C'), min:(-99999, '')
[0.36232662200927734] Updated in round 36! max:(0.3877551020408163, 'C=CC=c1ccc2ccc3ccc4ccc5ccccc5c4c3c2c1=CC=C'), min:(-99999, '')
[0.3709568977355957] Updated in round 37! max:(0.3877551020408163, 'C=CC=c1ccc2ccc3ccc4ccc5ccccc5c4c3c2c1=CC=C'), min:(-99999, '')
[0.38037681579589844] Updated in round 38! max:(0.40816326530612246, 'C=CC=c1ccc2ccc3ccc4ccc5cccc(C=C)c5c4c3c2c1=CC=C'), min:(-99999, '')
[0.4311976432800293] Updated in round 39! max:(0.40816326530612246, 'C=CC=c1ccc2ccc3ccc4ccc5cccc(C=C)c5c4c3c2c1=CC=C'), min:(-99999, '')
[0.4392077922821045] Updated in round 40! max:(0.40816326530612246, 'C=CC=c1ccc2ccc3ccc4ccc5cccc(C=C)c5c4c3c2c1=CC=C'), min:(-99999, '')
[0.45085620880126953] Updated in round 41! max:(0.40816326530612246, 'C=CC=c1ccc2ccc3ccc4ccc5cccc(C=C)c5c4c3c2c1=CC=C'), min:(-99999, '')
[0.460188627243042] Updated in round 42! max:(0.40816326530612246, 'C=CC=c1ccc2ccc3ccc4ccc5cccc(C=C)c5c4c3c2c1=CC=C'), min:(-99999, '')
[0.47260594367980957] Updated in round 43! max:(0.42857142857142855, 'C=CC=CC=c1c(=CC=C)ccc2ccc3ccc4ccc5cccc(C=C)c5c4c3c12'), min:(-99999, '')
[0.5358700752258301] Updated in round 44! max:(0.42857142857142855, 'C=CC=CC=c1c(=CC=C)ccc2ccc3ccc4ccc5cccc(C=C)c5c4c3c12'), min:(-99999, '')
[0.5498998165130615] Updated in round 45! max:(0.42857142857142855, 'C=CC=CC=c1c(=CC=C)ccc2ccc3ccc4ccc5cccc(C=C)c5c4c3c12'), min:(-99999, '')
[0.5733702182769775] Updated in round 46! max:(0.42857142857142855, 'C=CC=CC=c1c(=CC=C)ccc2ccc3ccc4ccc5cccc(C=C)c5c4c3c12'), min:(-99999, '')
[0.5940768718719482] Updated in round 47! max:(0.4489795918367347, 'C=CC=CC=c1c(=CC=C)ccc2ccc3ccc4ccc5cccc(C(=C)C=C)c5c4c3c12'), min:(-99999, '')
[0.6679782867431641] Updated in round 48! max:(0.46938775510204084, 'C=CC=Cc1cccc2ccc3ccc4ccc5ccc6cccc(C(=C)C=C)c6c5c4c3c12'), min:(-99999, '')
