[7.987022399902344e-05]Start running EvoMol from [H][H]...
[0.021147489547729492] Updated in round 1! max:(0.07547169811320754, 'c1ccccc1'), min:(-99999, '')
[0.0267336368560791] Updated in round 2! max:(0.1509433962264151, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.03688335418701172] Updated in round 3! max:(0.22641509433962265, 'c1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.058434247970581055] Updated in round 4! max:(0.3018867924528302, 'c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.09745907783508301] Updated in round 5! max:(0.3584905660377358, 'c1ccc(-c2ccc(-c3ccc(-c4ccc5ccccc5c4)cc3)cc2)cc1'), min:(-99999, '')
[0.15288662910461426] Updated in round 6! max:(0.3584905660377358, 'c1ccc(-c2ccc(-c3ccc(-c4ccc5ccccc5c4)cc3)cc2)cc1'), min:(-99999, '')
[0.157426118850708] Updated in round 7! max:(0.39622641509433965, 'c1ccc2cc(-c3ccc(-c4ccc5c(ccc6ccccc65)c4)cc3)ccc2c1'), min:(-99999, '')
[0.22260808944702148] Updated in round 8! max:(0.4339622641509434, 'c1ccc2c(c1)ccc1cc(-c3ccc4c(ccc5c6ccccc6ccc45)c3)ccc12'), min:(-99999, '')
[0.29352498054504395] Updated in round 9! max:(0.4339622641509434, 'c1ccc2c(c1)ccc1cc(-c3ccc4c(ccc5c6ccccc6ccc45)c3)ccc12'), min:(-99999, '')
[0.2990570068359375] Updated in round 10! max:(0.4528301886792453, 'C=Cc1ccc2c(ccc3c4ccc(-c5ccc6c(ccc7ccccc76)c5)cc4ccc23)c1'), min:(-99999, '')
[0.3905627727508545] Updated in round 11! max:(0.4528301886792453, 'C=Cc1ccc2c(ccc3c4ccc(-c5ccc6c(ccc7ccccc76)c5)cc4ccc23)c1'), min:(-99999, '')
[0.39644336700439453] Updated in round 12! max:(0.4528301886792453, 'C=Cc1ccc2c(ccc3c4ccc(-c5ccc6c(ccc7ccccc76)c5)cc4ccc23)c1'), min:(-99999, '')
[0.40111875534057617] Updated in round 13! max:(0.4528301886792453, 'C=Cc1ccc2c(ccc3c4ccc(-c5ccc6c(ccc7ccccc76)c5)cc4ccc23)c1'), min:(-99999, '')
[0.4066486358642578] Updated in round 14! max:(0.4528301886792453, 'C=Cc1ccc2c(ccc3c4ccc(-c5ccc6c(ccc7ccccc76)c5)cc4ccc23)c1'), min:(-99999, '')
[0.41437768936157227] Updated in round 15! max:(0.4528301886792453, 'C=Cc1ccc2c(ccc3c4ccc(-c5ccc6c(ccc7ccccc76)c5)cc4ccc23)c1'), min:(-99999, '')
[0.42033982276916504] Updated in round 16! max:(0.4528301886792453, 'C=Cc1ccc2c(ccc3c4ccc(-c5ccc6c(ccc7ccccc76)c5)cc4ccc23)c1'), min:(-99999, '')
[0.4245462417602539] Updated in round 17! max:(0.4528301886792453, 'C=Cc1ccc2c(ccc3c4ccc(-c5ccc6c(ccc7ccccc76)c5)cc4ccc23)c1'), min:(-99999, '')
