[7.295608520507812e-05]Start running EvoMol from [H][H]...
[0.015720844268798828] Updated in round 1! max:(0.018867924528301886, 'C=C'), min:(-99999, '')
[0.016527175903320312] Updated in round 2! max:(0.03773584905660377, 'C=CC=C'), min:(-99999, '')
[0.01860809326171875] Updated in round 3! max:(0.05660377358490566, 'C=CC=CC=C'), min:(-99999, '')
[0.021666526794433594] Updated in round 4! max:(0.07547169811320754, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.026475906372070312] Updated in round 5! max:(0.09433962264150944, 'C=c1ccccc1=C'), min:(-99999, '')
[0.029835224151611328] Updated in round 6! max:(0.11320754716981132, 'C=Cc1ccc(=C)c(=C)c1'), min:(-99999, '')
[0.034062862396240234] Updated in round 7! max:(0.1320754716981132, 'C=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.039044857025146484] Updated in round 8! max:(0.1509433962264151, 'C=CC=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.04556107521057129] Updated in round 9! max:(0.1509433962264151, 'C=CC=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.04712319374084473] Updated in round 10! max:(0.1509433962264151, 'C=CC=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.04865694046020508] Updated in round 11! max:(0.1509433962264151, 'C=CC=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.0518031120300293] Updated in round 12! max:(0.16981132075471697, 'C=Cc1ccc2c(=C)c(=C)ccc2c1'), min:(-99999, '')
[0.059366464614868164] Updated in round 13! max:(0.18867924528301888, 'C=CC=c1ccc2cc(C=C)ccc2c1=C'), min:(-99999, '')
[0.06952500343322754] Updated in round 14! max:(0.20754716981132076, 'C=CC=c1ccc2c(C=C)c(C=C)ccc2c1=C'), min:(-99999, '')
[0.08162426948547363] Updated in round 15! max:(0.22641509433962265, 'C=CC=Cc1ccc2c(=C)c(=CC=C)ccc2c1C=C'), min:(-99999, '')
[0.09676742553710938] Updated in round 16! max:(0.22641509433962265, 'C=CC=Cc1ccc2c(=C)c(=CC=C)ccc2c1C=C'), min:(-99999, '')
[0.10587644577026367] Updated in round 17! max:(0.24528301886792453, 'C=CC=c1ccc2c(C=C)c(C=CC(=C)C=C)ccc2c1=C'), min:(-99999, '')
[0.12500929832458496] Updated in round 18! max:(0.2641509433962264, 'C=CC=C(C=C)C=Cc1ccc2c(=C)c(=CC=C)ccc2c1C=C'), min:(-99999, '')
[0.14952683448791504] Updated in round 19! max:(0.2641509433962264, 'C=CC=C(C=C)C=Cc1ccc2c(=C)c(=CC=C)ccc2c1C=C'), min:(-99999, '')
[0.15259861946105957] Updated in round 20! max:(0.2641509433962264, 'C=CC=C(C=C)C=Cc1ccc2c(=C)c(=CC=C)ccc2c1C=C'), min:(-99999, '')
[0.15552878379821777] Updated in round 21! max:(0.2641509433962264, 'C=CC=C(C=C)C=Cc1ccc2c(=C)c(=CC=C)ccc2c1C=C'), min:(-99999, '')
[0.15951871871948242] Updated in round 22! max:(0.2830188679245283, 'C=CC=C(C=C)c1ccc2c(ccc3c(=C)c(=CC=C)ccc32)c1'), min:(-99999, '')
[0.19305634498596191] Updated in round 23! max:(0.3018867924528302, 'C=CC=CC=C(C=C)c1ccc2c(ccc3c(=C)c(=CC=C)ccc32)c1'), min:(-99999, '')
[0.22397327423095703] Updated in round 24! max:(0.3018867924528302, 'C=CC=CC=C(C=C)c1ccc2c(ccc3c(=C)c(=CC=C)ccc32)c1'), min:(-99999, '')
[0.22838807106018066] Updated in round 25! max:(0.3018867924528302, 'C=CC=CC=C(C=C)c1ccc2c(ccc3c(=C)c(=CC=C)ccc32)c1'), min:(-99999, '')
[0.23290181159973145] Updated in round 26! max:(0.32075471698113206, 'C=CC=c1ccc2c(ccc3cc(-c4ccc(C=C)cc4)ccc32)c1=C'), min:(-99999, '')
[0.26460838317871094] Updated in round 27! max:(0.33962264150943394, 'C=CC=c1ccc2c(ccc3cc(-c4ccc(C=C)c(C=C)c4)ccc32)c1=C'), min:(-99999, '')
[0.30037832260131836] Updated in round 28! max:(0.33962264150943394, 'C=CC=c1ccc2c(ccc3cc(-c4ccc(C=C)c(C=C)c4)ccc32)c1=C'), min:(-99999, '')
[0.30362510681152344] Updated in round 29! max:(0.33962264150943394, 'C=CC=c1ccc2c(ccc3cc(-c4ccc(C=C)c(C=C)c4)ccc32)c1=C'), min:(-99999, '')
[0.3076150417327881] Updated in round 30! max:(0.33962264150943394, 'C=CC=c1ccc2c(ccc3cc(-c4ccc(C=C)c(C=C)c4)ccc32)c1=C'), min:(-99999, '')
[0.31070613861083984] Updated in round 31! max:(0.33962264150943394, 'C=CC=c1ccc2c(ccc3cc(-c4ccc(C=C)c(C=C)c4)ccc32)c1=C'), min:(-99999, '')
[0.3144042491912842] Updated in round 32! max:(0.33962264150943394, 'C=CC=c1ccc2c(ccc3cc(-c4ccc(C=C)c(C=C)c4)ccc32)c1=C'), min:(-99999, '')
[0.3177008628845215] Updated in round 33! max:(0.33962264150943394, 'C=CC=c1ccc2c(ccc3cc(-c4ccc(C=C)c(C=C)c4)ccc32)c1=C'), min:(-99999, '')
[0.3208427429199219] Updated in round 34! max:(0.33962264150943394, 'C=CC=c1ccc2c(ccc3cc(-c4ccc(C=C)c(C=C)c4)ccc32)c1=C'), min:(-99999, '')
[0.32387256622314453] Updated in round 35! max:(0.33962264150943394, 'C=CC=c1ccc2c(ccc3cc(-c4ccc(C=C)c(C=C)c4)ccc32)c1=C'), min:(-99999, '')
[0.32748961448669434] Updated in round 36! max:(0.33962264150943394, 'C=CC=c1ccc2c(ccc3cc(-c4ccc(C=C)c(C=C)c4)ccc32)c1=C'), min:(-99999, '')
[0.33178043365478516] Updated in round 37! max:(0.33962264150943394, 'C=CC=c1ccc2c(ccc3cc(-c4ccc(C=C)c(C=C)c4)ccc32)c1=C'), min:(-99999, '')
[0.3359212875366211] Updated in round 38! max:(0.33962264150943394, 'C=CC=c1ccc2c(ccc3cc(-c4ccc(C=C)c(C=C)c4)ccc32)c1=C'), min:(-99999, '')
[0.3397979736328125] Updated in round 39! max:(0.33962264150943394, 'C=CC=c1ccc2c(ccc3cc(-c4ccc(C=C)c(C=C)c4)ccc32)c1=C'), min:(-99999, '')
[0.35018181800842285] Updated in round 40! max:(0.33962264150943394, 'C=CC=c1ccc2c(ccc3cc(-c4ccc(C=C)c(C=C)c4)ccc32)c1=C'), min:(-99999, '')
[0.35357022285461426] Updated in round 41! max:(0.33962264150943394, 'C=CC=c1ccc2c(ccc3cc(-c4ccc(C=C)c(C=C)c4)ccc32)c1=C'), min:(-99999, '')
[0.35925984382629395] Updated in round 42! max:(0.3584905660377358, 'C=Cc1ccc(-c2ccc3c(ccc4c5ccccc5ccc34)c2)cc1C=C'), min:(-99999, '')
[0.39855384826660156] Updated in round 43! max:(0.3584905660377358, 'C=Cc1ccc(-c2ccc3c(ccc4c5ccccc5ccc34)c2)cc1C=C'), min:(-99999, '')
[0.4023315906524658] Updated in round 44! max:(0.3584905660377358, 'C=Cc1ccc(-c2ccc3c(ccc4c5ccccc5ccc34)c2)cc1C=C'), min:(-99999, '')
[0.4060807228088379] Updated in round 45! max:(0.3584905660377358, 'C=Cc1ccc(-c2ccc3c(ccc4c5ccccc5ccc34)c2)cc1C=C'), min:(-99999, '')
[0.41063594818115234] Updated in round 46! max:(0.37735849056603776, 'C=CC=Cc1ccc(-c2ccc3c(ccc4c5ccccc5ccc34)c2)cc1C=C'), min:(-99999, '')
[0.459003210067749] Updated in round 47! max:(0.37735849056603776, 'C=CC=Cc1ccc(-c2ccc3c(ccc4c5ccccc5ccc34)c2)cc1C=C'), min:(-99999, '')
[0.46339941024780273] Updated in round 48! max:(0.37735849056603776, 'C=CC=Cc1ccc(-c2ccc3c(ccc4c5ccccc5ccc34)c2)cc1C=C'), min:(-99999, '')
