[0.011302471160888672]Start running EvoMol from [H][H]...
[0.01811695098876953] Updated in round 1! max:(0.0547945205479452, 'c1ccccc1'), min:(-99999, '')
[0.024254322052001953] Updated in round 2! max:(0.1095890410958904, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.03551745414733887] Updated in round 3! max:(0.1232876712328767, 'C=Cc1ccccc1-c1ccccc1'), min:(-99999, '')
[0.047788381576538086] Updated in round 4! max:(0.1232876712328767, 'C=Cc1ccccc1-c1ccccc1'), min:(-99999, '')
[0.05165266990661621] Updated in round 5! max:(0.1780821917808219, 'C=Cc1ccccc1-c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.07787346839904785] Updated in round 6! max:(0.1780821917808219, 'C=Cc1ccccc1-c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.08105182647705078] Updated in round 7! max:(0.2191780821917808, 'C=Cc1ccccc1-c1ccc(-c2ccc3ccccc3c2)cc1'), min:(-99999, '')
[0.12105965614318848] Updated in round 8! max:(0.2602739726027397, 'C=Cc1cc2ccccc2cc1-c1ccc(-c2ccc3ccccc3c2)cc1'), min:(-99999, '')
[0.1768662929534912] Updated in round 9! max:(0.2602739726027397, 'C=Cc1cc2ccccc2cc1-c1ccc(-c2ccc3ccccc3c2)cc1'), min:(-99999, '')
[0.1805891990661621] Updated in round 10! max:(0.2602739726027397, 'C=Cc1cc2ccccc2cc1-c1ccc(-c2ccc3ccccc3c2)cc1'), min:(-99999, '')
[0.18585610389709473] Updated in round 11! max:(0.3013698630136986, 'C=Cc1cc2ccc3ccccc3c2cc1-c1ccc(-c2ccc3ccccc3c2)cc1'), min:(-99999, '')
[0.26227450370788574] Updated in round 12! max:(0.3013698630136986, 'C=Cc1cc2ccc3ccccc3c2cc1-c1ccc(-c2ccc3ccccc3c2)cc1'), min:(-99999, '')
[0.2671196460723877] Updated in round 13! max:(0.3013698630136986, 'C=Cc1cc2ccc3ccccc3c2cc1-c1ccc(-c2ccc3ccccc3c2)cc1'), min:(-99999, '')
[0.27426910400390625] Updated in round 14! max:(0.3561643835616438, 'C=Cc1cc2ccc3ccc(-c4ccccc4)cc3c2cc1-c1ccc(-c2ccc3ccccc3c2)cc1'), min:(-99999, '')
[0.3989875316619873] Updated in round 15! max:(0.3698630136986301, 'C=Cc1cc2ccc3cc(C=C)c(-c4ccc(-c5ccc6ccccc6c5)cc4)cc3c2cc1-c1ccccc1'), min:(-99999, '')
[0.535163164138794] Updated in round 16! max:(0.3698630136986301, 'C=Cc1cc2ccc3cc(C=C)c(-c4ccc(-c5ccc6ccccc6c5)cc4)cc3c2cc1-c1ccccc1'), min:(-99999, '')
[0.5415539741516113] Updated in round 17! max:(0.3698630136986301, 'C=Cc1cc2ccc3cc(C=C)c(-c4ccc(-c5ccc6ccccc6c5)cc4)cc3c2cc1-c1ccccc1'), min:(-99999, '')
[0.5478427410125732] Updated in round 18! max:(0.3698630136986301, 'C=Cc1cc2ccc3cc(C=C)c(-c4ccc(-c5ccc6ccccc6c5)cc4)cc3c2cc1-c1ccccc1'), min:(-99999, '')
[0.554689884185791] Updated in round 19! max:(0.3835616438356164, 'C=Cc1cc(-c2cc3c(ccc4cc(C=C)c(-c5ccccc5)cc43)cc2C=C)ccc1-c1ccc2ccccc2c1'), min:(-99999, '')
[0.7024662494659424] Updated in round 20! max:(0.3835616438356164, 'C=Cc1cc(-c2cc3c(ccc4cc(C=C)c(-c5ccccc5)cc43)cc2C=C)ccc1-c1ccc2ccccc2c1'), min:(-99999, '')
[0.7082395553588867] Updated in round 21! max:(0.3835616438356164, 'C=Cc1cc(-c2cc3c(ccc4cc(C=C)c(-c5ccccc5)cc43)cc2C=C)ccc1-c1ccc2ccccc2c1'), min:(-99999, '')
[0.7134668827056885] Updated in round 22! max:(0.3835616438356164, 'C=Cc1cc(-c2cc3c(ccc4cc(C=C)c(-c5ccccc5)cc43)cc2C=C)ccc1-c1ccc2ccccc2c1'), min:(-99999, '')
[0.720024824142456] Updated in round 23! max:(0.3835616438356164, 'C=Cc1cc(-c2cc3c(ccc4cc(C=C)c(-c5ccccc5)cc43)cc2C=C)ccc1-c1ccc2ccccc2c1'), min:(-99999, '')
[0.7275700569152832] Updated in round 24! max:(0.3972602739726027, 'C=Cc1cc2c(ccc3cc4ccc5cc(C=C)c(-c6ccccc6)cc5c4cc32)cc1-c1ccc2ccccc2c1'), min:(-99999, '')
[0.881763219833374] Updated in round 25! max:(0.410958904109589, 'C=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccccc8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[1.0482392311096191] Updated in round 26! max:(0.410958904109589, 'C=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccccc8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[1.0581839084625244] Updated in round 27! max:(0.410958904109589, 'C=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccccc8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[1.067553997039795] Updated in round 28! max:(0.410958904109589, 'C=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccccc8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[1.0824105739593506] Updated in round 29! max:(0.4520547945205479, 'C=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccc9ccccc9c8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[1.2980189323425293] Updated in round 30! max:(0.4657534246575342, 'C=CC=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccc9ccccc9c8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[1.539790391921997] Updated in round 31! max:(0.4657534246575342, 'C=CC=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccc9ccccc9c8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[1.5579895973205566] Updated in round 32! max:(0.4657534246575342, 'C=CC=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccc9ccccc9c8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[1.5827627182006836] Updated in round 33! max:(0.4657534246575342, 'C=CC=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccc9ccccc9c8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[1.5985169410705566] Updated in round 34! max:(0.4657534246575342, 'C=CC=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccc9ccccc9c8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[1.614753007888794] Updated in round 35! max:(0.5205479452054794, 'C=Cc1cc2c(ccc3cc4ccc5cc(C=C)c(-c6ccc7ccccc7c6)cc5c4cc32)cc1-c1ccc2ccc(C=CC=Cc3ccccc3)cc2c1'), min:(-99999, '')
[1.9501490592956543] Updated in round 36! max:(0.5205479452054794, 'C=Cc1cc2c(ccc3cc4ccc5cc(C=C)c(-c6ccc7ccccc7c6)cc5c4cc32)cc1-c1ccc2ccc(C=CC=Cc3ccccc3)cc2c1'), min:(-99999, '')
[1.9598298072814941] Updated in round 37! max:(0.5205479452054794, 'C=Cc1cc2c(ccc3cc4ccc5cc(C=C)c(-c6ccc7ccccc7c6)cc5c4cc32)cc1-c1ccc2ccc(C=CC=Cc3ccccc3)cc2c1'), min:(-99999, '')
[1.9780147075653076] Updated in round 38! max:(0.5616438356164384, 'C=Cc1cc2c(ccc3cc4ccc5cc(C=C)c(-c6ccc7ccccc7c6)cc5c4cc32)cc1-c1ccc2ccc(C=CC=Cc3ccc4ccccc4c3)cc2c1'), min:(-99999, '')
[2.384922981262207] Updated in round 39! max:(0.5753424657534246, 'C=Cc1cc2ccccc2cc1C=CC=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccc9ccccc9c8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[2.813781976699829] Updated in round 40! max:(0.5753424657534246, 'C=Cc1cc2ccccc2cc1C=CC=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccc9ccccc9c8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[2.823777914047241] Updated in round 41! max:(0.5753424657534246, 'C=Cc1cc2ccccc2cc1C=CC=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccc9ccccc9c8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[2.835456132888794] Updated in round 42! max:(0.5753424657534246, 'C=Cc1cc2ccccc2cc1C=CC=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccc9ccccc9c8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[2.8484010696411133] Updated in round 43! max:(0.5753424657534246, 'C=Cc1cc2ccccc2cc1C=CC=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccc9ccccc9c8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[2.863402843475342] Updated in round 44! max:(0.5753424657534246, 'C=Cc1cc2ccccc2cc1C=CC=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccc9ccccc9c8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[2.8724722862243652] Updated in round 45! max:(0.5753424657534246, 'C=Cc1cc2ccccc2cc1C=CC=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccc9ccccc9c8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[2.88236927986145] Updated in round 46! max:(0.5753424657534246, 'C=Cc1cc2ccccc2cc1C=CC=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccc9ccccc9c8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[2.8928394317626953] Updated in round 47! max:(0.5753424657534246, 'C=Cc1cc2ccccc2cc1C=CC=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccc9ccccc9c8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
[2.903559923171997] Updated in round 48! max:(0.5753424657534246, 'C=Cc1cc2ccccc2cc1C=CC=Cc1ccc2ccc(-c3cc4ccc5cc6ccc7cc(C=C)c(-c8ccc9ccccc9c8)cc7c6cc5c4cc3C=C)cc2c1'), min:(-99999, '')
