[9.083747863769531e-05]Start running EvoMol from [H][H]...
[0.022237777709960938] Updated in round 1! max:(0.0547945205479452, 'c1ccccc1'), min:(-99999, '')
[0.02818131446838379] Updated in round 2! max:(0.1095890410958904, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.040189504623413086] Updated in round 3! max:(0.1643835616438356, 'c1ccc(-c2cccc(-c3ccccc3)c2)cc1'), min:(-99999, '')
[0.061772823333740234] Updated in round 4! max:(0.2191780821917808, 'c1ccc(-c2cccc(-c3cccc(-c4ccccc4)c3)c2)cc1'), min:(-99999, '')
[0.09834766387939453] Updated in round 5! max:(0.273972602739726, 'c1ccc(-c2ccc(-c3cccc(-c4cccc(-c5ccccc5)c4)c3)cc2)cc1'), min:(-99999, '')
[0.15820598602294922] Updated in round 6! max:(0.273972602739726, 'c1ccc(-c2ccc(-c3cccc(-c4cccc(-c5ccccc5)c4)c3)cc2)cc1'), min:(-99999, '')
[0.16675138473510742] Updated in round 7! max:(0.3150684931506849, 'c1ccc(-c2cccc(-c3cccc(-c4ccc(-c5ccc6ccccc6c5)cc4)c3)c2)cc1'), min:(-99999, '')
[0.2515866756439209] Updated in round 8! max:(0.3287671232876712, 'C=Cc1ccc2ccc(-c3ccc(-c4cccc(-c5cccc(-c6ccccc6)c5)c4)cc3)cc2c1'), min:(-99999, '')
[0.3598637580871582] Updated in round 9! max:(0.3287671232876712, 'C=Cc1ccc2ccc(-c3ccc(-c4cccc(-c5cccc(-c6ccccc6)c5)c4)cc3)cc2c1'), min:(-99999, '')
[0.3683185577392578] Updated in round 10! max:(0.3561643835616438, 'c1ccc(-c2cccc(-c3cccc(-c4ccc(-c5ccc6ccc7ccccc7c6c5)cc4)c3)c2)cc1'), min:(-99999, '')
[0.4756348133087158] Updated in round 11! max:(0.3561643835616438, 'c1ccc(-c2cccc(-c3cccc(-c4ccc(-c5ccc6ccc7ccccc7c6c5)cc4)c3)c2)cc1'), min:(-99999, '')
