[0.01133108139038086]Start running EvoMol from [H][H]...
[0.020117521286010742] Updated in round 1! max:(0.0136986301369863, 'C=C'), min:(-99999, '')
[0.021077871322631836] Updated in round 2! max:(0.0273972602739726, 'C=CC=C'), min:(-99999, '')
[0.024265050888061523] Updated in round 3! max:(0.0410958904109589, 'C=CC=CC=C'), min:(-99999, '')
[0.028700828552246094] Updated in round 4! max:(0.0547945205479452, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.03419947624206543] Updated in round 5! max:(0.0684931506849315, 'C=c1ccccc1=C'), min:(-99999, '')
[0.03818941116333008] Updated in round 6! max:(0.0821917808219178, 'C=Cc1ccc(=C)c(=C)c1'), min:(-99999, '')
[0.04323744773864746] Updated in round 7! max:(0.0958904109589041, 'C=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.04886817932128906] Updated in round 8! max:(0.1095890410958904, 'C=CC=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.05627870559692383] Updated in round 9! max:(0.1095890410958904, 'C=CC=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.0584721565246582] Updated in round 10! max:(0.1095890410958904, 'C=CC=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.06054043769836426] Updated in round 11! max:(0.1095890410958904, 'C=CC=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.06426429748535156] Updated in round 12! max:(0.1232876712328767, 'C=Cc1ccc2c(=C)c(=C)ccc2c1'), min:(-99999, '')
[0.07308673858642578] Updated in round 13! max:(0.136986301369863, 'C=CC=c1ccc2cc(C=C)ccc2c1=C'), min:(-99999, '')
[0.08414840698242188] Updated in round 14! max:(0.1506849315068493, 'C=CC(=C)C=c1ccc2cc(C=C)ccc2c1=C'), min:(-99999, '')
[0.09763288497924805] Updated in round 15! max:(0.1643835616438356, 'C=CC=CC(=C)C=c1ccc2cc(C=C)ccc2c1=C'), min:(-99999, '')
[0.11528968811035156] Updated in round 16! max:(0.1780821917808219, 'C=CC(=C)C=CC(=C)C=c1ccc2cc(C=C)ccc2c1=C'), min:(-99999, '')
[0.1366569995880127] Updated in round 17! max:(0.1917808219178082, 'C=CC(=C)C=c1cc2c(ccc3cc(C=C)ccc32)cc1=C'), min:(-99999, '')
