[9.512901306152344e-05]Start running EvoMol from [H][H]...
[0.013402223587036133] Updated in round 1! max:(0.0136986301369863, 'C=C'), min:(-99999, '')
[0.014302253723144531] Updated in round 2! max:(0.0273972602739726, 'C=CC=C'), min:(-99999, '')
[0.01735520362854004] Updated in round 3! max:(0.0410958904109589, 'C=CC=CC=C'), min:(-99999, '')
[0.020882606506347656] Updated in round 4! max:(0.0547945205479452, 'c1ccccc1'), min:(-99999, '')
[0.1299593448638916] Updated in round 5! max:(0.0684931506849315, 'C=c1ccccc1=C'), min:(-99999, '')
[0.13868236541748047] Updated in round 6! max:(0.0821917808219178, 'C=Cc1cccc(=C)c1=C'), min:(-99999, '')
[0.1463310718536377] Updated in round 7! max:(0.0958904109589041, 'C=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.15156984329223633] Updated in round 8! max:(0.1095890410958904, 'C=CC=Cc1c(C=C)ccc(=C)c1=C'), min:(-99999, '')
[0.1598377227783203] Updated in round 9! max:(0.1232876712328767, 'C=CC=Cc1c(C=C)ccc(=C)c1=CC=C'), min:(-99999, '')
[0.16958332061767578] Updated in round 10! max:(0.1232876712328767, 'C=CC=Cc1c(C=C)ccc(=C)c1=CC=C'), min:(-99999, '')
[0.1716761589050293] Updated in round 11! max:(0.1232876712328767, 'C=CC=Cc1c(C=C)ccc(=C)c1=CC=C'), min:(-99999, '')
[0.17509770393371582] Updated in round 12! max:(0.136986301369863, 'C=CC=CC=c1c(C=CC=C)c(C=C)ccc1=C'), min:(-99999, '')
[0.18897318840026855] Updated in round 13! max:(0.136986301369863, 'C=CC=CC=c1c(C=CC=C)c(C=C)ccc1=C'), min:(-99999, '')
[0.19168567657470703] Updated in round 14! max:(0.136986301369863, 'C=CC=CC=c1c(C=CC=C)c(C=C)ccc1=C'), min:(-99999, '')
[0.19655084609985352] Updated in round 15! max:(0.1506849315068493, 'C=CC=CC=Cc1c(C=C)ccc(=C)c1=CC=CC=C'), min:(-99999, '')
[0.2153465747833252] Updated in round 16! max:(0.1506849315068493, 'C=CC=CC=Cc1c(C=C)ccc(=C)c1=CC=CC=C'), min:(-99999, '')
[0.22131109237670898] Updated in round 17! max:(0.1643835616438356, 'C=CC=CC=CC=c1c(C=CC=CC=C)c(C=C)ccc1=C'), min:(-99999, '')
[0.24687623977661133] Updated in round 18! max:(0.1780821917808219, 'C=CC=CC=Cc1c(C=C)ccc(=C)c1=CC(C=C)=CC=CC=C'), min:(-99999, '')
[0.27924060821533203] Updated in round 19! max:(0.1917808219178082, 'C=CC=CC=C(C=C)C=c1c(C=CC=C(C=C)C=C)c(C=C)ccc1=C'), min:(-99999, '')
[0.3140676021575928] Updated in round 20! max:(0.2054794520547945, 'C=CC=CC=C(C=C)C=c1c(=C)ccc2ccccc(C=C)cccc12'), min:(-99999, '')
[0.35205912590026855] Updated in round 21! max:(0.2054794520547945, 'C=CC=CC=C(C=C)C=c1c(=C)ccc2ccccc(C=C)cccc12'), min:(-99999, '')
[0.36681532859802246] Updated in round 22! max:(0.2191780821917808, 'C=CC=CC=C(C=C)C=c1c(=C)ccc2ccccc(C=CC=C)cccc12'), min:(-99999, '')
[0.42171716690063477] Updated in round 23! max:(0.2191780821917808, 'C=CC=CC=C(C=C)C=c1c(=C)ccc2ccccc(C=CC=C)cccc12'), min:(-99999, '')
[0.4353008270263672] Updated in round 24! max:(0.2328767123287671, 'C=CC=CC=c1cc2c(ccc3ccccc(C=CC=C)cccc32)cc1=C'), min:(-99999, '')
[0.4840822219848633] Updated in round 25! max:(0.2328767123287671, 'C=CC=CC=c1cc2c(ccc3ccccc(C=CC=C)cccc32)cc1=C'), min:(-99999, '')
[0.5018715858459473] Updated in round 26! max:(0.2465753424657534, 'C=CC=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1'), min:(-99999, '')
[0.5575494766235352] Updated in round 27! max:(0.2465753424657534, 'C=CC=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1'), min:(-99999, '')
[0.5668449401855469] Updated in round 28! max:(0.2465753424657534, 'C=CC=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1'), min:(-99999, '')
[0.5804367065429688] Updated in round 29! max:(0.2602739726027397, 'C=CC(=C)C=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1'), min:(-99999, '')
[0.6439783573150635] Updated in round 30! max:(0.2602739726027397, 'C=CC(=C)C=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1'), min:(-99999, '')
[0.654789924621582] Updated in round 31! max:(0.2602739726027397, 'C=CC(=C)C=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1'), min:(-99999, '')
[0.669663667678833] Updated in round 32! max:(0.273972602739726, 'C=CC=C(C=C)C=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1'), min:(-99999, '')
[0.7443225383758545] Updated in round 33! max:(0.273972602739726, 'C=CC=C(C=C)C=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1'), min:(-99999, '')
[0.7644443511962891] Updated in round 34! max:(0.273972602739726, 'C=CC=C(C=C)C=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1'), min:(-99999, '')
[0.7784163951873779] Updated in round 35! max:(0.273972602739726, 'C=CC=C(C=C)C=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1'), min:(-99999, '')
[0.7963755130767822] Updated in round 36! max:(0.273972602739726, 'C=CC=C(C=C)C=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1'), min:(-99999, '')
[0.8104450702667236] Updated in round 37! max:(0.273972602739726, 'C=CC=C(C=C)C=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1'), min:(-99999, '')
[0.8224689960479736] Updated in round 38! max:(0.273972602739726, 'C=CC=C(C=C)C=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1'), min:(-99999, '')
[0.8430407047271729] Updated in round 39! max:(0.2876712328767123, 'C=CC=CC(C=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1)=CC=C'), min:(-99999, '')
[0.935460090637207] Updated in round 40! max:(0.2876712328767123, 'C=CC=CC(C=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1)=CC=C'), min:(-99999, '')
[0.9569220542907715] Updated in round 41! max:(0.2876712328767123, 'C=CC=CC(C=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1)=CC=C'), min:(-99999, '')
[0.973912239074707] Updated in round 42! max:(0.2876712328767123, 'C=CC=CC(C=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1)=CC=C'), min:(-99999, '')
[0.9895532131195068] Updated in round 43! max:(0.3013698630136986, 'C=CC=C(C=CC(=C)C=C)C=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1'), min:(-99999, '')
[1.0913777351379395] Updated in round 44! max:(0.3013698630136986, 'C=CC=C(C=CC(=C)C=C)C=Cc1ccccc2ccc3cc(=C)c(=CC=C(C=C)C=C)cc3c2ccc1'), min:(-99999, '')
