[0.0002715587615966797]Start running EvoMol from [H][H]...
[0.0014493465423583984] Updated in round 1! max:(0.06557377049180328, 'c1ccccc1'), min:(-99999, '')
[0.007687091827392578] Updated in round 2! max:(0.13114754098360656, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.026103496551513672] Updated in round 3! max:(0.19672131147540983, 'c1ccc(-c2ccccc2-c2ccccc2)cc1'), min:(-99999, '')
[0.16997981071472168] Updated in round 4! max:(0.26229508196721313, 'c1ccc(-c2cccc(-c3ccccc3-c3ccccc3)c2)cc1'), min:(-99999, '')
[0.34088921546936035] Updated in round 5! max:(0.3114754098360656, 'c1ccc(-c2cccc(-c3c(-c4ccccc4)ccc4ccccc34)c2)cc1'), min:(-99999, '')
[1.5972552299499512] Updated in round 6! max:(0.32786885245901637, 'C=Cc1ccc2c(-c3cccc(-c4ccccc4)c3)c(-c3ccccc3)ccc2c1'), min:(-99999, '')
[3.8311614990234375] Updated in round 7! max:(0.3442622950819672, 'C=Cc1cc(-c2ccccc2)cc(-c2c(-c3ccccc3)ccc3cc(C=C)ccc23)c1'), min:(-99999, '')
[4.141721725463867] Updated in round 8! max:(0.4098360655737705, 'C=Cc1cc(-c2ccc(-c3ccccc3)cc2)cc(-c2c(-c3ccccc3)ccc3cc(C=C)ccc23)c1'), min:(-99999, '')
[4.983033180236816] Updated in round 9! max:(0.47540983606557374, 'C=Cc1cc(-c2ccc(-c3ccccc3)cc2)cc(-c2c(-c3cccc(-c4ccccc4)c3)ccc3cc(C=C)ccc23)c1'), min:(-99999, '')
[14.326209783554077] Updated in round 10! max:(0.5081967213114754, 'C=Cc1ccc2c(-c3cc(-c4ccc(-c5ccccc5)cc4)c4ccccc4c3)c(-c3cccc(-c4ccccc4)c3)ccc2c1'), min:(-99999, '')
[29.757310390472412] Updated in round 11! max:(0.5737704918032787, 'C=Cc1ccc2c(-c3cc(-c4ccc(-c5ccccc5)cc4)c4ccccc4c3)c(-c3cccc(-c4ccccc4)c3)ccc2c1-c1ccccc1'), min:(-99999, '')
[35.784504652023315] Updated in round 12! max:(0.5737704918032787, 'C=Cc1ccc2c(-c3cc(-c4ccc(-c5ccccc5)cc4)c4ccccc4c3)c(-c3cccc(-c4ccccc4)c3)ccc2c1-c1ccccc1'), min:(-99999, '')
[39.03665781021118] Updated in round 13! max:(0.5901639344262295, 'C=Cc1ccccc1-c1cccc(-c2ccc3c(-c4ccccc4)c(C=C)ccc3c2-c2cc(-c3ccc(-c4ccccc4)cc3)c3ccccc3c2)c1'), min:(-99999, '')
[41.11725950241089] Updated in round 14! max:(0.5901639344262295, 'C=Cc1ccccc1-c1cccc(-c2ccc3c(-c4ccccc4)c(C=C)ccc3c2-c2cc(-c3ccc(-c4ccccc4)cc3)c3ccccc3c2)c1'), min:(-99999, '')
[70.67029047012329] Updated in round 15! max:(0.5901639344262295, 'C=Cc1ccccc1-c1cccc(-c2ccc3c(-c4ccccc4)c(C=C)ccc3c2-c2cc(-c3ccc(-c4ccccc4)cc3)c3ccccc3c2)c1'), min:(-99999, '')
[76.75199818611145] Updated in round 16! max:(0.6065573770491803, 'C=Cc1ccc2cc1-c1cccc(c1)-c1ccc3c(c(C=C)ccc3c1-c1cc(-c3ccc(-c4ccccc4)cc3)c3ccccc3c1)-c1ccc-2cc1'), min:(-99999, '')
[88.22886776924133] Updated in round 17! max:(0.6065573770491803, 'C=Cc1ccc2cc1-c1cccc(c1)-c1ccc3c(c(C=C)ccc3c1-c1cc(-c3ccc(-c4ccccc4)cc3)c3ccccc3c1)-c1ccc-2cc1'), min:(-99999, '')
[89.75659561157227] Updated in round 18! max:(0.6065573770491803, 'C=Cc1ccc2cc1-c1cccc(c1)-c1ccc3c(c(C=C)ccc3c1-c1cc(-c3ccc(-c4ccccc4)cc3)c3ccccc3c1)-c1ccc-2cc1'), min:(-99999, '')
[123.10985088348389] Updated in round 19! max:(0.6065573770491803, 'C=Cc1ccc2cc1-c1cccc(c1)-c1ccc3c(c(C=C)ccc3c1-c1cc(-c3ccc(-c4ccccc4)cc3)c3ccccc3c1)-c1ccc-2cc1'), min:(-99999, '')
[128.08535480499268] Updated in round 20! max:(0.6065573770491803, 'C=Cc1ccc2cc1-c1cccc(c1)-c1ccc3c(c(C=C)ccc3c1-c1cc(-c3ccc(-c4ccccc4)cc3)c3ccccc3c1)-c1ccc-2cc1'), min:(-99999, '')
[130.11826634407043] Updated in round 21! max:(0.6229508196721312, 'C=Cc1cc(-c2cc(-c3c4ccc5c(c(C=C)ccc35)-c3ccc(cc3)-c3ccc(C=C)c(c3)-c3cccc-4c3)cc3ccccc23)ccc1-c1ccccc1'), min:(-99999, '')
[237.00848984718323] Updated in round 22! max:(0.6229508196721312, 'C=Cc1cc(-c2cc(-c3c4ccc5c(c(C=C)ccc35)-c3ccc(cc3)-c3ccc(C=C)c(c3)-c3cccc-4c3)cc3ccccc23)ccc1-c1ccccc1'), min:(-99999, '')
