[9.846687316894531e-05]Start running EvoMol from [H][H]...
[0.0007441043853759766] Updated in round 1! max:(0.01639344262295082, 'C=C'), min:(-99999, '')
[0.0015783309936523438] Updated in round 2! max:(0.03278688524590164, 'C=CC=C'), min:(-99999, '')
[0.003599405288696289] Updated in round 3! max:(0.04918032786885246, 'C=CC=CC=C'), min:(-99999, '')
[0.006895780563354492] Updated in round 4! max:(0.06557377049180328, 'c1ccccc1'), min:(-99999, '')
[0.012952804565429688] Updated in round 5! max:(0.08196721311475409, 'C=Cc1ccccc1'), min:(-99999, '')
[0.018308401107788086] Updated in round 6! max:(0.09836065573770492, 'C=Cc1ccccc1C=C'), min:(-99999, '')
[0.025803327560424805] Updated in round 7! max:(0.11475409836065574, 'C=Cc1ccc(C=C)c(C=C)c1'), min:(-99999, '')
[0.03475069999694824] Updated in round 8! max:(0.13114754098360656, 'C=Cc1ccc2ccccc2c1'), min:(-99999, '')
[0.04751443862915039] Updated in round 9! max:(0.14754098360655737, 'C=Cc1ccc2cc(C=C)ccc2c1'), min:(-99999, '')
[0.07903623580932617] Updated in round 10! max:(0.14754098360655737, 'C=Cc1ccc2cc(C=C)ccc2c1'), min:(-99999, '')
[0.0978233814239502] Updated in round 11! max:(0.16393442622950818, 'C=Cc1ccc2cc(C=C)c(C=C)cc2c1'), min:(-99999, '')
[0.14218473434448242] Updated in round 12! max:(0.16393442622950818, 'C=Cc1ccc2cc(C=C)c(C=C)cc2c1'), min:(-99999, '')
[0.16318154335021973] Updated in round 13! max:(0.18032786885245902, 'C=Cc1cc2ccc(C=C)c(C=C)c2cc1C=C'), min:(-99999, '')
[0.1949474811553955] Updated in round 14! max:(0.19672131147540983, 'C=CC=Cc1c(C=C)ccc2cc(C=C)c(C=C)cc12'), min:(-99999, '')
[0.6334962844848633] Updated in round 15! max:(0.21311475409836064, 'C=Cc1cc2ccc(C=C)c3ccc(=C)ccc1cc23'), min:(-99999, '')
