[0.00011110305786132812]Start running EvoMol from [H][H]...
[0.0007493495941162109] Updated in round 1! max:(0.01639344262295082, 'C=C'), min:(-99999, '')
[0.0015935897827148438] Updated in round 2! max:(0.03278688524590164, 'C=CC=C'), min:(-99999, '')
[0.0036399364471435547] Updated in round 3! max:(0.04918032786885246, 'C=CC=CC=C'), min:(-99999, '')
[0.006799936294555664] Updated in round 4! max:(0.06557377049180328, 'c1ccccc1'), min:(-99999, '')
[0.012846231460571289] Updated in round 5! max:(0.08196721311475409, 'C=Cc1ccccc1'), min:(-99999, '')
[0.01764965057373047] Updated in round 6! max:(0.09836065573770492, 'C=Cc1ccccc1C=C'), min:(-99999, '')
[0.02481222152709961] Updated in round 7! max:(0.11475409836065574, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.031110525131225586] Updated in round 8! max:(0.13114754098360656, 'C=Cc1cccc2ccccc12'), min:(-99999, '')
[0.045192718505859375] Updated in round 9! max:(0.14754098360655737, 'C=Cc1ccc(C=C)c2ccccc12'), min:(-99999, '')
[0.07254743576049805] Updated in round 10! max:(0.16393442622950818, 'C=Cc1ccc2c(C=C)ccc(C=C)c2c1'), min:(-99999, '')
[0.1247255802154541] Updated in round 11! max:(0.18032786885245902, 'C=Cc1ccc2c(C=C)ccc3c2c1C=C3'), min:(-99999, '')
[0.17021799087524414] Updated in round 12! max:(0.19672131147540983, 'C=CC1=Cc2c(C=C)ccc3c(C=C)ccc1c23'), min:(-99999, '')
[0.2593400478363037] Updated in round 13! max:(0.21311475409836064, 'C=CC1=Cc2c(C=C)c(C=C)cc3c(C=C)ccc1c23'), min:(-99999, '')
[0.3816039562225342] Updated in round 14! max:(0.22950819672131148, 'C=CC=CC1=Cc2c(C=C)c(C=C)cc3c(C=C)ccc1c23'), min:(-99999, '')
[0.8896982669830322] Updated in round 15! max:(0.2459016393442623, 'C=CC=CC1=Cc2c(C=C)c(C=C)cc3c(C=CC=C)ccc1c23'), min:(-99999, '')
[2.0744071006774902] Updated in round 16! max:(0.26229508196721313, 'C=CC=CC1=Cc2c(C=C)c(C=C)c(C=C)c3c(C=CC=C)ccc1c23'), min:(-99999, '')
[3.079308032989502] Updated in round 17! max:(0.2786885245901639, 'C=CC=CC1=Cc2c(C=C)c(C=C)c(C=C)c3c(C=C(C=C)C=C)ccc1c23'), min:(-99999, '')
[5.847555875778198] Updated in round 18! max:(0.29508196721311475, 'C=CC1=Cc2ccc3c4c(c(C=C)c(C=C)c(C=C)c24)C=C3C=CC=CC=C1'), min:(-99999, '')
[13.67863154411316] Updated in round 19! max:(0.3114754098360656, 'C=Cc1ccccc(C=C)cc2ccc3c4c(cc-3c1)c(C=C)c(C=C)c(C=C)c24'), min:(-99999, '')
[25.351696014404297] Updated in round 20! max:(0.3114754098360656, 'C=Cc1ccccc(C=C)cc2ccc3c4c(cc-3c1)c(C=C)c(C=C)c(C=C)c24'), min:(-99999, '')
