[4.3392181396484375e-05]Start running EvoMol from [H][H]...
[0.0003495216369628906] Updated in round 1! max:(0.125, 'C=C'), min:(-99999, '')
[0.0008161067962646484] Updated in round 2! max:(0.25, 'C=CC=C'), min:(-99999, '')
[0.0021009445190429688] Updated in round 3! max:(0.375, 'C=CC=CC=C'), min:(-99999, '')
[0.003675699234008789] Updated in round 4! max:(0.5, 'c1ccccc1'), min:(-99999, '')
[0.006700277328491211] Updated in round 5! max:(0.625, 'C=Cc1ccccc1'), min:(-99999, '')
[0.009173870086669922] Updated in round 6! max:(0.75, 'C=CC=Cc1ccccc1'), min:(-99999, '')
[0.013171911239624023] Updated in round 7! max:(0.875, 'C=CC=CC=Cc1ccccc1'), min:(-99999, '')
[0.018697023391723633] Updated in round 8! max:(0.875, 'C=CC=CC=Cc1ccccc1'), min:(-99999, '')
[0.019621849060058594] Updated in round 9! max:(0.875, 'C=CC=CC=Cc1ccccc1'), min:(-99999, '')
[0.020526409149169922] Updated in round 10! max:(0.875, 'C=CC=CC=Cc1ccccc1'), min:(-99999, '')
[0.02091050148010254] Reproduced in round 11!!
