[4.673004150390625e-05]Start running EvoMol from [H][H]...
[0.0006656646728515625] Updated in round 1! max:(0.3333333333333333, 'c1ccccc1'), min:(-99999, '')
[0.004543304443359375] Updated in round 2! max:(0.4166666666666667, 'C=Cc1ccccc1'), min:(-99999, '')
[0.009181976318359375] Updated in round 3! max:(0.5, 'C=Cc1ccccc1C=C'), min:(-99999, '')
[0.014770269393920898] Updated in round 4! max:(0.5833333333333334, 'C=C1C=Cc2ccccc21'), min:(-99999, '')
[0.020061492919921875] Updated in round 5! max:(0.5833333333333334, 'C=C1C=Cc2ccccc21'), min:(-99999, '')
[0.02111196517944336] Updated in round 6! max:(0.5833333333333334, 'C=C1C=Cc2ccccc21'), min:(-99999, '')
[0.02213597297668457] Updated in round 7! max:(0.5833333333333334, 'C=C1C=Cc2ccccc21'), min:(-99999, '')
[0.023311138153076172] Updated in round 8! max:(0.6666666666666666, 'C=CC1=Cc2ccccc2C1=C'), min:(-99999, '')
[0.030037403106689453] Updated in round 9! max:(0.75, 'C=CC=C1C(C=C)=Cc2ccccc21'), min:(-99999, '')
[0.03904914855957031] Updated in round 10! max:(0.75, 'C=CC=C1C(C=C)=Cc2ccccc21'), min:(-99999, '')
[0.04034018516540527] Updated in round 11! max:(0.75, 'C=CC=C1C(C=C)=Cc2ccccc21'), min:(-99999, '')
[0.04149580001831055] Updated in round 12! max:(0.75, 'C=CC=C1C(C=C)=Cc2ccccc21'), min:(-99999, '')
[0.04278397560119629] Updated in round 13! max:(0.8333333333333334, 'C=CC1=C2C(=Cc3ccccc32)C=C1'), min:(-99999, '')
[0.051206111907958984] Updated in round 14! max:(0.8333333333333334, 'C=CC1=C2C(=Cc3ccccc32)C=C1'), min:(-99999, '')
[0.05244112014770508] Updated in round 15! max:(0.8333333333333334, 'C=CC1=C2C(=Cc3ccccc32)C=C1'), min:(-99999, '')
[0.05366206169128418] Updated in round 16! max:(0.8333333333333334, 'C=CC1=C2C(=Cc3ccccc32)C=C1'), min:(-99999, '')
[0.05506181716918945] Updated in round 17! max:(0.9166666666666666, 'C=CC1=CC2=Cc3ccccc3C2=C1C=C'), min:(-99999, '')
[0.06535720825195312] Updated in round 18! max:(0.9166666666666666, 'C=CC1=CC2=Cc3ccccc3C2=C1C=C'), min:(-99999, '')
[0.06670331954956055] Updated in round 19! max:(0.9166666666666666, 'C=CC1=CC2=Cc3ccccc3C2=C1C=C'), min:(-99999, '')
[0.06714940071105957] Reproduced in round 20!!
