[4.410743713378906e-05]Start running EvoMol from [H][H]...
[0.0003497600555419922] Updated in round 1! max:(0.08333333333333333, 'C=C'), min:(-99999, '')
[0.0008206367492675781] Updated in round 2! max:(0.16666666666666666, 'C=CC=C'), min:(-99999, '')
[0.0021636486053466797] Updated in round 3! max:(0.25, 'C=CC=CC=C'), min:(-99999, '')
[0.004140615463256836] Updated in round 4! max:(0.3333333333333333, 'c1ccccc1'), min:(-99999, '')
[0.0075490474700927734] Updated in round 5! max:(0.4166666666666667, 'C=Cc1ccccc1'), min:(-99999, '')
[0.010191202163696289] Updated in round 6! max:(0.5, 'C=Cc1ccccc1C=C'), min:(-99999, '')
[0.013663053512573242] Updated in round 7! max:(0.5833333333333334, 'C=C1C=Cc2ccccc21'), min:(-99999, '')
[0.01675724983215332] Updated in round 8! max:(0.5833333333333334, 'C=C1C=Cc2ccccc21'), min:(-99999, '')
[0.01767754554748535] Updated in round 9! max:(0.5833333333333334, 'C=C1C=Cc2ccccc21'), min:(-99999, '')
[0.0187528133392334] Updated in round 10! max:(0.6666666666666666, 'C=CC1=Cc2ccccc2C1=C'), min:(-99999, '')
[0.022981882095336914] Updated in round 11! max:(0.75, 'C=CC=C1C(C=C)=Cc2ccccc21'), min:(-99999, '')
[0.028981447219848633] Updated in round 12! max:(0.75, 'C=CC=C1C(C=C)=Cc2ccccc21'), min:(-99999, '')
[0.030461549758911133] Updated in round 13! max:(0.8333333333333334, 'C=CC=CC=C1C(C=C)=Cc2ccccc21'), min:(-99999, '')
[0.03902626037597656] Updated in round 14! max:(0.8333333333333334, 'C=CC=CC=C1C(C=C)=Cc2ccccc21'), min:(-99999, '')
[0.04024648666381836] Updated in round 15! max:(0.8333333333333334, 'C=CC=CC=C1C(C=C)=Cc2ccccc21'), min:(-99999, '')
[0.04174160957336426] Updated in round 16! max:(0.9166666666666666, 'C=CC=CC1=C2C(=Cc3ccccc32)C=C1'), min:(-99999, '')
[0.04984402656555176] Updated in round 17! max:(0.9166666666666666, 'C=CC=CC1=C2C(=Cc3ccccc32)C=C1'), min:(-99999, '')
[0.05109834671020508] Updated in round 18! max:(0.9166666666666666, 'C=CC=CC1=C2C(=Cc3ccccc32)C=C1'), min:(-99999, '')
[0.05240607261657715] Updated in round 19! max:(0.9166666666666666, 'C=CC=CC1=C2C(=Cc3ccccc32)C=C1'), min:(-99999, '')
[0.05372190475463867] Updated in round 20! max:(0.9166666666666666, 'C=CC=CC1=C2C(=Cc3ccccc32)C=C1'), min:(-99999, '')
[0.05493474006652832] Updated in round 21! max:(0.9166666666666666, 'C=CC=CC1=C2C(=Cc3ccccc32)C=C1'), min:(-99999, '')
[0.0553288459777832] Reproduced in round 22!!
