[4.7206878662109375e-05]Start running EvoMol from [H][H]...
[0.0006380081176757812] Updated in round 1! max:(0.26666666666666666, 'c1ccccc1'), min:(-99999, '')
[0.005122184753417969] Updated in round 2! max:(0.5333333333333333, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.015047550201416016] Updated in round 3! max:(0.7333333333333333, 'c1ccc(-c2cccc3ccccc23)cc1'), min:(-99999, '')
[0.029647111892700195] Updated in round 4! max:(0.8, 'C=Cc1ccccc1-c1cccc2ccccc12'), min:(-99999, '')
[0.04755067825317383] Updated in round 5! max:(0.8, 'C=Cc1ccccc1-c1cccc2ccccc12'), min:(-99999, '')
[0.04922986030578613] Updated in round 6! max:(0.8, 'C=Cc1ccccc1-c1cccc2ccccc12'), min:(-99999, '')
[0.051096439361572266] Updated in round 7! max:(0.8666666666666667, 'C=Cc1cccc(-c2cccc3ccccc23)c1C=C'), min:(-99999, '')
[0.07238936424255371] Updated in round 8! max:(0.9333333333333333, 'C=Cc1cccc2c1c(=C)c1cccc3cccc2c31'), min:(-99999, '')
[0.09070158004760742] Updated in round 9! max:(0.9333333333333333, 'C=Cc1cccc2c1c(=C)c1cccc3cccc2c31'), min:(-99999, '')
[0.09245133399963379] Updated in round 10! max:(0.9333333333333333, 'C=Cc1cccc2c1c(=C)c1cccc3cccc2c31'), min:(-99999, '')
[0.0942535400390625] Updated in round 11! max:(0.9333333333333333, 'C=Cc1cccc2c1c(=C)c1cccc3cccc2c31'), min:(-99999, '')
[0.09485769271850586] Reproduced in round 12!!
