[5.0067901611328125e-05]Start running EvoMol from [H][H]...
[0.00039577484130859375] Updated in round 1! max:(0.06666666666666667, 'C=C'), min:(-99999, '')
[0.0009222030639648438] Updated in round 2! max:(0.13333333333333333, 'C=CC=C'), min:(-99999, '')
[0.002306222915649414] Updated in round 3! max:(0.2, 'C=CC=CC=C'), min:(-99999, '')
[0.004259824752807617] Updated in round 4! max:(0.26666666666666666, 'c1ccccc1'), min:(-99999, '')
[0.007636547088623047] Updated in round 5! max:(0.3333333333333333, 'C=c1ccccc1=C'), min:(-99999, '')
[0.010549545288085938] Updated in round 6! max:(0.4, 'C=Cc1cccc(=C)c1=C'), min:(-99999, '')
[0.014412164688110352] Updated in round 7! max:(0.4666666666666667, 'C=Cc1ccc(C=C)c(=C)c1=C'), min:(-99999, '')
[0.018959522247314453] Updated in round 8! max:(0.5333333333333333, 'C=Cc1cc(C=C)c(=C)c(=C)c1C=C'), min:(-99999, '')
[0.024678707122802734] Updated in round 9! max:(0.6, 'C=CC=Cc1cc(C=C)c(C=C)c(=C)c1=C'), min:(-99999, '')
[0.03206920623779297] Updated in round 10! max:(0.6, 'C=CC=Cc1cc(C=C)c(C=C)c(=C)c1=C'), min:(-99999, '')
[0.03330683708190918] Updated in round 11! max:(0.6, 'C=CC=Cc1cc(C=C)c(C=C)c(=C)c1=C'), min:(-99999, '')
[0.035651206970214844] Updated in round 12! max:(0.6666666666666666, 'C=Cc1c(C=C)c2ccccc2c(=C)c1=C'), min:(-99999, '')
[0.0428009033203125] Updated in round 13! max:(0.6666666666666666, 'C=Cc1c(C=C)c2ccccc2c(=C)c1=C'), min:(-99999, '')
[0.04444575309753418] Updated in round 14! max:(0.7333333333333333, 'C=Cc1c(C=C)c2cccc(C=C)c2c(=C)c1=C'), min:(-99999, '')
[0.053444862365722656] Updated in round 15! max:(0.7333333333333333, 'C=Cc1c(C=C)c2cccc(C=C)c2c(=C)c1=C'), min:(-99999, '')
[0.0549921989440918] Updated in round 16! max:(0.7333333333333333, 'C=Cc1c(C=C)c2cccc(C=C)c2c(=C)c1=C'), min:(-99999, '')
[0.05699419975280762] Updated in round 17! max:(0.8, 'C=CC=c1c(C=C)c(C=C)c2cccc(C=C)c2c1=C'), min:(-99999, '')
[0.0694880485534668] Updated in round 18! max:(0.8666666666666667, 'C=CC=c1c(=C)c2c(C=C)cccc2c2ccccc12'), min:(-99999, '')
[0.08277559280395508] Updated in round 19! max:(0.8666666666666667, 'C=CC=c1c(=C)c2c(C=C)cccc2c2ccccc12'), min:(-99999, '')
[0.08465790748596191] Updated in round 20! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.09876322746276855] Updated in round 21! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.10061407089233398] Updated in round 22! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.10234475135803223] Updated in round 23! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.10411548614501953] Updated in round 24! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.10586237907409668] Updated in round 25! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.10765790939331055] Updated in round 26! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.10927367210388184] Updated in round 27! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.11116981506347656] Updated in round 28! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.11287212371826172] Updated in round 29! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.11324810981750488] Reproduced in round 30!!
