[9.846687316894531e-05]Start running EvoMol from [H][H]...
[0.01788020133972168] Updated in round 1! max:(0.08333333333333333, 'c1ccccc1'), min:(-99999, '')
[0.023219585418701172] Updated in round 2! max:(0.21621621621621623, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.03439521789550781] Updated in round 3! max:(0.3235294117647059, 'c1cc2cc3ccc2cc13'), min:(-99999, '')
[0.046181678771972656] Updated in round 4! max:(0.3235294117647059, 'c1cc2cc3ccc2cc13'), min:(-99999, '')
[0.06626725196838379] Updated in round 5! max:(0.32558139534883723, 'c1ccc2c(c1)ccc1c3ccccc3ccc21'), min:(-99999, '')
[0.09823393821716309] Updated in round 6! max:(0.425, 'c1cc2ccc3c4ccc5cc4ccc3c2c5c1'), min:(-99999, '')
[0.13061046600341797] Updated in round 7! max:(0.48148148148148145, 'c1cc2c3c4ccc5ccc(c6ccc3c1c6)c2c5c4'), min:(-99999, '')
[0.1694355010986328] Updated in round 8! max:(0.48148148148148145, 'c1cc2c3c4ccc5ccc(c6ccc3c1c6)c2c5c4'), min:(-99999, '')
[0.1709609031677246] Updated in round 9! max:(0.48148148148148145, 'c1cc2c3c4ccc5ccc(c6ccc3c1c6)c2c5c4'), min:(-99999, '')
[0.17245936393737793] Updated in round 10! max:(0.48148148148148145, 'c1cc2c3c4ccc5ccc(c6ccc3c1c6)c2c5c4'), min:(-99999, '')
[0.1739368438720703] Updated in round 11! max:(0.48148148148148145, 'c1cc2c3c4ccc5ccc(c6ccc3c1c6)c2c5c4'), min:(-99999, '')
[0.1754472255706787] Updated in round 12! max:(0.48148148148148145, 'c1cc2c3c4ccc5ccc(c6ccc3c1c6)c2c5c4'), min:(-99999, '')
[0.17684459686279297] Updated in round 13! max:(0.48148148148148145, 'c1cc2c3c4ccc5ccc(c6ccc3c1c6)c2c5c4'), min:(-99999, '')
[0.17826628684997559] Updated in round 14! max:(0.48148148148148145, 'c1cc2c3c4ccc5ccc(c6ccc3c1c6)c2c5c4'), min:(-99999, '')
[0.17967534065246582] Updated in round 15! max:(0.5063291139240507, 'C=Cc1c2ccc3ccc4ccc5cc4c3c(cc2)c15'), min:(-99999, '')
[0.21689963340759277] Updated in round 16! max:(0.5189873417721519, 'c1cc2c3ccc4ccc5ccc6cc5c4c(cc13)c62'), min:(-99999, '')
[0.2544376850128174] Updated in round 17! max:(0.5189873417721519, 'c1cc2c3ccc4ccc5ccc6cc5c4c(cc13)c62'), min:(-99999, '')
[0.2559192180633545] Updated in round 18! max:(0.5189873417721519, 'c1cc2c3ccc4ccc5ccc6cc5c4c(cc13)c62'), min:(-99999, '')
[0.25753021240234375] Updated in round 19! max:(0.5365853658536586, 'c1cc2ccc3c4cc5ccc4c4c2c2cc(ccc12)c4c53'), min:(-99999, '')
[0.3060765266418457] Updated in round 20! max:(0.5365853658536586, 'c1cc2ccc3c4cc5ccc4c4c2c2cc(ccc12)c4c53'), min:(-99999, '')
[0.3078141212463379] Updated in round 21! max:(0.5365853658536586, 'c1cc2ccc3c4cc5ccc4c4c2c2cc(ccc12)c4c53'), min:(-99999, '')
[0.309722900390625] Updated in round 22! max:(0.5365853658536586, 'c1cc2ccc3c4cc5ccc4c4c2c2cc(ccc12)c4c53'), min:(-99999, '')
[0.31157898902893066] Updated in round 23! max:(0.5365853658536586, 'c1cc2ccc3c4cc5ccc4c4c2c2cc(ccc12)c4c53'), min:(-99999, '')
[0.31332993507385254] Updated in round 24! max:(0.5365853658536586, 'c1cc2ccc3c4cc5ccc4c4c2c2cc(ccc12)c4c53'), min:(-99999, '')
[0.31511855125427246] Updated in round 25! max:(0.6025641025641025, 'C=c1ccc2cc3ccc4ccc5ccc6cc5c4c2c6c13'), min:(-99999, '')
[0.3599090576171875] Updated in round 26! max:(0.6025641025641025, 'C=c1ccc2cc3ccc4ccc5ccc6cc5c4c2c6c13'), min:(-99999, '')
[0.3617229461669922] Updated in round 27! max:(0.6025641025641025, 'C=c1ccc2cc3ccc4ccc5ccc6cc5c4c2c6c13'), min:(-99999, '')
[0.363253116607666] Updated in round 28! max:(0.6025641025641025, 'C=c1ccc2cc3ccc4ccc5ccc6cc5c4c2c6c13'), min:(-99999, '')
[0.3650054931640625] Updated in round 29! max:(0.6025641025641025, 'C=c1ccc2cc3ccc4ccc5ccc6cc5c4c2c6c13'), min:(-99999, '')
[0.36670660972595215] Updated in round 30! max:(0.6025641025641025, 'C=c1ccc2cc3ccc4ccc5ccc6cc5c4c2c6c13'), min:(-99999, '')
[0.3685178756713867] Updated in round 31! max:(0.6363636363636364, 'c1cc2ccc3ccc4c5cc6ccc7cc1c6c4c7c2c35'), min:(-99999, '')
[0.41655826568603516] Updated in round 32! max:(0.6363636363636364, 'c1cc2ccc3ccc4c5cc6ccc7cc1c6c4c7c2c35'), min:(-99999, '')
[0.41854310035705566] Updated in round 33! max:(0.6363636363636364, 'c1cc2ccc3ccc4c5cc6ccc7cc1c6c4c7c2c35'), min:(-99999, '')
[0.4204413890838623] Updated in round 34! max:(0.6363636363636364, 'c1cc2ccc3ccc4c5cc6ccc7cc1c6c4c7c2c35'), min:(-99999, '')
[0.42248964309692383] Updated in round 35! max:(0.6363636363636364, 'c1cc2ccc3ccc4c5cc6ccc7cc1c6c4c7c2c35'), min:(-99999, '')
[0.42464423179626465] Updated in round 36! max:(0.6363636363636364, 'c1cc2ccc3ccc4c5cc6ccc7cc1c6c4c7c2c35'), min:(-99999, '')
