[0.00010895729064941406]Start running EvoMol from [H][H]...
[0.01847052574157715] Updated in round 1! max:(0.08333333333333333, 'c1ccccc1'), min:(-99999, '')
[0.023975372314453125] Updated in round 2! max:(0.21621621621621623, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.03556632995605469] Updated in round 3! max:(0.3333333333333333, 'c1ccc2c3ccc(cc3)c2c1'), min:(-99999, '')
[0.05217862129211426] Updated in round 4! max:(0.4594594594594595, 'c1ccc2c(c1)ccc1c3ccc(cc3)c21'), min:(-99999, '')
[0.07932376861572266] Updated in round 5! max:(0.4594594594594595, 'c1ccc2c(c1)ccc1c3ccc(cc3)c21'), min:(-99999, '')
[0.08038663864135742] Updated in round 6! max:(0.4675324675324675, 'C=Cc1cccc2ccc3c4ccc(cc4)c3c12'), min:(-99999, '')
[0.11207461357116699] Updated in round 7! max:(0.5, 'c1cc2ccc3cc4ccc3c3ccc(c1)c2c43'), min:(-99999, '')
[0.14638519287109375] Updated in round 8! max:(0.5, 'c1cc2ccc3cc4ccc3c3ccc(c1)c2c43'), min:(-99999, '')
[0.14784479141235352] Updated in round 9! max:(0.5, 'c1cc2ccc3cc4ccc3c3ccc(c1)c2c43'), min:(-99999, '')
[0.1492476463317871] Updated in round 10! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.18977713584899902] Updated in round 11! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.1915123462677002] Updated in round 12! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.19305133819580078] Updated in round 13! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.19461297988891602] Updated in round 14! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.19629931449890137] Updated in round 15! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.1979525089263916] Updated in round 16! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.19953322410583496] Updated in round 17! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.20113420486450195] Updated in round 18! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.20284581184387207] Updated in round 19! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.2043743133544922] Updated in round 20! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.2535974979400635] Updated in round 21! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.25576353073120117] Updated in round 22! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.25749850273132324] Updated in round 23! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.31165480613708496] Updated in round 24! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.31356191635131836] Updated in round 25! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.31523942947387695] Updated in round 26! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.31703901290893555] Updated in round 27! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.3187069892883301] Updated in round 28! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.3205442428588867] Updated in round 29! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.32216835021972656] Updated in round 30! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.32375001907348633] Updated in round 31! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.3253934383392334] Updated in round 32! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.3273189067840576] Updated in round 33! max:(0.5384615384615384, 'c1cc2ccc3cc4cc5ccc6cc(c1)c2c4c6c35'), min:(-99999, '')
[0.32911038398742676] Updated in round 34! max:(0.5903614457831325, 'c1cc2ccc3c4ccc5ccc6ccc7cc1c(cc7c6c53)c24'), min:(-99999, '')
[0.38355112075805664] Updated in round 35! max:(0.5903614457831325, 'c1cc2ccc3c4ccc5ccc6ccc7cc1c(cc7c6c53)c24'), min:(-99999, '')
