[0.011345863342285156]Start running EvoMol from [H][H]...
[0.015699386596679688] Updated in round 1! max:(0.0, '[H][H]'), min:(-99999, '')
[0.016170978546142578] Updated in round 2! max:(0.0, '[H][H]'), min:(-99999, '')
[0.017420291900634766] Updated in round 3! max:(0.06153846153846154, 'C1=CC=C1'), min:(-99999, '')
[0.019364118576049805] Updated in round 4! max:(0.06153846153846154, 'C1=CC=C1'), min:(-99999, '')
[0.02174544334411621] Updated in round 5! max:(0.08450704225352113, 'C1=CC2=CC1=C2'), min:(-99999, '')
[0.02498602867126465] Updated in round 6! max:(0.14925373134328357, 'c1cc2c3c1c23'), min:(-99999, '')
[0.03243851661682129] Updated in round 7! max:(0.1774193548387097, 'c12c3c4c1c3c24'), min:(-99999, '')
[0.04273509979248047] Updated in round 8! max:(0.1774193548387097, 'c12c3c4c1c3c24'), min:(-99999, '')
[0.05064964294433594] Updated in round 9! max:(0.2191780821917808, 'c1ccc2c(c1)c1c3c2c13'), min:(-99999, '')
[0.05693793296813965] Updated in round 10! max:(0.2361111111111111, 'c1cc2c1c1c2c2c3c1c23'), min:(-99999, '')
[0.0698087215423584] Updated in round 11! max:(0.2361111111111111, 'c1cc2c1c1c2c2c3c1c23'), min:(-99999, '')
[0.07065343856811523] Updated in round 12! max:(0.2361111111111111, 'c1cc2c1c1c2c2c3c1c23'), min:(-99999, '')
[0.07148265838623047] Updated in round 13! max:(0.2361111111111111, 'c1cc2c1c1c2c2c3c1c23'), min:(-99999, '')
[0.07817530632019043] Updated in round 14! max:(0.2361111111111111, 'c1cc2c1c1c2c2c3c1c23'), min:(-99999, '')
[0.08626627922058105] Updated in round 15! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.09562969207763672] Updated in round 16! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.09652233123779297] Updated in round 17! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.108123779296875] Updated in round 18! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.1182553768157959] Updated in round 19! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.1191091537475586] Updated in round 20! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.12000608444213867] Updated in round 21! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.13001227378845215] Updated in round 22! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.13099002838134766] Updated in round 23! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.14046454429626465] Updated in round 24! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.14143729209899902] Updated in round 25! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.15105938911437988] Updated in round 26! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.15198040008544922] Updated in round 27! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.15290212631225586] Updated in round 28! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.15403342247009277] Updated in round 29! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.16642236709594727] Updated in round 30! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.1789543628692627] Updated in round 31! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.17990756034851074] Updated in round 32! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.18088769912719727] Updated in round 33! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.1940021514892578] Updated in round 34! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.19519519805908203] Updated in round 35! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.20920276641845703] Updated in round 36! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.22345924377441406] Updated in round 37! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.22461509704589844] Updated in round 38! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.22581958770751953] Updated in round 39! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.22682619094848633] Updated in round 40! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.22781682014465332] Updated in round 41! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.242995023727417] Updated in round 42! max:(0.3380281690140845, 'c1cc2c1ccc1c2c2c3c1c23'), min:(-99999, '')
[0.24415254592895508] Updated in round 43! max:(0.38961038961038963, 'c1cc2ccc3cc4c(c2c3c1)c1c2c4c12'), min:(-99999, '')
[0.26097536087036133] Updated in round 44! max:(0.38961038961038963, 'c1cc2ccc3cc4c(c2c3c1)c1c2c4c12'), min:(-99999, '')
[0.26216959953308105] Updated in round 45! max:(0.38961038961038963, 'c1cc2ccc3cc4c(c2c3c1)c1c2c4c12'), min:(-99999, '')
[0.26333069801330566] Updated in round 46! max:(0.38961038961038963, 'c1cc2ccc3cc4c(c2c3c1)c1c2c4c12'), min:(-99999, '')
[0.2813100814819336] Updated in round 47! max:(0.38961038961038963, 'c1cc2ccc3cc4c(c2c3c1)c1c2c4c12'), min:(-99999, '')
[0.282642126083374] Updated in round 48! max:(0.38961038961038963, 'c1cc2ccc3cc4c(c2c3c1)c1c2c4c12'), min:(-99999, '')
[0.28393983840942383] Updated in round 49! max:(0.38961038961038963, 'c1cc2ccc3cc4c(c2c3c1)c1c2c4c12'), min:(-99999, '')
[0.2851071357727051] Updated in round 50! max:(0.4, 'C#Cc1ccc2ccc3ccc4c5c(cc2c13)c45'), min:(-99999, '')
[0.30402183532714844] Updated in round 51! max:(0.4268292682926829, 'C#Cc1ccc2ccc3ccc4c5c(c(C=C)c2c13)c45'), min:(-99999, '')
[0.32673001289367676] Updated in round 52! max:(0.4268292682926829, 'C#Cc1ccc2ccc3ccc4c5c(c(C=C)c2c13)c45'), min:(-99999, '')
[0.3280172348022461] Updated in round 53! max:(0.4268292682926829, 'C#Cc1ccc2ccc3ccc4c5c(c(C=C)c2c13)c45'), min:(-99999, '')
[0.3292868137359619] Updated in round 54! max:(0.4268292682926829, 'C#Cc1ccc2ccc3ccc4c5c(c(C=C)c2c13)c45'), min:(-99999, '')
[0.330552339553833] Updated in round 55! max:(0.4268292682926829, 'C#Cc1ccc2ccc3ccc4c5c(c(C=C)c2c13)c45'), min:(-99999, '')
[0.33176207542419434] Updated in round 56! max:(0.45121951219512196, 'C1#Cc2ccc3ccc4ccc5c6c(c(c3c24)C=C1)c56'), min:(-99999, '')
[0.35538625717163086] Updated in round 57! max:(0.45121951219512196, 'C1#Cc2ccc3ccc4ccc5c6c(c(c3c24)C=C1)c56'), min:(-99999, '')
