[9.751319885253906e-05]Start running EvoMol from [H][H]...
[0.019316911697387695] Updated in round 1! max:(0.0, '[H][H]'), min:(-99999, '')
[0.01978278160095215] Updated in round 2! max:(0.0, '[H][H]'), min:(-99999, '')
[0.0210113525390625] Updated in round 3! max:(0.06153846153846154, 'C1=CC=C1'), min:(-99999, '')
[0.023274898529052734] Updated in round 4! max:(0.06153846153846154, 'C1=CC=C1'), min:(-99999, '')
[0.025583982467651367] Updated in round 5! max:(0.14925373134328357, 'c1cc2ccc1=2'), min:(-99999, '')
[0.028826475143432617] Updated in round 6! max:(0.14925373134328357, 'c1cc2ccc1=2'), min:(-99999, '')
[0.0317537784576416] Updated in round 7! max:(0.16666666666666666, 'c1cc2c1c1ccc21'), min:(-99999, '')
[0.037981510162353516] Updated in round 8! max:(0.16666666666666666, 'c1cc2c1c1ccc21'), min:(-99999, '')
[0.042643070220947266] Updated in round 9! max:(0.2, 'c1cc2cc3c1cc23'), min:(-99999, '')
[0.050897836685180664] Updated in round 10! max:(0.20588235294117646, 'c1cc2c3c4c1c3c24'), min:(-99999, '')
[0.05935072898864746] Updated in round 11! max:(0.20588235294117646, 'c1cc2c3c4c1c3c24'), min:(-99999, '')
[0.06573104858398438] Updated in round 12! max:(0.3235294117647059, 'c1cc2cc3ccc2cc13'), min:(-99999, '')
[0.07319927215576172] Updated in round 13! max:(0.3235294117647059, 'c1cc2cc3ccc2cc13'), min:(-99999, '')
[0.07939767837524414] Updated in round 14! max:(0.3235294117647059, 'c1cc2cc3ccc2cc13'), min:(-99999, '')
[0.08525657653808594] Updated in round 15! max:(0.3235294117647059, 'c1cc2cc3ccc2cc13'), min:(-99999, '')
[0.09339284896850586] Updated in round 16! max:(0.3235294117647059, 'c1cc2cc3ccc2cc13'), min:(-99999, '')
[0.09424996376037598] Updated in round 17! max:(0.4117647058823529, 'c1cc2c3c4ccc(cc4)c3c1=2'), min:(-99999, '')
[0.1028141975402832] Updated in round 18! max:(0.4117647058823529, 'c1cc2c3c4ccc(cc4)c3c1=2'), min:(-99999, '')
[0.11368966102600098] Updated in round 19! max:(0.4117647058823529, 'c1cc2c3c4ccc(cc4)c3c1=2'), min:(-99999, '')
[0.12667036056518555] Updated in round 20! max:(0.4117647058823529, 'c1cc2c3c4ccc(cc4)c3c1=2'), min:(-99999, '')
[0.12769246101379395] Updated in round 21! max:(0.4117647058823529, 'c1cc2c3c4ccc(cc4)c3c1=2'), min:(-99999, '')
[0.12886905670166016] Updated in round 22! max:(0.4117647058823529, 'c1cc2c3c4ccc(cc4)c3c1=2'), min:(-99999, '')
[0.12987303733825684] Updated in round 23! max:(0.4117647058823529, 'c1cc2c3c4ccc(cc4)c3c1=2'), min:(-99999, '')
[0.13085365295410156] Updated in round 24! max:(0.5, 'c1cc2ccc1c1c2c2c3ccc3c12'), min:(-99999, '')
[0.1428685188293457] Updated in round 25! max:(0.5, 'c1cc2ccc1c1c2c2c3ccc3c12'), min:(-99999, '')
[0.15618157386779785] Updated in round 26! max:(0.5, 'c1cc2ccc1c1c2c2c3ccc3c12'), min:(-99999, '')
[0.1572413444519043] Updated in round 27! max:(0.5, 'c1cc2ccc1c1c2c2c3ccc3c12'), min:(-99999, '')
[0.15827727317810059] Updated in round 28! max:(0.5, 'c1cc2ccc1c1c2c2c3ccc3c12'), min:(-99999, '')
[0.17328095436096191] Updated in round 29! max:(0.5, 'c1cc2ccc1c1c2c2c3ccc3c12'), min:(-99999, '')
[0.17434024810791016] Updated in round 30! max:(0.5, 'c1cc2ccc1c1c2c2c3ccc3c12'), min:(-99999, '')
[0.17550230026245117] Updated in round 31! max:(0.5, 'c1cc2ccc1c1c2c2c3ccc3c12'), min:(-99999, '')
[0.18854236602783203] Updated in round 32! max:(0.5211267605633803, 'c1cc2ccc1c1c2c2c3c4ccc4c3c12'), min:(-99999, '')
[0.20386886596679688] Updated in round 33! max:(0.5211267605633803, 'c1cc2ccc1c1c2c2c3c4ccc4c3c12'), min:(-99999, '')
[0.21773123741149902] Updated in round 34! max:(0.5211267605633803, 'c1cc2ccc1c1c2c2c3c4ccc4c3c12'), min:(-99999, '')
