[7.939338684082031e-05]Start running EvoMol from [H][H]...
[0.002360105514526367] Updated in round 1! max:(0.0, '[H][H]'), min:(-99999, '')
[0.0027990341186523438] Updated in round 2! max:(0.0, '[H][H]'), min:(-99999, '')
[0.0040013790130615234] Updated in round 3! max:(0.11428571428571428, 'C1=CC=C1'), min:(-99999, '')
[0.006242513656616211] Updated in round 4! max:(0.11428571428571428, 'C1=CC=C1'), min:(-99999, '')
[0.008548498153686523] Updated in round 5! max:(0.14634146341463414, 'C1=CC2=CC1=C2'), min:(-99999, '')
[0.011655569076538086] Updated in round 6! max:(0.14634146341463414, 'C1=CC2=CC1=C2'), min:(-99999, '')
[0.015404701232910156] Updated in round 7! max:(0.23076923076923078, 'c1cc2cc-2c1'), min:(-99999, '')
[0.017966270446777344] Updated in round 8! max:(0.2631578947368421, 'c1ccccc1'), min:(-99999, '')
[0.023408889770507812] Updated in round 9! max:(0.325, 'C=Cc1ccccc1'), min:(-99999, '')
[0.0270230770111084] Updated in round 10! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.03087592124938965] Updated in round 11! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.03137803077697754] Updated in round 12! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.03448033332824707] Updated in round 13! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.03822016716003418] Updated in round 14! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.03885245323181152] Updated in round 15! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.04163408279418945] Updated in round 16! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.04509329795837402] Updated in round 17! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.048162221908569336] Updated in round 18! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.05239582061767578] Updated in round 19! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.05293130874633789] Updated in round 20! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.05765032768249512] Updated in round 21! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.06191205978393555] Updated in round 22! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.06252241134643555] Updated in round 23! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.06311368942260742] Updated in round 24! max:(0.40476190476190477, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.06840658187866211] Updated in round 25! max:(0.40476190476190477, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.06902503967285156] Updated in round 26! max:(0.40476190476190477, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.07441067695617676] Updated in round 27! max:(0.40476190476190477, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.0751500129699707] Updated in round 28! max:(0.5, 'c1cccc2ccc=2cc1'), min:(-99999, '')
[0.0801701545715332] Updated in round 29! max:(0.5, 'c1cccc2ccc=2cc1'), min:(-99999, '')
[0.08076953887939453] Updated in round 30! max:(0.5, 'c1cccc2ccc=2cc1'), min:(-99999, '')
[0.08753037452697754] Updated in round 31! max:(0.5, 'c1cccc2ccc=2cc1'), min:(-99999, '')
[0.0882420539855957] Updated in round 32! max:(0.5, 'c1cccc2ccc=2cc1'), min:(-99999, '')
[0.09471344947814941] Updated in round 33! max:(0.5, 'c1cccc2ccc=2cc1'), min:(-99999, '')
[0.1014411449432373] Updated in round 34! max:(0.5, 'c1cccc2ccc=2cc1'), min:(-99999, '')
[0.10218954086303711] Updated in round 35! max:(0.5, 'c1cccc2ccc=2cc1'), min:(-99999, '')
[0.11206912994384766] Updated in round 36! max:(0.5, 'c1cccc2ccc=2cc1'), min:(-99999, '')
[0.11283063888549805] Updated in round 37! max:(0.5, 'c1cccc2ccc=2cc1'), min:(-99999, '')
[0.11364150047302246] Updated in round 38! max:(0.5, 'c1cccc2ccc=2cc1'), min:(-99999, '')
[0.11438560485839844] Updated in round 39! max:(0.5, 'c1cccc2ccc=2cc1'), min:(-99999, '')
