[7.319450378417969e-05]Start running EvoMol from [H][H]...
[0.0003108978271484375] Updated in round 1! max:(0.0, '[H][H]'), min:(-99999, '')
[0.0007390975952148438] Updated in round 2! max:(0.0, '[H][H]'), min:(-99999, '')
[0.001951456069946289] Updated in round 3! max:(0.11428571428571428, 'C1=CC=C1'), min:(-99999, '')
[0.003917217254638672] Updated in round 4! max:(0.11428571428571428, 'C1=CC=C1'), min:(-99999, '')
[0.006267070770263672] Updated in round 5! max:(0.38235294117647056, 'c1cc2ccc1-2'), min:(-99999, '')
[0.008922815322875977] Updated in round 6! max:(0.38235294117647056, 'c1cc2ccc1-2'), min:(-99999, '')
[0.014635801315307617] Updated in round 7! max:(0.4117647058823529, 'c1cc2cc-2c1'), min:(-99999, '')
[0.02046513557434082] Updated in round 8! max:(0.4117647058823529, 'c1cc2cc-2c1'), min:(-99999, '')
[0.021043062210083008] Updated in round 9! max:(0.4117647058823529, 'c1cc2cc-2c1'), min:(-99999, '')
[0.024162769317626953] Updated in round 10! max:(0.4117647058823529, 'c1cc2cc-2c1'), min:(-99999, '')
[0.027963638305664062] Updated in round 11! max:(0.4117647058823529, 'c1cc2cc-2c1'), min:(-99999, '')
[0.028573036193847656] Updated in round 12! max:(0.4117647058823529, 'c1cc2cc-2c1'), min:(-99999, '')
[0.03345775604248047] Updated in round 13! max:(0.4117647058823529, 'c1cc2cc-2c1'), min:(-99999, '')
[0.0339968204498291] Updated in round 14! max:(0.5526315789473685, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.03944730758666992] Updated in round 15! max:(0.5526315789473685, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.04006671905517578] Updated in round 16! max:(0.5526315789473685, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.04508018493652344] Updated in round 17! max:(0.5526315789473685, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.045777320861816406] Updated in round 18! max:(0.5526315789473685, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.05336332321166992] Updated in round 19! max:(0.5526315789473685, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.05861926078796387] Updated in round 20! max:(0.5526315789473685, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.05925273895263672] Updated in round 21! max:(0.5526315789473685, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.05992698669433594] Updated in round 22! max:(0.5526315789473685, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.06064605712890625] Updated in round 23! max:(0.5526315789473685, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.06140422821044922] Updated in round 24! max:(0.5714285714285714, 'c1ccc(-c2cc3ccc2-3)cc1'), min:(-99999, '')
[0.07015752792358398] Updated in round 25! max:(0.5714285714285714, 'c1ccc(-c2cc3ccc2-3)cc1'), min:(-99999, '')
[0.07085847854614258] Updated in round 26! max:(0.5714285714285714, 'c1ccc(-c2cc3ccc2-3)cc1'), min:(-99999, '')
[0.07159090042114258] Updated in round 27! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
