[0.011400222778320312]Start running EvoMol from [H][H]...
[0.01383209228515625] Updated in round 1! max:(0.0, '[H][H]'), min:(-99999, '')
[0.014278173446655273] Updated in round 2! max:(0.0, '[H][H]'), min:(-99999, '')
[0.01546025276184082] Updated in round 3! max:(0.11428571428571428, 'C1=CC=C1'), min:(-99999, '')
[0.017221450805664062] Updated in round 4! max:(0.11428571428571428, 'C1=CC=C1'), min:(-99999, '')
[0.019494056701660156] Updated in round 5! max:(0.38235294117647056, 'c1cc2ccc1-2'), min:(-99999, '')
[0.02348160743713379] Updated in round 6! max:(0.38235294117647056, 'c1cc2ccc1-2'), min:(-99999, '')
[0.0289914608001709] Updated in round 7! max:(0.4117647058823529, 'c1cc2cc-2c1'), min:(-99999, '')
[0.03464794158935547] Updated in round 8! max:(0.4117647058823529, 'c1cc2cc-2c1'), min:(-99999, '')
[0.03520512580871582] Updated in round 9! max:(0.4117647058823529, 'c1cc2cc-2c1'), min:(-99999, '')
[0.03822731971740723] Updated in round 10! max:(0.4117647058823529, 'c1cc2cc-2c1'), min:(-99999, '')
[0.04195523262023926] Updated in round 11! max:(0.4117647058823529, 'c1cc2cc-2c1'), min:(-99999, '')
[0.04254031181335449] Updated in round 12! max:(0.4117647058823529, 'c1cc2cc-2c1'), min:(-99999, '')
[0.04674935340881348] Updated in round 13! max:(0.475, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.050930023193359375] Updated in round 14! max:(0.475, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.05152392387390137] Updated in round 15! max:(0.475, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.05721163749694824] Updated in round 16! max:(0.475, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.057825326919555664] Updated in round 17! max:(0.475, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.06270742416381836] Updated in round 18! max:(0.475, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.06338906288146973] Updated in round 19! max:(0.475, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.06970071792602539] Updated in round 20! max:(0.475, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.07602763175964355] Updated in round 21! max:(0.475, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.07672858238220215] Updated in round 22! max:(0.475, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.07740497589111328] Updated in round 23! max:(0.475, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.07809114456176758] Updated in round 24! max:(0.475, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
