[8.726119995117188e-05]Start running EvoMol from [H][H]...
[0.0026407241821289062] Updated in round 1! max:(0.0, '[H][H]'), min:(-99999, '')
[0.003097057342529297] Updated in round 2! max:(0.0, '[H][H]'), min:(-99999, '')
[0.004343748092651367] Updated in round 3! max:(0.0975609756097561, 'C1=CC=C1'), min:(-99999, '')
[0.006709098815917969] Updated in round 4! max:(0.0975609756097561, 'C1=CC=C1'), min:(-99999, '')
[0.009111881256103516] Updated in round 5! max:(0.23255813953488372, 'c1cc2ccc1=2'), min:(-99999, '')
[0.01251220703125] Updated in round 6! max:(0.23255813953488372, 'c1cc2ccc1=2'), min:(-99999, '')
[0.015575885772705078] Updated in round 7! max:(0.23255813953488372, 'c1cc2ccc1=2'), min:(-99999, '')
[0.019816875457763672] Updated in round 8! max:(0.30434782608695654, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.023789644241333008] Updated in round 9! max:(0.3111111111111111, 'C=Cc1ccccc1'), min:(-99999, '')
[0.027585983276367188] Updated in round 10! max:(0.3111111111111111, 'C=Cc1ccccc1'), min:(-99999, '')
[0.028072118759155273] Updated in round 11! max:(0.3111111111111111, 'C=Cc1ccccc1'), min:(-99999, '')
[0.03249025344848633] Updated in round 12! max:(0.35, 'c1ccccc1'), min:(-99999, '')
[0.03519392013549805] Updated in round 13! max:(0.35, 'c1ccccc1'), min:(-99999, '')
[0.04274106025695801] Updated in round 14! max:(0.35, 'c1ccccc1'), min:(-99999, '')
[0.04326128959655762] Updated in round 15! max:(0.35, 'c1ccccc1'), min:(-99999, '')
[0.04384613037109375] Updated in round 16! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.0483250617980957] Updated in round 17! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.05329108238220215] Updated in round 18! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.059308767318725586] Updated in round 19! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.06003975868225098] Updated in round 20! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.06527233123779297] Updated in round 21! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.06592035293579102] Updated in round 22! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.07336831092834473] Updated in round 23! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.08090925216674805] Updated in round 24! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.08176922798156738] Updated in round 25! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.08928489685058594] Updated in round 26! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.09009885787963867] Updated in round 27! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
