[0.00010228157043457031]Start running EvoMol from [H][H]...
[0.0031561851501464844] Updated in round 1! max:(0.0, '[H][H]'), min:(-99999, '')
[0.0036225318908691406] Updated in round 2! max:(0.0, '[H][H]'), min:(-99999, '')
[0.0048868656158447266] Updated in round 3! max:(0.0975609756097561, 'C1=CC=C1'), min:(-99999, '')
[0.006890058517456055] Updated in round 4! max:(0.0975609756097561, 'C1=CC=C1'), min:(-99999, '')
[0.009304285049438477] Updated in round 5! max:(0.23255813953488372, 'c1cc2ccc1=2'), min:(-99999, '')
[0.011402606964111328] Updated in round 6! max:(0.23255813953488372, 'c1cc2ccc1=2'), min:(-99999, '')
[0.014520406723022461] Updated in round 7! max:(0.23255813953488372, 'c1cc2ccc1=2'), min:(-99999, '')
[0.022914886474609375] Updated in round 8! max:(0.30434782608695654, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.026936054229736328] Updated in round 9! max:(0.3111111111111111, 'C=Cc1ccccc1'), min:(-99999, '')
[0.030768156051635742] Updated in round 10! max:(0.3111111111111111, 'C=Cc1ccccc1'), min:(-99999, '')
[0.03129172325134277] Updated in round 11! max:(0.3111111111111111, 'C=Cc1ccccc1'), min:(-99999, '')
[0.035653114318847656] Updated in round 12! max:(0.35, 'c1ccccc1'), min:(-99999, '')
[0.03835248947143555] Updated in round 13! max:(0.35, 'c1ccccc1'), min:(-99999, '')
[0.04586338996887207] Updated in round 14! max:(0.35, 'c1ccccc1'), min:(-99999, '')
[0.04638791084289551] Updated in round 15! max:(0.35, 'c1ccccc1'), min:(-99999, '')
[0.047007083892822266] Updated in round 16! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.051499366760253906] Updated in round 17! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.05666804313659668] Updated in round 18! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.05736279487609863] Updated in round 19! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.06327247619628906] Updated in round 20! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.06403017044067383] Updated in round 21! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.06472992897033691] Updated in round 22! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.07234716415405273] Updated in round 23! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.08036231994628906] Updated in round 24! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.08116292953491211] Updated in round 25! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.08851456642150879] Updated in round 26! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.09701418876647949] Updated in round 27! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.09786772727966309] Updated in round 28! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.09870123863220215] Updated in round 29! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
[0.0994863510131836] Updated in round 30! max:(0.41304347826086957, 'C1#CC(c2ccccc2)=C1'), min:(-99999, '')
