[9.34600830078125e-05]Start running EvoMol from [H][H]...
[0.0004520416259765625] Updated in round 1! max:(0.30434782608695654, 'c1ccccc1'), min:(-99999, '')
[0.0057222843170166016] Updated in round 2! max:(0.56, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.02167820930480957] Updated in round 3! max:(0.56, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.022374868392944336] Updated in round 4! max:(0.56, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.04081296920776367] Updated in round 5! max:(0.56, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.04167985916137695] Updated in round 6! max:(0.56, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.0425112247467041] Updated in round 7! max:(0.56, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.04321479797363281] Updated in round 8! max:(0.56, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.04397273063659668] Updated in round 9! max:(0.56, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.04472947120666504] Updated in round 10! max:(0.56, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.045491933822631836] Updated in round 11! max:(0.5692307692307692, 'C(=Cc1ccccc1-c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.08777117729187012] Updated in round 12! max:(0.5692307692307692, 'C(=Cc1ccccc1-c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.0887601375579834] Updated in round 13! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.1142277717590332] Updated in round 14! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.1150655746459961] Updated in round 15! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.11588311195373535] Updated in round 16! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.11673355102539062] Updated in round 17! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.14679241180419922] Updated in round 18! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.14774155616760254] Updated in round 19! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.1486356258392334] Updated in round 20! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.14951443672180176] Updated in round 21! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.15037918090820312] Updated in round 22! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.15127825736999512] Updated in round 23! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.15210366249084473] Updated in round 24! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.1530287265777588] Updated in round 25! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.1539146900177002] Updated in round 26! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.15475225448608398] Updated in round 27! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.15564894676208496] Updated in round 28! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.18372797966003418] Updated in round 29! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.18461251258850098] Updated in round 30! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.18553805351257324] Updated in round 31! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.1864175796508789] Updated in round 32! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
[0.18732213973999023] Updated in round 33! max:(0.8, 'C(C=Cc1ccccc1)=Cc1ccccc1'), min:(-99999, '')
