[6.198883056640625e-05]Start running EvoMol from [H][H]...
[0.0002834796905517578] Updated in round 1! max:(0.0, '[H][H]'), min:(-99999, '')
[0.0006983280181884766] Updated in round 2! max:(0.04081632653061224, 'C=CC=C'), min:(-99999, '')
[0.001882314682006836] Updated in round 3! max:(0.0851063829787234, 'C1=CC=C1'), min:(-99999, '')
[0.0046079158782958984] Updated in round 4! max:(0.09433962264150944, 'C=CC=C1C=C1'), min:(-99999, '')
[0.0061798095703125] Updated in round 5! max:(0.17647058823529413, 'c1cc2cc-2c1'), min:(-99999, '')
[0.008814334869384766] Updated in round 6! max:(0.30434782608695654, 'c1ccccc1'), min:(-99999, '')
[0.014366865158081055] Updated in round 7! max:(0.3829787234042553, 'C=Cc1ccccc1'), min:(-99999, '')
[0.018044471740722656] Updated in round 8! max:(0.42, 'C=CC=Cc1ccccc1'), min:(-99999, '')
[0.02347111701965332] Updated in round 9! max:(0.44, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.03011608123779297] Updated in round 10! max:(0.44, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.030716419219970703] Updated in round 11! max:(0.44, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.031287193298339844] Updated in round 12! max:(0.44, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.03184008598327637] Updated in round 13! max:(0.44, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.03664684295654297] Updated in round 14! max:(0.44, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.037236928939819336] Updated in round 15! max:(0.44, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.037796735763549805] Updated in round 16! max:(0.44, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.04339718818664551] Updated in round 17! max:(0.44, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.044028520584106445] Updated in round 18! max:(0.44, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.04454445838928223] Updated in round 19! max:(0.44, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.05142569541931152] Updated in round 20! max:(0.44, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.05207395553588867] Updated in round 21! max:(0.44, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.052724599838256836] Updated in round 22! max:(0.49019607843137253, 'C=C1C=C1C=Cc1ccccc1'), min:(-99999, '')
[0.059814453125] Updated in round 23! max:(0.49019607843137253, 'C=C1C=C1C=Cc1ccccc1'), min:(-99999, '')
[0.06049013137817383] Updated in round 24! max:(0.49019607843137253, 'C=C1C=C1C=Cc1ccccc1'), min:(-99999, '')
[0.0611419677734375] Updated in round 25! max:(0.49019607843137253, 'C=C1C=C1C=Cc1ccccc1'), min:(-99999, '')
[0.06813812255859375] Updated in round 26! max:(0.49019607843137253, 'C=C1C=C1C=Cc1ccccc1'), min:(-99999, '')
[0.06888365745544434] Updated in round 27! max:(0.49019607843137253, 'C=C1C=C1C=Cc1ccccc1'), min:(-99999, '')
[0.06956005096435547] Updated in round 28! max:(0.49019607843137253, 'C=C1C=C1C=Cc1ccccc1'), min:(-99999, '')
[0.07029008865356445] Updated in round 29! max:(0.54, 'C1=CC(C=Cc2ccccc2)=C1'), min:(-99999, '')
[0.07825541496276855] Updated in round 30! max:(0.54, 'C1=CC(C=Cc2ccccc2)=C1'), min:(-99999, '')
[0.07895231246948242] Updated in round 31! max:(0.54, 'C1=CC(C=Cc2ccccc2)=C1'), min:(-99999, '')
[0.07962441444396973] Updated in round 32! max:(0.54, 'C1=CC(C=Cc2ccccc2)=C1'), min:(-99999, '')
[0.08027482032775879] Updated in round 33! max:(0.54, 'C1=CC(C=Cc2ccccc2)=C1'), min:(-99999, '')
[0.09043192863464355] Updated in round 34! max:(0.54, 'C1=CC(C=Cc2ccccc2)=C1'), min:(-99999, '')
[0.09123754501342773] Updated in round 35! max:(0.54, 'C1=CC(C=Cc2ccccc2)=C1'), min:(-99999, '')
[0.10252714157104492] Updated in round 36! max:(0.54, 'C1=CC(C=Cc2ccccc2)=C1'), min:(-99999, '')
[0.1031496524810791] Reproduced in round 37!!
