[0.011936664581298828]Start running EvoMol from [H][H]...
[0.017746925354003906] Updated in round 1! max:(0.17857142857142858, 'c1ccccc1'), min:(-99999, '')
[0.023693323135375977] Updated in round 2! max:(0.4, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.039574623107910156] Updated in round 3! max:(0.4126984126984127, 'C=Cc1ccccc1-c1ccccc1'), min:(-99999, '')
[0.05820155143737793] Updated in round 4! max:(0.4126984126984127, 'C=Cc1ccccc1-c1ccccc1'), min:(-99999, '')
[0.05901384353637695] Updated in round 5! max:(0.45901639344262296, 'C=c1c2cccc1=C2c1ccccc1'), min:(-99999, '')
[0.07440352439880371] Updated in round 6! max:(0.45901639344262296, 'C=c1c2cccc1=C2c1ccccc1'), min:(-99999, '')
[0.0752711296081543] Updated in round 7! max:(0.45901639344262296, 'C=c1c2cccc1=C2c1ccccc1'), min:(-99999, '')
[0.07616710662841797] Updated in round 8! max:(0.45901639344262296, 'C=c1c2cccc1=C2c1ccccc1'), min:(-99999, '')
[0.07695770263671875] Updated in round 9! max:(0.45901639344262296, 'C=c1c2cccc1=C2c1ccccc1'), min:(-99999, '')
[0.07781314849853516] Updated in round 10! max:(0.45901639344262296, 'C=c1c2cccc1=C2c1ccccc1'), min:(-99999, '')
[0.09529495239257812] Updated in round 11! max:(0.45901639344262296, 'C=c1c2cccc1=C2c1ccccc1'), min:(-99999, '')
[0.09617137908935547] Updated in round 12! max:(0.45901639344262296, 'C=c1c2cccc1=C2c1ccccc1'), min:(-99999, '')
[0.0969851016998291] Updated in round 13! max:(0.45901639344262296, 'C=c1c2cccc1=C2c1ccccc1'), min:(-99999, '')
[0.09770870208740234] Updated in round 14! max:(0.45901639344262296, 'C=c1c2cccc1=C2c1ccccc1'), min:(-99999, '')
[0.09844684600830078] Updated in round 15! max:(0.45901639344262296, 'C=c1c2cccc1=C2c1ccccc1'), min:(-99999, '')
[0.09917497634887695] Updated in round 16! max:(0.45901639344262296, 'C=c1c2cccc1=C2c1ccccc1'), min:(-99999, '')
[0.09992074966430664] Updated in round 17! max:(0.45901639344262296, 'C=c1c2cccc1=C2c1ccccc1'), min:(-99999, '')
[0.1161336898803711] Updated in round 18! max:(0.45901639344262296, 'C=c1c2cccc1=C2c1ccccc1'), min:(-99999, '')
[0.11701631546020508] Updated in round 19! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.13522982597351074] Updated in round 20! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.13602185249328613] Updated in round 21! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.13681483268737793] Updated in round 22! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.13753557205200195] Updated in round 23! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.13823866844177246] Updated in round 24! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.13900399208068848] Updated in round 25! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1606612205505371] Updated in round 26! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1616368293762207] Updated in round 27! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.16263103485107422] Updated in round 28! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.16356301307678223] Updated in round 29! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.16447138786315918] Updated in round 30! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.16525602340698242] Updated in round 31! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.16621756553649902] Updated in round 32! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.16713786125183105] Updated in round 33! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.16798067092895508] Updated in round 34! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.16891956329345703] Updated in round 35! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1697840690612793] Updated in round 36! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.18844127655029297] Updated in round 37! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.18934988975524902] Updated in round 38! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1902012825012207] Updated in round 39! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.19103121757507324] Updated in round 40! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.19190478324890137] Updated in round 41! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1927497386932373] Updated in round 42! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1935429573059082] Updated in round 43! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.19432401657104492] Updated in round 44! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1951436996459961] Updated in round 45! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1959068775177002] Updated in round 46! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.21349859237670898] Updated in round 47! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.21466708183288574] Updated in round 48! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.21568584442138672] Updated in round 49! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.2167043685913086] Updated in round 50! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.2176961898803711] Updated in round 51! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.21867632865905762] Updated in round 52! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.2197279930114746] Updated in round 53! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.23894786834716797] Updated in round 54! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.2399578094482422] Updated in round 55! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.2408900260925293] Updated in round 56! max:(0.5737704918032787, 'C1=C2C=c3ccccc3=Cc3cccc2c31'), min:(-99999, '')
[0.2613179683685303] Updated in round 57! max:(0.5737704918032787, 'C1=C2C=c3ccccc3=Cc3cccc2c31'), min:(-99999, '')
[0.262418270111084] Updated in round 58! max:(0.5737704918032787, 'C1=C2C=c3ccccc3=Cc3cccc2c31'), min:(-99999, '')
[0.2635183334350586] Updated in round 59! max:(0.5737704918032787, 'C1=C2C=c3ccccc3=Cc3cccc2c31'), min:(-99999, '')
[0.26464247703552246] Updated in round 60! max:(0.5737704918032787, 'C1=C2C=c3ccccc3=Cc3cccc2c31'), min:(-99999, '')
[0.265641450881958] Updated in round 61! max:(0.5737704918032787, 'C1=C2C=c3ccccc3=Cc3cccc2c31'), min:(-99999, '')
[0.2666902542114258] Updated in round 62! max:(0.5737704918032787, 'C1=C2C=c3ccccc3=Cc3cccc2c31'), min:(-99999, '')
[0.26779747009277344] Updated in round 63! max:(0.5737704918032787, 'C1=C2C=c3ccccc3=Cc3cccc2c31'), min:(-99999, '')
[0.26882433891296387] Updated in round 64! max:(0.5737704918032787, 'C1=C2C=c3ccccc3=Cc3cccc2c31'), min:(-99999, '')
[0.2698531150817871] Updated in round 65! max:(0.5737704918032787, 'C1=C2C=c3ccccc3=Cc3cccc2c31'), min:(-99999, '')
[0.3135864734649658] Updated in round 66! max:(0.5737704918032787, 'C1=C2C=c3ccccc3=Cc3cccc2c31'), min:(-99999, '')
[0.31507253646850586] Updated in round 67! max:(0.5737704918032787, 'C1=C2C=c3ccccc3=Cc3cccc2c31'), min:(-99999, '')
[0.3163595199584961] Updated in round 68! max:(0.5737704918032787, 'C1=C2C=c3ccccc3=Cc3cccc2c31'), min:(-99999, '')
[0.3177354335784912] Updated in round 69! max:(0.582089552238806, 'C=C1C=c2ccccc2=C(c2ccccc2)C2=CC1=C2'), min:(-99999, '')
[0.34968090057373047] Updated in round 70! max:(0.582089552238806, 'C=C1C=c2ccccc2=C(c2ccccc2)C2=CC1=C2'), min:(-99999, '')
[0.35085558891296387] Updated in round 71! max:(0.582089552238806, 'C=C1C=c2ccccc2=C(c2ccccc2)C2=CC1=C2'), min:(-99999, '')
[0.35207176208496094] Updated in round 72! max:(0.582089552238806, 'C=C1C=c2ccccc2=C(c2ccccc2)C2=CC1=C2'), min:(-99999, '')
[0.35330653190612793] Updated in round 73! max:(0.582089552238806, 'C=C1C=c2ccccc2=C(c2ccccc2)C2=CC1=C2'), min:(-99999, '')
[0.3544909954071045] Updated in round 74! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.39000749588012695] Updated in round 75! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.39127087593078613] Updated in round 76! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.3926267623901367] Updated in round 77! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.39394092559814453] Updated in round 78! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.3952155113220215] Updated in round 79! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.3964505195617676] Updated in round 80! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.39771032333374023] Updated in round 81! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.3990020751953125] Updated in round 82! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.4002203941345215] Updated in round 83! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.4014737606048584] Updated in round 84! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.40279126167297363] Updated in round 85! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.4040870666503906] Updated in round 86! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.4053924083709717] Updated in round 87! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.4066464900970459] Updated in round 88! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.4078483581542969] Updated in round 89! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.44373011589050293] Updated in round 90! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.44520092010498047] Updated in round 91! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.4466543197631836] Updated in round 92! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.4480781555175781] Updated in round 93! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.4494483470916748] Updated in round 94! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.4508523941040039] Updated in round 95! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.4521663188934326] Updated in round 96! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.4533956050872803] Updated in round 97! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.45481157302856445] Updated in round 98! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.45615649223327637] Updated in round 99! max:(0.6086956521739131, 'C=Cc1ccccc1C1=c2ccccc2=CC(=C)C2=CC1=C2'), min:(-99999, '')
[0.4574568271636963] Updated in round 100! max:(0.6142857142857143, 'C=C1C=CC2=CC=Cc3ccccc3C2=c2ccccc2=C1'), min:(-99999, '')
[0.49504685401916504] Updated in round 101! max:(0.6142857142857143, 'C=C1C=CC2=CC=Cc3ccccc3C2=c2ccccc2=C1'), min:(0.0, 'C=C')
[0.49635863304138184] Updated in round 102! max:(0.6142857142857143, 'C=C1C=CC2=CC=Cc3ccccc3C2=c2ccccc2=C1'), min:(0.16, 'C=CC=CC(=C)c1ccccc1C=C')
[0.49756622314453125] Updated in round 103! max:(0.6142857142857143, 'C=C1C=CC2=CC=Cc3ccccc3C2=c2ccccc2=C1'), min:(0.18571428571428572, 'C=CC=Cc1cccc2c1C=C2')
[0.49884605407714844] Updated in round 104! max:(0.6142857142857143, 'C=C1C=CC2=CC=Cc3ccccc3C2=c2ccccc2=C1'), min:(0.203125, 'C=Cc1cccc2c1C=C2')
[0.500108003616333] Updated in round 105! max:(0.6142857142857143, 'C=C1C=CC2=CC=Cc3ccccc3C2=c2ccccc2=C1'), min:(0.2191780821917808, 'C=c1c2ccc3c4ccc(cc4)c2c13')
[0.5014247894287109] Updated in round 106! max:(0.6142857142857143, 'C=C1C=CC2=CC=Cc3ccccc3C2=c2ccccc2=C1'), min:(0.22535211267605634, 'C=C1C=C(c2c3cccc2C3=C)C1=C')
