[9.846687316894531e-05]Start running EvoMol from [H][H]...
[0.0005147457122802734] Updated in round 1! max:(0.17857142857142858, 'c1ccccc1'), min:(-99999, '')
[0.005900144577026367] Updated in round 2! max:(0.4, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.022322654724121094] Updated in round 3! max:(0.4482758620689655, 'c1ccc2c(c1)-c1ccccc1-2'), min:(-99999, '')
[0.03654885292053223] Updated in round 4! max:(0.4482758620689655, 'c1ccc2c(c1)-c1ccccc1-2'), min:(-99999, '')
[0.03734278678894043] Updated in round 5! max:(0.45454545454545453, 'c1ccc2c(c1)-c1ccc3ccccc3c1-2'), min:(-99999, '')
[0.06213212013244629] Updated in round 6! max:(0.45454545454545453, 'c1ccc2c(c1)-c1ccc3ccccc3c1-2'), min:(-99999, '')
[0.06325292587280273] Updated in round 7! max:(0.45454545454545453, 'c1ccc2c(c1)-c1ccc3ccccc3c1-2'), min:(-99999, '')
[0.06424093246459961] Updated in round 8! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.08293747901916504] Updated in round 9! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.08377361297607422] Updated in round 10! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.0846095085144043] Updated in round 11! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.08542513847351074] Updated in round 12! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.08620762825012207] Updated in round 13! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.08697390556335449] Updated in round 14! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.08776259422302246] Updated in round 15! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.10995149612426758] Updated in round 16! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.11090850830078125] Updated in round 17! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.11187505722045898] Updated in round 18! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.11284208297729492] Updated in round 19! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.11378121376037598] Updated in round 20! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.11472654342651367] Updated in round 21! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.11564826965332031] Updated in round 22! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.11658048629760742] Updated in round 23! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.11753416061401367] Updated in round 24! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1185450553894043] Updated in round 25! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.11942815780639648] Updated in round 26! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.13877630233764648] Updated in round 27! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.13968133926391602] Updated in round 28! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.14054226875305176] Updated in round 29! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1414034366607666] Updated in round 30! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.14227771759033203] Updated in round 31! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1431119441986084] Updated in round 32! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.14396882057189941] Updated in round 33! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.14486408233642578] Updated in round 34! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.14566922187805176] Updated in round 35! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.14651060104370117] Updated in round 36! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.16469693183898926] Updated in round 37! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.16579270362854004] Updated in round 38! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.16681790351867676] Updated in round 39! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.16788291931152344] Updated in round 40! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.16903114318847656] Updated in round 41! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.17015647888183594] Updated in round 42! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.17110729217529297] Updated in round 43! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.19121456146240234] Updated in round 44! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1922435760498047] Updated in round 45! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.19327640533447266] Updated in round 46! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1941990852355957] Updated in round 47! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.21291399002075195] Updated in round 48! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.21391773223876953] Updated in round 49! max:(0.6285714285714286, 'C1=C2C=c3ccccc3=C(c3ccccc3)c3cccc1c32'), min:(-99999, '')
[0.25420069694519043] Updated in round 50! max:(0.6285714285714286, 'C1=C2C=c3ccccc3=C(c3ccccc3)c3cccc1c32'), min:(-99999, '')
[0.25547075271606445] Updated in round 51! max:(0.6285714285714286, 'C1=C2C=c3ccccc3=C(c3ccccc3)c3cccc1c32'), min:(-99999, '')
[0.25670957565307617] Updated in round 52! max:(0.6285714285714286, 'C1=C2C=c3ccccc3=C(c3ccccc3)c3cccc1c32'), min:(-99999, '')
[0.2579309940338135] Updated in round 53! max:(0.6285714285714286, 'C1=C2C=c3ccccc3=C(c3ccccc3)c3cccc1c32'), min:(-99999, '')
[0.2591207027435303] Updated in round 54! max:(0.6285714285714286, 'C1=C2C=c3ccccc3=C(c3ccccc3)c3cccc1c32'), min:(-99999, '')
