[8.726119995117188e-05]Start running EvoMol from [H][H]...
[0.004561185836791992] Updated in round 1! max:(0.0, '[H][H]'), min:(-99999, '')
[0.005026817321777344] Updated in round 2! max:(0.0, '[H][H]'), min:(-99999, '')
[0.0062408447265625] Updated in round 3! max:(0.07547169811320754, 'C1=CC=C1'), min:(-99999, '')
[0.008042335510253906] Updated in round 4! max:(0.14, 'C1=C2C=C12'), min:(-99999, '')
[0.010128974914550781] Updated in round 5! max:(0.14035087719298245, 'C=C1C=C2C=C12'), min:(-99999, '')
[0.011793136596679688] Updated in round 6! max:(0.14035087719298245, 'C=C1C=C2C=C12'), min:(-99999, '')
[0.014066696166992188] Updated in round 7! max:(0.14516129032258066, 'C1#CC1=C1C=C2C=C21'), min:(-99999, '')
[0.016265392303466797] Updated in round 8! max:(0.14516129032258066, 'C1#CC1=C1C=C2C=C21'), min:(-99999, '')
[0.018756389617919922] Updated in round 9! max:(0.14516129032258066, 'C1#CC1=C1C=C2C=C21'), min:(-99999, '')
[0.019321918487548828] Updated in round 10! max:(0.2857142857142857, 'C1=C2c3cccc1c32'), min:(-99999, '')
[0.023137569427490234] Updated in round 11! max:(0.2857142857142857, 'C1=C2c3cccc1c32'), min:(-99999, '')
[0.026871681213378906] Updated in round 12! max:(0.2857142857142857, 'C1=C2c3cccc1c32'), min:(-99999, '')
[0.027451276779174805] Updated in round 13! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.03279423713684082] Updated in round 14! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.03345990180969238] Updated in round 15! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.03405451774597168] Updated in round 16! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.0386350154876709] Updated in round 17! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.03920316696166992] Updated in round 18! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.039791107177734375] Updated in round 19! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.04572296142578125] Updated in round 20! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.046456336975097656] Updated in round 21! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.04713320732116699] Updated in round 22! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.04778409004211426] Updated in round 23! max:(0.36065573770491804, 'C1#CC(C2=Cc3ccccc32)=C1'), min:(-99999, '')
[0.05381464958190918] Updated in round 24! max:(0.36065573770491804, 'C1#CC(C2=Cc3ccccc32)=C1'), min:(-99999, '')
[0.05448651313781738] Updated in round 25! max:(0.36065573770491804, 'C1#CC(C2=Cc3ccccc32)=C1'), min:(-99999, '')
[0.05515456199645996] Updated in round 26! max:(0.36065573770491804, 'C1#CC(C2=Cc3ccccc32)=C1'), min:(-99999, '')
[0.055809974670410156] Updated in round 27! max:(0.36065573770491804, 'C1#CC(C2=Cc3ccccc32)=C1'), min:(-99999, '')
[0.06363797187805176] Updated in round 28! max:(0.36065573770491804, 'C1#CC(C2=Cc3ccccc32)=C1'), min:(-99999, '')
[0.06438398361206055] Updated in round 29! max:(0.36065573770491804, 'C1#CC(C2=Cc3ccccc32)=C1'), min:(-99999, '')
[0.06514525413513184] Updated in round 30! max:(0.36065573770491804, 'C1#CC(C2=Cc3ccccc32)=C1'), min:(-99999, '')
[0.06595635414123535] Updated in round 31! max:(0.36065573770491804, 'C1#CC(C2=Cc3ccccc32)=C1'), min:(-99999, '')
[0.07263851165771484] Updated in round 32! max:(0.36065573770491804, 'C1#CC(C2=Cc3ccccc32)=C1'), min:(-99999, '')
[0.07338786125183105] Updated in round 33! max:(0.36065573770491804, 'C1#CC(C2=Cc3ccccc32)=C1'), min:(-99999, '')
[0.07413291931152344] Updated in round 34! max:(0.36065573770491804, 'C1#CC(C2=Cc3ccccc32)=C1'), min:(-99999, '')
[0.0809776782989502] Updated in round 35! max:(0.36065573770491804, 'C1#CC(C2=Cc3ccccc32)=C1'), min:(-99999, '')
[0.0816793441772461] Updated in round 36! max:(0.43103448275862066, 'C1=CC(C2=Cc3ccccc32)=C1'), min:(-99999, '')
[0.08908534049987793] Updated in round 37! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.09589195251464844] Updated in round 38! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.09664463996887207] Updated in round 39! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.09738826751708984] Updated in round 40! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.09808039665222168] Updated in round 41! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.09874510765075684] Updated in round 42! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.09947824478149414] Updated in round 43! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.10894274711608887] Updated in round 44! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.1098642349243164] Updated in round 45! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.11069917678833008] Updated in round 46! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.11146163940429688] Updated in round 47! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.11232972145080566] Updated in round 48! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.12294793128967285] Updated in round 49! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.12378525733947754] Updated in round 50! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.12465596199035645] Updated in round 51! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.1254417896270752] Updated in round 52! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.1262190341949463] Updated in round 53! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1375277042388916] Updated in round 54! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.13827800750732422] Updated in round 55! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1390550136566162] Updated in round 56! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.13981270790100098] Updated in round 57! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
