[0.00010061264038085938]Start running EvoMol from [H][H]...
[0.004753828048706055] Updated in round 1! max:(0.0, '[H][H]'), min:(-99999, '')
[0.005217552185058594] Updated in round 2! max:(0.0, '[H][H]'), min:(-99999, '')
[0.0064792633056640625] Updated in round 3! max:(0.07547169811320754, 'C1=CC=C1'), min:(-99999, '')
[0.00848245620727539] Updated in round 4! max:(0.14, 'C1=C2C=C12'), min:(-99999, '')
[0.01062917709350586] Updated in round 5! max:(0.14, 'C1=C2C=C12'), min:(-99999, '')
[0.013808488845825195] Updated in round 6! max:(0.14035087719298245, 'c1cc2c3c1c23'), min:(-99999, '')
[0.01875901222229004] Updated in round 7! max:(0.15789473684210525, 'c1cc2cc-2c1'), min:(-99999, '')
[0.022743701934814453] Updated in round 8! max:(0.18333333333333332, 'C=Cc1c2cccc1-2'), min:(-99999, '')
[0.026413917541503906] Updated in round 9! max:(0.18333333333333332, 'C=Cc1c2cccc1-2'), min:(-99999, '')
[0.029697179794311523] Updated in round 10! max:(0.22413793103448276, 'C=Cc1ccccc1'), min:(-99999, '')
[0.03352689743041992] Updated in round 11! max:(0.2857142857142857, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.03747701644897461] Updated in round 12! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.04292607307434082] Updated in round 13! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.04360318183898926] Updated in round 14! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.04425668716430664] Updated in round 15! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.05111837387084961] Updated in round 16! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.05188941955566406] Updated in round 17! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.052663326263427734] Updated in round 18! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.05332350730895996] Updated in round 19! max:(0.3508771929824561, 'C=CC1=Cc2ccccc21'), min:(-99999, '')
[0.053977251052856445] Updated in round 20! max:(0.41379310344827586, 'C=C1C=C1C1=Cc2ccccc21'), min:(-99999, '')
[0.06113839149475098] Updated in round 21! max:(0.41379310344827586, 'C=C1C=C1C1=Cc2ccccc21'), min:(-99999, '')
[0.06191539764404297] Updated in round 22! max:(0.41379310344827586, 'C=C1C=C1C1=Cc2ccccc21'), min:(-99999, '')
[0.0626518726348877] Updated in round 23! max:(0.41379310344827586, 'C=C1C=C1C1=Cc2ccccc21'), min:(-99999, '')
[0.0633995532989502] Updated in round 24! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.07043051719665527] Updated in round 25! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.07123088836669922] Updated in round 26! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.07191991806030273] Updated in round 27! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.07950854301452637] Updated in round 28! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.0802762508392334] Updated in round 29! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.08098363876342773] Updated in round 30! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.08171296119689941] Updated in round 31! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.0916447639465332] Updated in round 32! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.0925440788269043] Updated in round 33! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.0933833122253418] Updated in round 34! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.09420633316040039] Updated in round 35! max:(0.45614035087719296, 'C1=C2C1=C2C1=Cc2ccccc21'), min:(-99999, '')
[0.09491109848022461] Updated in round 36! max:(0.47540983606557374, 'C1=C(c2cc3ccc2=3)c2ccccc21'), min:(-99999, '')
[0.1047511100769043] Updated in round 37! max:(0.47540983606557374, 'C1=C(c2cc3ccc2=3)c2ccccc21'), min:(-99999, '')
[0.10566377639770508] Updated in round 38! max:(0.47540983606557374, 'C1=C(c2cc3ccc2=3)c2ccccc21'), min:(-99999, '')
[0.10649919509887695] Updated in round 39! max:(0.47540983606557374, 'C1=C(c2cc3ccc2=3)c2ccccc21'), min:(-99999, '')
[0.10733580589294434] Updated in round 40! max:(0.47540983606557374, 'C1=C(c2cc3ccc2=3)c2ccccc21'), min:(-99999, '')
[0.10817360877990723] Updated in round 41! max:(0.47540983606557374, 'C1=C(c2cc3ccc2=3)c2ccccc21'), min:(-99999, '')
[0.1190958023071289] Updated in round 42! max:(0.47540983606557374, 'C1=C(c2cc3ccc2=3)c2ccccc21'), min:(-99999, '')
[0.11993837356567383] Updated in round 43! max:(0.47540983606557374, 'C1=C(c2cc3ccc2=3)c2ccccc21'), min:(-99999, '')
[0.12076377868652344] Updated in round 44! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.13240337371826172] Updated in round 45! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1332385540008545] Updated in round 46! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.13404417037963867] Updated in round 47! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1348416805267334] Updated in round 48! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.13562321662902832] Updated in round 49! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.14867663383483887] Updated in round 50! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.149505615234375] Updated in round 51! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.15040898323059082] Updated in round 52! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.15122509002685547] Updated in round 53! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.15203595161437988] Updated in round 54! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.15285801887512207] Updated in round 55! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.15371298789978027] Updated in round 56! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1688213348388672] Updated in round 57! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.16978812217712402] Updated in round 58! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.17078256607055664] Updated in round 59! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.1717216968536377] Updated in round 60! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.17263460159301758] Updated in round 61! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.17348098754882812] Updated in round 62! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.17439484596252441] Updated in round 63! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.17541766166687012] Updated in round 64! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.18861722946166992] Updated in round 65! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.18987703323364258] Updated in round 66! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.19085121154785156] Updated in round 67! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.19195270538330078] Updated in round 68! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.19300222396850586] Updated in round 69! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.19395685195922852] Updated in round 70! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.20807838439941406] Updated in round 71! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.2227468490600586] Updated in round 72! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.2237842082977295] Updated in round 73! max:(0.5517241379310345, 'C1=C(c2ccccc2)c2ccccc21'), min:(-99999, '')
[0.2248554229736328] Updated in round 74! max:(0.6031746031746031, 'C#CC1=c2ccccc2=CC2=Cc3cccc1c32'), min:(-99999, '')
[0.24053335189819336] Updated in round 75! max:(0.6031746031746031, 'C#CC1=c2ccccc2=CC2=Cc3cccc1c32'), min:(-99999, '')
[0.24160051345825195] Updated in round 76! max:(0.6031746031746031, 'C#CC1=c2ccccc2=CC2=Cc3cccc1c32'), min:(-99999, '')
[0.24268293380737305] Updated in round 77! max:(0.6031746031746031, 'C#CC1=c2ccccc2=CC2=Cc3cccc1c32'), min:(-99999, '')
[0.24375081062316895] Updated in round 78! max:(0.6031746031746031, 'C#CC1=c2ccccc2=CC2=Cc3cccc1c32'), min:(-99999, '')
[0.24484467506408691] Updated in round 79! max:(0.6031746031746031, 'C#CC1=c2ccccc2=CC2=Cc3cccc1c32'), min:(-99999, '')
[0.24585676193237305] Updated in round 80! max:(0.6031746031746031, 'C#CC1=c2ccccc2=CC2=Cc3cccc1c32'), min:(-99999, '')
[0.24685931205749512] Updated in round 81! max:(0.6031746031746031, 'C#CC1=c2ccccc2=CC2=Cc3cccc1c32'), min:(-99999, '')
[0.2660026550292969] Updated in round 82! max:(0.6031746031746031, 'C#CC1=c2ccccc2=CC2=Cc3cccc1c32'), min:(-99999, '')
[0.26728320121765137] Updated in round 83! max:(0.6031746031746031, 'C#CC1=c2ccccc2=CC2=Cc3cccc1c32'), min:(-99999, '')
[0.26847100257873535] Updated in round 84! max:(0.6031746031746031, 'C#CC1=c2ccccc2=CC2=Cc3cccc1c32'), min:(-99999, '')
[0.26964545249938965] Updated in round 85! max:(0.6031746031746031, 'C#CC1=c2ccccc2=CC2=Cc3cccc1c32'), min:(-99999, '')
