[9.989738464355469e-05]Start running EvoMol from [H][H]...
[0.007622957229614258] Updated in round 1! max:(0.028169014084507043, 'C=C'), min:(-99999, '')
[0.008080720901489258] Updated in round 2! max:(0.11267605633802817, 'C=CC=C'), min:(-99999, '')
[0.009282588958740234] Updated in round 3! max:(0.22857142857142856, 'C=CC=CC=C'), min:(-99999, '')
[0.010622262954711914] Updated in round 4! max:(0.3142857142857143, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.012853145599365234] Updated in round 5! max:(0.4, 'C=CC=CC=CC=CC=C'), min:(-99999, '')
[0.016443967819213867] Updated in round 6! max:(0.4, 'C=CC=CC=CC=CC=C'), min:(-99999, '')
[0.0169069766998291] Updated in round 7! max:(0.4857142857142857, 'C=CC=CC=CC=CC=CC=C'), min:(-99999, '')
[0.02228379249572754] Updated in round 8! max:(0.4857142857142857, 'C=CC=CC=CC=CC=CC=C'), min:(-99999, '')
[0.022809267044067383] Updated in round 9! max:(0.4857142857142857, 'C=CC=CC=CC=CC=CC=C'), min:(-99999, '')
[0.0232999324798584] Updated in round 10! max:(0.4857142857142857, 'C=CC=CC=CC=CC=CC=C'), min:(-99999, '')
[0.023785114288330078] Updated in round 11! max:(0.5714285714285714, 'C=CC=CC=CC=CC=CC=CC=C'), min:(-99999, '')
[0.031549692153930664] Updated in round 12! max:(0.6571428571428571, 'C=CC=CC=CC=CC=CC=CC=CC=C'), min:(-99999, '')
[0.04234933853149414] Updated in round 13! max:(0.6571428571428571, 'C=CC=CC=CC=CC=CC=CC=CC=C'), min:(-99999, '')
[0.04295802116394043] Updated in round 14! max:(0.6571428571428571, 'C=CC=CC=CC=CC=CC=CC=CC=C'), min:(-99999, '')
[0.04353523254394531] Updated in round 15! max:(0.6571428571428571, 'C=CC=CC=CC=CC=CC=CC=CC=C'), min:(-99999, '')
[0.044083356857299805] Updated in round 16! max:(0.6571428571428571, 'C=CC=CC=CC=CC=CC=CC=CC=C'), min:(-99999, '')
[0.04466438293457031] Updated in round 17! max:(0.7428571428571429, 'C=CC=CC=CC=CC=CC=CC=CC=CC=C'), min:(-99999, '')
[0.059452056884765625] Updated in round 18! max:(0.7428571428571429, 'C=CC=CC=CC=CC=CC=CC=CC=CC=C'), min:(-99999, '')
[0.060129404067993164] Updated in round 19! max:(0.7428571428571429, 'C=CC=CC=CC=CC=CC=CC=CC=CC=C'), min:(-99999, '')
[0.060774803161621094] Updated in round 20! max:(0.7428571428571429, 'C=CC=CC=CC=CC=CC=CC=CC=CC=C'), min:(-99999, '')
[0.061395883560180664] Updated in round 21! max:(0.7428571428571429, 'C=CC=CC=CC=CC=CC=CC=CC=CC=C'), min:(-99999, '')
