[9.012222290039062e-05]Start running EvoMol from [H][H]...
[0.003587484359741211] Updated in round 1! max:(0.14705882352941177, 'c1ccccc1'), min:(-99999, '')
[0.008867263793945312] Updated in round 2! max:(0.36363636363636365, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.020085573196411133] Updated in round 3! max:(0.45714285714285713, 'c1ccc2c(c1)ccc1ccccc12'), min:(-99999, '')
[0.04026961326599121] Updated in round 4! max:(0.59375, 'c1cc2ccc3cccc4c(c1)c2c34'), min:(-99999, '')
[0.05876612663269043] Updated in round 5! max:(0.59375, 'c1cc2ccc3cccc4c(c1)c2c34'), min:(-99999, '')
[0.059717416763305664] Updated in round 6! max:(0.6285714285714286, 'c1ccc2c(c1)c1cccc3c4cccc2c4c13'), min:(-99999, '')
[0.08961844444274902] Updated in round 7! max:(0.6285714285714286, 'c1ccc2c(c1)c1cccc3c4cccc2c4c13'), min:(-99999, '')
[0.09073352813720703] Updated in round 8! max:(0.6285714285714286, 'c1ccc2c(c1)c1cccc3c4cccc2c4c13'), min:(-99999, '')
[0.09181451797485352] Updated in round 9! max:(0.6764705882352942, 'c1cccc2cccc3c4cccc(cc1)c4c23'), min:(-99999, '')
[0.12256336212158203] Updated in round 10! max:(0.6764705882352942, 'c1cccc2cccc3c4cccc(cc1)c4c23'), min:(-99999, '')
[0.12366151809692383] Updated in round 11! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.17143750190734863] Updated in round 12! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.17283987998962402] Updated in round 13! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.17412090301513672] Updated in round 14! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.1753983497619629] Updated in round 15! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.17664051055908203] Updated in round 16! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.17795062065124512] Updated in round 17! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.1792159080505371] Updated in round 18! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.18043756484985352] Updated in round 19! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.18178129196166992] Updated in round 20! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.18318986892700195] Updated in round 21! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.18446874618530273] Updated in round 22! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.18581080436706543] Updated in round 23! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.18706917762756348] Updated in round 24! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.18831324577331543] Updated in round 25! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.18954014778137207] Updated in round 26! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.19079136848449707] Updated in round 27! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.19209718704223633] Updated in round 28! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.23753738403320312] Updated in round 29! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.23912358283996582] Updated in round 30! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.2407681941986084] Updated in round 31! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.24216866493225098] Updated in round 32! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.24365687370300293] Updated in round 33! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.2451188564300537] Updated in round 34! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.24667596817016602] Updated in round 35! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.2480173110961914] Updated in round 36! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.24956607818603516] Updated in round 37! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.2511172294616699] Updated in round 38! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.2525656223297119] Updated in round 39! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.2540771961212158] Updated in round 40! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.25547003746032715] Updated in round 41! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.30033135414123535] Updated in round 42! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.3018679618835449] Updated in round 43! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.30328798294067383] Updated in round 44! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.3046989440917969] Updated in round 45! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.306140661239624] Updated in round 46! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.3075072765350342] Updated in round 47! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.3089487552642822] Updated in round 48! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.3103933334350586] Updated in round 49! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.3572714328765869] Updated in round 50! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.35886716842651367] Updated in round 51! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.3604609966278076] Updated in round 52! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.3620288372039795] Updated in round 53! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.3635826110839844] Updated in round 54! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.3651459217071533] Updated in round 55! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.3666872978210449] Updated in round 56! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.3681919574737549] Updated in round 57! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.36975669860839844] Updated in round 58! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.37125635147094727] Updated in round 59! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.3728363513946533] Updated in round 60! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.37427544593811035] Updated in round 61! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.37569522857666016] Updated in round 62! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.3771800994873047] Updated in round 63! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.42513203620910645] Updated in round 64! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.4267599582672119] Updated in round 65! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.42844581604003906] Updated in round 66! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.4300060272216797] Updated in round 67! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.4315922260284424] Updated in round 68! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.43334150314331055] Updated in round 69! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.434873104095459] Updated in round 70! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.43640565872192383] Updated in round 71! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.43796563148498535] Updated in round 72! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.43950366973876953] Updated in round 73! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.4410381317138672] Updated in round 74! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.44258975982666016] Updated in round 75! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.4441821575164795] Updated in round 76! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.49340152740478516] Updated in round 77! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.49486875534057617] Updated in round 78! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.49628210067749023] Updated in round 79! max:(0.75, 'c1ccc2cccc3c4cccc(c5ccccc5c1)c4c23'), min:(-99999, '')
[0.5580050945281982] Updated in round 80! max:(0.7702702702702703, 'C=Cc1c2ccccc3cccc4c(cccc5cccc2c15)c34'), min:(-99999, '')
[0.6148178577423096] Updated in round 81! max:(0.7702702702702703, 'C=Cc1c2ccccc3cccc4c(cccc5cccc2c15)c34'), min:(-99999, '')
[0.6164121627807617] Updated in round 82! max:(0.7702702702702703, 'C=Cc1c2ccccc3cccc4c(cccc5cccc2c15)c34'), min:(-99999, '')
[0.6179492473602295] Updated in round 83! max:(0.7702702702702703, 'C=Cc1c2ccccc3cccc4c(cccc5cccc2c15)c34'), min:(-99999, '')
[0.6194906234741211] Updated in round 84! max:(0.7702702702702703, 'C=Cc1c2ccccc3cccc4c(cccc5cccc2c15)c34'), min:(-99999, '')
