[0.00010466575622558594]Start running EvoMol from [H][H]...
[0.06345105171203613] Updated in round 1! max:(0.14705882352941177, 'c1ccccc1'), min:(-99999, '')
[0.0695791244506836] Updated in round 2! max:(0.36363636363636365, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.0809023380279541] Updated in round 3! max:(0.45714285714285713, 'c1ccc2c(c1)ccc1ccccc12'), min:(-99999, '')
[0.10114669799804688] Updated in round 4! max:(0.46153846153846156, 'c1ccc2c(c1)c1ccccc1c1ccccc21'), min:(-99999, '')
[0.13257479667663574] Updated in round 5! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.17316269874572754] Updated in round 6! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.17444109916687012] Updated in round 7! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.1756291389465332] Updated in round 8! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.17684412002563477] Updated in round 9! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.1780710220336914] Updated in round 10! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.17936110496520996] Updated in round 11! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.21874356269836426] Updated in round 12! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.2203965187072754] Updated in round 13! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.2218761444091797] Updated in round 14! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.2519814968109131] Updated in round 15! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.25312232971191406] Updated in round 16! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.25431394577026367] Updated in round 17! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.2554454803466797] Updated in round 18! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.2565481662750244] Updated in round 19! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.25778746604919434] Updated in round 20! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.30335021018981934] Updated in round 21! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.3049161434173584] Updated in round 22! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.306229829788208] Updated in round 23! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.30759263038635254] Updated in round 24! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.30904316902160645] Updated in round 25! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.3104417324066162] Updated in round 26! max:(0.6666666666666666, 'c1ccc2c(c1)c1ccccc1c1c3ccc(cc3)c21'), min:(-99999, '')
[0.3117828369140625] Updated in round 27! max:(0.726027397260274, 'c1ccc2cc3c4cccc3c3c(cccc2c1)cccc43'), min:(-99999, '')
[0.3627924919128418] Updated in round 28! max:(0.726027397260274, 'c1ccc2cc3c4cccc3c3c(cccc2c1)cccc43'), min:(-99999, '')
[0.36410999298095703] Updated in round 29! max:(0.726027397260274, 'c1ccc2cc3c4cccc3c3c(cccc2c1)cccc43'), min:(-99999, '')
[0.36550211906433105] Updated in round 30! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.4140617847442627] Updated in round 31! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.41570019721984863] Updated in round 32! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.4173111915588379] Updated in round 33! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.4187912940979004] Updated in round 34! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.42029356956481934] Updated in round 35! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.4217815399169922] Updated in round 36! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.4232501983642578] Updated in round 37! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.4247288703918457] Updated in round 38! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.42620301246643066] Updated in round 39! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.42766737937927246] Updated in round 40! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.4291102886199951] Updated in round 41! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.43056154251098633] Updated in round 42! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.43196535110473633] Updated in round 43! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.43343687057495117] Updated in round 44! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.4347670078277588] Updated in round 45! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.43611645698547363] Updated in round 46! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.4373941421508789] Updated in round 47! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.4388101100921631] Updated in round 48! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.4401569366455078] Updated in round 49! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.4414947032928467] Updated in round 50! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.4428672790527344] Updated in round 51! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.4441502094268799] Updated in round 52! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.44550132751464844] Updated in round 53! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.44678258895874023] Updated in round 54! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.44822263717651367] Updated in round 55! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.44948506355285645] Updated in round 56! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
[0.4508345127105713] Updated in round 57! max:(0.7746478873239436, 'c1cc2ccc3c4cccc(cc5c6cccc5c2c6c1)c43'), min:(-99999, '')
