[0.00010085105895996094]Start running EvoMol from [H][H]...
[0.015824556350708008] Updated in round 1! max:(0.0, '[H][H]'), min:(-99999, '')
[0.01627492904663086] Updated in round 2! max:(0.0, '[H][H]'), min:(-99999, '')
[0.017493486404418945] Updated in round 3! max:(0.06153846153846154, 'C1=CC=C1'), min:(-99999, '')
[0.019382715225219727] Updated in round 4! max:(0.06153846153846154, 'C1=CC=C1'), min:(-99999, '')
[0.021700143814086914] Updated in round 5! max:(0.08450704225352113, 'C1=CC2=CC1=C2'), min:(-99999, '')
[0.02485942840576172] Updated in round 6! max:(0.18461538461538463, 'c1cc2c3c1c23'), min:(-99999, '')
[0.032118797302246094] Updated in round 7! max:(0.18461538461538463, 'c1cc2c3c1c23'), min:(-99999, '')
[0.0367889404296875] Updated in round 8! max:(0.18461538461538463, 'c1cc2c3c1c23'), min:(-99999, '')
[0.04276776313781738] Updated in round 9! max:(0.18461538461538463, 'c1cc2c3c1c23'), min:(-99999, '')
[0.046471595764160156] Updated in round 10! max:(0.22058823529411764, 'C=c1c2cccc1c2'), min:(-99999, '')
[0.05043911933898926] Updated in round 11! max:(0.22058823529411764, 'C=c1c2cccc1c2'), min:(-99999, '')
[0.05511069297790527] Updated in round 12! max:(0.22058823529411764, 'C=c1c2cccc1c2'), min:(-99999, '')
[0.05584549903869629] Updated in round 13! max:(0.2328767123287671, 'c1cc2c3cccc2c3c#1'), min:(-99999, '')
[0.06087231636047363] Updated in round 14! max:(0.2328767123287671, 'c1cc2c3cccc2c3c#1'), min:(-99999, '')
[0.06746625900268555] Updated in round 15! max:(0.2328767123287671, 'c1cc2c3cccc2c3c#1'), min:(-99999, '')
[0.06831812858581543] Updated in round 16! max:(0.24675324675324675, 'c1c2ccc3ccc4c(c#1)c3c24'), min:(-99999, '')
[0.07654142379760742] Updated in round 17! max:(0.24675324675324675, 'c1c2ccc3ccc4c(c#1)c3c24'), min:(-99999, '')
[0.07738924026489258] Updated in round 18! max:(0.28, 'c1cc2c3cccc2c(c#1)cc3'), min:(-99999, '')
[0.08484292030334473] Updated in round 19! max:(0.28, 'c1cc2c3cccc2c(c#1)cc3'), min:(-99999, '')
[0.08562946319580078] Updated in round 20! max:(0.28, 'c1cc2c3cccc2c(c#1)cc3'), min:(-99999, '')
[0.08637404441833496] Updated in round 21! max:(0.3194444444444444, 'C#CC=c1c2cccc1ccc2'), min:(-99999, '')
[0.09414982795715332] Updated in round 22! max:(0.3484848484848485, 'C=c1c2cccc1ccc2'), min:(-99999, '')
[0.10032129287719727] Updated in round 23! max:(0.3484848484848485, 'C=c1c2cccc1ccc2'), min:(-99999, '')
[0.10743403434753418] Updated in round 24! max:(0.3484848484848485, 'C=c1c2cccc1ccc2'), min:(-99999, '')
[0.1081998348236084] Updated in round 25! max:(0.3484848484848485, 'C=c1c2cccc1ccc2'), min:(-99999, '')
[0.1166543960571289] Updated in round 26! max:(0.3484848484848485, 'C=c1c2cccc1ccc2'), min:(-99999, '')
[0.1174774169921875] Updated in round 27! max:(0.3484848484848485, 'C=c1c2cccc1ccc2'), min:(-99999, '')
[0.11818122863769531] Updated in round 28! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.12798666954040527] Updated in round 29! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.12875914573669434] Updated in round 30! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.13886547088623047] Updated in round 31! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.139845609664917] Updated in round 32! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.14844250679016113] Updated in round 33! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.14922809600830078] Updated in round 34! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.1501014232635498] Updated in round 35! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.1510448455810547] Updated in round 36! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.16091394424438477] Updated in round 37! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.16187095642089844] Updated in round 38! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.17133307456970215] Updated in round 39! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.172194242477417] Updated in round 40! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.17300105094909668] Updated in round 41! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.1737518310546875] Updated in round 42! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.18409514427185059] Updated in round 43! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
