[9.846687316894531e-05]Start running EvoMol from [H][H]...
[0.01783442497253418] Updated in round 1! max:(0.0, '[H][H]'), min:(-99999, '')
[0.018303871154785156] Updated in round 2! max:(0.0, '[H][H]'), min:(-99999, '')
[0.01952219009399414] Updated in round 3! max:(0.06153846153846154, 'C1=CC=C1'), min:(-99999, '')
[0.021433591842651367] Updated in round 4! max:(0.06153846153846154, 'C1=CC=C1'), min:(-99999, '')
[0.02373194694519043] Updated in round 5! max:(0.14925373134328357, 'c1cc2ccc1-2'), min:(-99999, '')
[0.027545928955078125] Updated in round 6! max:(0.15384615384615385, 'c1c2c3cc2c13'), min:(-99999, '')
[0.03557467460632324] Updated in round 7! max:(0.15384615384615385, 'c1c2c3cc2c13'), min:(-99999, '')
[0.03925752639770508] Updated in round 8! max:(0.22058823529411764, 'C=c1c2cccc1c2'), min:(-99999, '')
[0.04319930076599121] Updated in round 9! max:(0.22058823529411764, 'C=c1c2cccc1c2'), min:(-99999, '')
[0.04844164848327637] Updated in round 10! max:(0.22058823529411764, 'C=c1c2cccc1c2'), min:(-99999, '')
[0.049149274826049805] Updated in round 11! max:(0.40625, 'c1cc2c3cccc2c3c1'), min:(-99999, '')
[0.05621957778930664] Updated in round 12! max:(0.40625, 'c1cc2c3cccc2c3c1'), min:(-99999, '')
[0.06276988983154297] Updated in round 13! max:(0.40625, 'c1cc2c3cccc2c3c1'), min:(-99999, '')
[0.06956291198730469] Updated in round 14! max:(0.40625, 'c1cc2c3cccc2c3c1'), min:(-99999, '')
[0.07613396644592285] Updated in round 15! max:(0.40625, 'c1cc2c3cccc2c3c1'), min:(-99999, '')
[0.08468031883239746] Updated in round 16! max:(0.40625, 'c1cc2c3cccc2c3c1'), min:(-99999, '')
[0.09117412567138672] Updated in round 17! max:(0.40625, 'c1cc2c3cccc2c3c1'), min:(-99999, '')
[0.09189367294311523] Updated in round 18! max:(0.40625, 'c1cc2c3cccc2c3c1'), min:(-99999, '')
[0.09273886680603027] Updated in round 19! max:(0.40625, 'c1cc2c3cccc2c3c1'), min:(-99999, '')
[0.0935966968536377] Updated in round 20! max:(0.40625, 'c1cc2c3cccc2c3c1'), min:(-99999, '')
[0.10234951972961426] Updated in round 21! max:(0.40625, 'c1cc2c3cccc2c3c1'), min:(-99999, '')
[0.10330057144165039] Updated in round 22! max:(0.40625, 'c1cc2c3cccc2c3c1'), min:(-99999, '')
[0.1041419506072998] Updated in round 23! max:(0.4117647058823529, 'c1cc2ccc3c4ccc1c3c24'), min:(-99999, '')
[0.11376571655273438] Updated in round 24! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.12338471412658691] Updated in round 25! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.12412381172180176] Updated in round 26! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.12492823600769043] Updated in round 27! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.1350703239440918] Updated in round 28! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.13598132133483887] Updated in round 29! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.1369035243988037] Updated in round 30! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.14540958404541016] Updated in round 31! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.14616823196411133] Updated in round 32! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.1470165252685547] Updated in round 33! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.15657687187194824] Updated in round 34! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.1574108600616455] Updated in round 35! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.15819454193115234] Updated in round 36! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.1589803695678711] Updated in round 37! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.16925930976867676] Updated in round 38! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.17897391319274902] Updated in round 39! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.1798853874206543] Updated in round 40! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.18072795867919922] Updated in round 41! max:(0.45454545454545453, 'c1cc2ccc3cccc2c3c1'), min:(-99999, '')
[0.1918320655822754] Updated in round 42! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.2053539752960205] Updated in round 43! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.20635485649108887] Updated in round 44! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.20728588104248047] Updated in round 45! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.2082810401916504] Updated in round 46! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.20925021171569824] Updated in round 47! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.22382640838623047] Updated in round 48! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.22493982315063477] Updated in round 49! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.2259664535522461] Updated in round 50! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.22699260711669922] Updated in round 51! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
