SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,3,2,0.6666666666666666,0,0,0
C=C,1,4,3,0.75,0,1,0
c1ccccc1,4,7,3,0.42857142857142855,1,3,0
c1ccc(-c2ccccc2)cc1,8,23,4,0.17391304347826086,2,6,0
C=Cc1ccccc1-c1ccccc1,9,70,12,0.17142857142857143,2,7,0
c1ccc(-c2cccc3ccccc23)cc1,11,84,6,0.07142857142857142,3,8,0
C=Cc1ccccc1-c1cccc2ccccc12,12,124,4,0.03225806451612903,3,9,0
C=Cc1ccc(C=C)c(-c2cccc3ccccc23)c1,13,142,3,0.02112676056338028,3,10,0
C=Cc1ccc2ccc3ccc4ccccc4c3c2c1,14,127,2,0.015748031496062992,4,10,0
C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5,15,95,1,0.010526315789473684,5,10,0
c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51,16,11,0,0.0,6,10,0
