SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,2,1,0.5,0,0,0
C=C,1,2,1,0.5,0,1,0
C=CC=C,2,6,2,0.3333333333333333,0,2,0
C=CC=CC=C,3,12,5,0.4166666666666667,0,3,0
C=CC=CC(=C)C=C,4,30,11,0.36666666666666664,0,4,0
C=C1C=CC(=C)C1=C,5,11,3,0.2727272727272727,1,4,0
C=CC=C1C(=C)C=CC1=C,6,20,4,0.2,1,5,0
C=CC(C=C)=C1C(=C)C=CC1=C,7,18,3,0.16666666666666666,1,6,0
C=CC=C1C=CC(=C)C1=C(C=C)C=C,8,43,6,0.13953488372093023,1,7,0
C=CC=CC=C1C=CC(=C)C1=C(C=C)C=C,9,62,6,0.0967741935483871,1,8,0
C=CC=CC=C1C=Cc2cccc(C=C)c21,10,82,5,0.06097560975609756,2,8,0
C=Cc1cccc2c1-c1cccc(=C)c1=C2,11,60,4,0.06666666666666667,3,8,0
C=CC1=c2c(cccc2=C)-c2c(C=C)cccc21,12,71,4,0.056338028169014086,3,9,0
C=CC(=C)C1=c2c(cccc2=C)-c2c(C=C)cccc21,13,84,3,0.03571428571428571,3,10,0
C=Cc1ccc2ccc(=C)c3c2c1-c1cccc(=C)c1=3,14,72,2,0.027777777777777776,4,10,0
C=c1ccc2ccc3ccc4ccc(=C)c5c4c3c2c1=5,15,33,1,0.030303030303030304,5,10,0
c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51,16,8,0,0.0,6,10,0
