SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,3,2,0.6666666666666666,0,0,0
c1ccccc1,4,7,3,0.42857142857142855,1,3,0
c1ccc2ccccc2c1,7,18,4,0.2222222222222222,2,5,0
C=Cc1ccc2ccccc2c1,8,70,9,0.12857142857142856,2,6,0
C=CC=Cc1ccc2ccccc2c1,9,95,10,0.10526315789473684,2,7,0
C=CC(=C)C=Cc1ccc2ccccc2c1,10,111,11,0.0990990990990991,2,8,0
C=CC(=C)C=Cc1ccc2cccc(-c3ccccc3)c2c1,14,146,11,0.07534246575342465,3,11,0
C=CC=CC(=C)C=Cc1ccc2cccc(-c3ccccc3)c2c1,15,181,10,0.055248618784530384,3,12,0
C=CC1=CC(=C)C=Cc2ccc3cccc(c3c2)-c2ccccc21,16,179,7,0.03910614525139665,4,12,0
C=Cc1cc(=C)ccc2ccc3ccc4ccc5cccc1c5c4c3c2,18,180,4,0.022222222222222223,5,13,0
C=CC1=c2c(=C)ccc3ccc4ccc5ccc6cccc1c6c5c4c23,19,141,3,0.02127659574468085,6,13,0
C=CC(=C)C1=c2c(=C)ccc3ccc4ccc5ccc6cccc1c6c5c4c23,20,159,2,0.012578616352201259,6,14,0
C=c1ccc2ccc3ccc4ccc5ccc6ccc(=C)c7c6c5c4c3c2c1=7,21,75,1,0.013333333333333334,7,14,0
c1cc2ccc3ccc4ccc5ccc6ccc7ccc1c1c2c3c4c5c6c71,22,14,0,0.0,8,14,0
