SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,3,2,0.6666666666666666,0,0,0
c1ccccc1,4,7,2,0.2857142857142857,1,3,0
C=Cc1ccccc1,5,30,5,0.16666666666666666,1,4,0
C=CC=Cc1ccccc1,6,47,6,0.1276595744680851,1,5,0
C(C=Cc1ccccc1)=Cc1ccccc1,10,45,4,0.08888888888888889,2,8,0
C=Cc1ccc(C=CC=Cc2ccccc2)cc1,11,99,8,0.08080808080808081,2,9,0
C=CC(=C)c1ccc(C=CC=Cc2ccccc2)cc1,12,114,8,0.07017543859649122,2,10,0
C=CC(=C)c1ccc(C=CC=Cc2ccc(C=C)cc2)cc1,13,130,9,0.06923076923076923,2,11,0
C=CC(=C)c1ccc(C(C=C)=CC=Cc2ccc(C=C)cc2)cc1,14,146,7,0.04794520547945205,2,12,0
C=CC=CC(=C)c1ccc(C(C=C)=CC=Cc2ccc(C=C)cc2)cc1,15,181,7,0.03867403314917127,2,13,0
C=CC=CC(=C)c1ccc(-c2ccc(-c3ccc(C=C)cc3)cc2)cc1,16,134,6,0.04477611940298507,3,13,0
C=CC=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1,19,154,5,0.032467532467532464,4,15,0
C=CC=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1,20,172,5,0.029069767441860465,4,16,0
C=CC(=C)C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1,21,192,4,0.020833333333333332,4,17,0
C=CC(=C)C(=C)C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1,22,212,3,0.014150943396226415,4,18,0
C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(C=C)cc5)cc4)cc3)cc2)cc1,23,177,2,0.011299435028248588,5,18,0
C=C1C=CC(=C)c2ccc(cc2)-c2ccc(cc2)-c2ccc(cc2)-c2ccc(cc2)-c2ccc1cc2,24,85,1,0.011764705882352941,6,18,0
c1cc2ccc1-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc-2cc1,25,16,0,0.0,7,18,0
