SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,2,1,0.5,0,0,0
C=C,1,2,1,0.5,0,1,0
C=CC=C,2,6,2,0.3333333333333333,0,2,0
C=CC=CC=C,3,12,4,0.3333333333333333,0,3,0
C=CC=C(C=C)C=C,4,20,4,0.2,0,4,0
C=CC=C(C=C)C(=C)C=C,5,40,4,0.1,0,5,0
C=CC(=C)c1ccccc1,6,27,3,0.1111111111111111,1,5,0
C=CC=CC(=C)c1ccccc1,7,42,3,0.07142857142857142,1,6,0
C=CC(=C)C=CC(=C)c1ccccc1,8,53,4,0.07547169811320754,1,7,0
C=CC(=C)C=CC(=C)c1ccc(C=C)cc1,9,64,5,0.078125,1,8,0
C=CC(=C)C=CC(=C)c1ccc(C(=C)C=C)cc1,10,76,5,0.06578947368421052,1,9,0
C=CC=CC(=C)c1ccc(C(=C)C=CC(=C)C=C)cc1,11,101,5,0.04950495049504951,1,10,0
C=CC=CC(=C)c1ccc(C(=C)C=CC(=C)C(=C)C=C)cc1,12,116,5,0.04310344827586207,1,11,0
C=CC(=C)C(=C)C=CC(=C)c1ccc(-c2ccccc2)cc1,13,91,4,0.04395604395604396,2,11,0
C=CC(=C)C(=C)C=CC(=C)c1ccc(-c2ccc(C=C)cc2)cc1,14,105,5,0.047619047619047616,2,12,0
C=CC=C(C=C)C(=C)C=CC(=C)c1ccc(-c2ccc(C=C)cc2)cc1,15,134,5,0.03731343283582089,2,13,0
C=CC=C(C=C)C(=C)C=CC(=C)c1ccc(-c2ccc(C(=C)C=C)cc2)cc1,16,151,5,0.033112582781456956,2,14,0
C=CC=CC(=C)c1ccc(-c2ccc(C(=C)C=CC(=C)C(C=C)=CC=C)cc2)cc1,17,186,5,0.026881720430107527,2,15,0
C=CC=CC=C(C=C)C(=C)C=CC(=C)c1ccc(-c2ccc(C(=C)C=CC=C)cc2)cc1,18,225,6,0.02666666666666667,2,16,0
C=CC=CC=C(C=C)C(=C)C=CC(=C)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,19,188,5,0.026595744680851064,3,16,0
C=Cc1ccc(C(=C)C=CC(=C)c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1,20,140,4,0.02857142857142857,4,16,0
C=CC(=C)c1ccc(C(=C)C=CC(=C)c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1,21,157,4,0.025477707006369428,4,17,0
C=CC(=C)c1ccc(C(=C)C=CC(=C)c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1,22,175,3,0.017142857142857144,4,18,0
C=C1C=CC(=C)c2ccc(cc2)-c2ccc(cc2)-c2ccc(cc2)C(=C)C=CC(=C)c2ccc1cc2,23,83,1,0.012048192771084338,5,18,0
C=C1C=CC(=C)c2ccc(cc2)-c2ccc(cc2)-c2ccc(cc2)-c2ccc(cc2)-c2ccc1cc2,24,67,1,0.014925373134328358,6,18,0
c1cc2ccc1-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc-2cc1,25,12,0,0.0,7,18,0
