SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,3,1,0.3333333333333333,0,0,0
C=C,1,4,1,0.25,0,1,0
C=CC=C,2,10,2,0.2,0,2,0
C=CC(=C)C=C,3,16,2,0.125,0,3,0
C=CC=CC(=C)C=C,4,43,3,0.06976744186046512,0,4,0
C=CC=CC(C=C)=CC=C,5,64,4,0.0625,0,5,0
C=CC=CC=C(C=C)C=CC=C,6,89,5,0.056179775280898875,0,6,0
C=CC=CC(C=C)=CC=CC(=C)C=C,7,105,4,0.0380952380952381,0,7,0
C=CC(=C)C=CC=c1ccc(=C)cc1,8,69,3,0.043478260869565216,1,7,0
C=c1ccc(=c2ccc(=C)cc2)cc1,9,22,1,0.045454545454545456,2,7,0
C=CC=c1ccc(=c2ccc(=C)cc2)cc1,10,59,3,0.05084745762711865,2,8,0
C=CC=CC=c1ccc(=c2ccc(=C)cc2)cc1,11,82,4,0.04878048780487805,2,9,0
C=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1,12,95,3,0.031578947368421054,2,10,0
C=CC=CC(C=C)=c1ccc(=c2ccc(=CC=C)cc2)cc1,13,123,4,0.032520325203252036,2,11,0
C=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1,14,111,3,0.02702702702702703,2,12,0
C=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=CC=C)cc2)cc1,15,91,2,0.02197802197802198,2,13,0
C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=CC=C)cc2)cc1,16,213,5,0.023474178403755867,2,14,0
C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=C)cc3)cc2)cc1,17,160,4,0.025,3,14,0
C=CC=CC=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=C)cc3)cc2)cc1,18,197,5,0.025380710659898477,3,15,0
C=CC(=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=C)cc3)cc2)cc1,19,219,4,0.0182648401826484,3,16,0
C=CC(=C)C=CC=c1ccc(=c2ccc(=c3ccc(=c4ccc(=C)cc4)cc3)cc2)cc1,20,165,3,0.01818181818181818,4,16,0
C=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=c4ccc(=C)cc4)cc3)cc2)cc1,21,201,4,0.01990049751243781,4,17,0
C=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=c4ccc(=CC=C)cc4)cc3)cc2)cc1,22,241,3,0.012448132780082987,4,18,0
C=CC1=C(C=C)C=CC=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1,23,114,1,0.008771929824561403,5,18,0
C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1,24,165,1,0.006060606060606061,6,18,0
c1cc2ccc1=c1ccc(cc1)=c1ccc(cc1)=c1ccc(cc1)=c1ccc(cc1)=c1ccc=2cc1,25,14,0,0.0,7,18,0
