SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,2,1,0.5,0,0,0
C=C,1,2,1,0.5,0,1,0
C=CC=C,2,6,2,0.3333333333333333,0,2,0
C=CC=CC=C,3,12,3,0.25,0,3,0
C=CC=C(C=C)C=C,4,20,3,0.15,0,4,0
C=CC(C=C)=C(C=C)C=C,5,10,1,0.1,0,5,0
C=CC=CC(C=C)=C(C=C)C=C,6,42,3,0.07142857142857142,0,6,0
C=CC=CC=CC(C=C)=C(C=C)C=C,7,61,4,0.06557377049180328,0,7,0
C=CC=c1ccc(=C(C=C)C=C)cc1,8,37,3,0.08108108108108109,1,7,0
C=CC(C=C)=c1ccc(=C(C=C)C=C)cc1,9,18,1,0.05555555555555555,1,8,0
C=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1,10,65,3,0.046153846153846156,1,9,0
C=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1,11,41,2,0.04878048780487805,2,9,0
C=CC=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1,12,58,3,0.05172413793103448,2,10,0
C=CC=CC=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1,13,79,4,0.05063291139240506,2,11,0
C=CC=CC=c1ccc(=c2ccc(=C(C=C)C=CC=C)cc2)cc1,14,131,5,0.03816793893129771,2,12,0
C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=CC=CC=C)cc2)cc1,15,164,6,0.036585365853658534,2,13,0
C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=CC=CC(=C)C=C)cc2)cc1,16,184,5,0.02717391304347826,2,14,0
C=CC=CC=CC=CC(C=C)=c1ccc(=c2ccc(=CC=CC(=C)C=C)cc2)cc1,17,223,6,0.026905829596412557,2,15,0
C=CC(=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=CC=CC(=C)C=C)cc2)cc1,18,246,5,0.02032520325203252,2,16,0
C=CC=C(C=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=CC=CC(=C)C=C)cc2)cc1,19,291,6,0.020618556701030927,2,17,0
C=CC=C(C=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=CC=CC(C=C)=CC=C)cc2)cc1,20,340,5,0.014705882352941176,2,18,0
C=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=CC=CC(C=C)=CC=C)cc3)cc2)cc1,21,141,2,0.014184397163120567,3,18,0
C=CC1=CC=CC(C=C)=C(C=C)C=CC=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1,22,249,3,0.012048192771084338,4,18,0
C=CC1=CC=CC(C=C)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1,23,190,1,0.005263157894736842,5,18,0
C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1,24,142,1,0.007042253521126761,6,18,0
c1cc2ccc1=c1ccc(cc1)=c1ccc(cc1)=c1ccc(cc1)=c1ccc(cc1)=c1ccc=2cc1,25,12,0,0.0,7,18,0
