SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,2,1,0.5,0,0,0
C=C,1,2,1,0.5,0,1,0
C=CC=C,2,6,2,0.3333333333333333,0,2,0
C=CC(=C)C=C,3,11,3,0.2727272727272727,0,3,0
C=CC(=C)C(=C)C=C,4,14,3,0.21428571428571427,0,4,0
C=CC(=C)C(=C)C(=C)C=C,5,19,3,0.15789473684210525,0,5,0
C=CC=CC(=C)C(=C)C(=C)C=C,6,50,4,0.08,0,6,0
C=CC=CC(=C)C(=C)C(=C)C=CC=C,7,39,2,0.05128205128205128,0,7,0
C=CC=CC(=C)C(=CC=C)C(=C)C=CC=C,8,54,3,0.05555555555555555,0,8,0
C=CC=CC(=C)C(=CC=C)c1ccccc1,9,73,3,0.0410958904109589,1,8,0
C=CC=CC=C(C(=C)C=CC=C)c1ccccc1,10,98,4,0.04081632653061224,1,9,0
C=CC=CC(=C)C(=C(C=C)C=CC=C)c1ccccc1,11,113,3,0.02654867256637168,1,10,0
C=CC=CC=CC(C=C)=C(C(=C)C=CC=C)c1ccccc1,12,144,4,0.027777777777777776,1,11,0
C=CC=CC(=C)C(c1ccccc1)=c1ccc(=CC=C)cc1,13,102,3,0.029411764705882353,2,11,0
C=CC=c1ccc(=C(c2ccccc2)c2ccccc2)cc1,14,51,2,0.0392156862745098,3,11,0
C=CC=CC=c1ccc(=C(c2ccccc2)c2ccccc2)cc1,15,70,3,0.04285714285714286,3,12,0
C=CC=CC(C=C)=c1ccc(=C(c2ccccc2)c2ccccc2)cc1,16,82,2,0.024390243902439025,3,13,0
C=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1,17,55,1,0.01818181818181818,4,13,0
C=CC=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1,18,74,3,0.04054054054054054,4,14,0
C=CC(=C)C=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1,19,87,3,0.034482758620689655,4,15,0
C=CC=C(C=C)C=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1,20,112,2,0.017857142857142856,4,16,0
C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1,21,89,1,0.011235955056179775,5,16,0
C=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1,22,101,2,0.019801980198019802,5,17,0
C=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1,23,128,2,0.015625,5,18,0
C=CC=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1,24,159,1,0.006289308176100629,5,19,0
c1ccc(C(c2ccccc2)=c2ccc(=c3ccc(=C(c4ccccc4)c4ccccc4)cc3)cc2)cc1,25,44,0,0.0,6,19,0
