SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,3,2,0.6666666666666666,0,0,0
C=C,1,4,3,0.75,0,1,0
c1ccccc1,4,7,1,0.14285714285714285,1,3,0
C=Cc1ccccc1,5,30,2,0.06666666666666667,1,4,0
C=CC=Cc1ccccc1,6,47,3,0.06382978723404255,1,5,0
C=CC(C=C)=Cc1ccccc1,7,41,2,0.04878048780487805,1,6,0
C=CC(C=C)=Cc1ccc(C=C)cc1,8,51,2,0.0392156862745098,1,7,0
C=CC=CC(C=C)=Cc1ccc(C=C)cc1,9,95,4,0.042105263157894736,1,8,0
C=CC(C=CC=Cc1ccccc1)=Cc1ccc(C=C)cc1,13,145,3,0.020689655172413793,2,11,0
C=CC(C=CC=Cc1ccc(C=C)cc1)=Cc1ccc(C=C)cc1,14,163,3,0.018404907975460124,2,12,0
C=CC=Cc1ccc(C=C(C=C)C=CC=Cc2ccc(C=C)cc2)cc1,15,200,4,0.02,2,13,0
C=CC=CC=Cc1ccc(C=C(C=C)C=CC=Cc2ccc(C=C)cc2)cc1,16,241,6,0.024896265560165973,2,14,0
C=CC=CC(C=C)=Cc1ccc(C=C(C=C)C=CC=Cc2ccc(C=C)cc2)cc1,17,264,5,0.01893939393939394,2,15,0
C=CC=CC(C=C)=Cc1ccc(C=C(C=C)C=CC=Cc2ccc(C=CC=C)cc2)cc1,18,311,6,0.01929260450160772,2,16,0
C=CC=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=CC=C)cc3)cc2)cc1,19,244,5,0.020491803278688523,3,16,0
C=CC=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=C)cc3)cc2)cc1,20,289,7,0.02422145328719723,3,17,0
C=CC=CC=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=C)cc3)cc2)cc1,21,338,7,0.020710059171597635,3,18,0
C=CC=CC=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=C)cc3)cc2)cc1,22,365,6,0.01643835616438356,3,19,0
C=CC=CC=CC=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=C)cc3)cc2)cc1,23,420,6,0.014285714285714285,3,20,0
C=CC=CC=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C(C=C)C=CC=C)cc4)cc3)cc2)cc1,24,341,5,0.01466275659824047,4,20,0
C=CC=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=c4ccc(=CC(C=C)=CC=C)cc4)cc3)cc2)cc1,25,368,3,0.008152173913043478,4,21,0
C=CC=C(C=C)C=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=c5ccc(=C)cc5)cc4)cc3)cc2)cc1,26,296,2,0.006756756756756757,5,21,0
C=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=c5ccc(=Cc6ccccc6)cc5)cc4)cc3)cc2)cc1,27,255,1,0.00392156862745098,6,21,0
c1cc2ccc1cc1ccc(cc1)cc1ccc(cc1)cc1ccc(cc1)cc1ccc(cc1)cc1ccc(cc1)c2,28,28,0,0.0,7,21,0
