SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,2,1,0.5,0,0,0
C=C,1,2,1,0.5,0,1,0
C=CC=C,2,6,2,0.3333333333333333,0,2,0
C=CC=CC=C,3,12,4,0.3333333333333333,0,3,0
C=CC=C(C=C)C=C,4,20,4,0.2,0,4,0
C=CC=CC=C(C=C)C=C,5,33,4,0.12121212121212122,0,5,0
C=CC=CC=C(C=C)C=CC=C,6,69,6,0.08695652173913043,0,6,0
C=CC=CC=C(C=C)C=C(C=C)C=C,7,62,3,0.04838709677419355,0,7,0
C=CC=CC=CC=C(C=C)C=C(C=C)C=C,8,85,4,0.047058823529411764,0,8,0
C=CC=Cc1ccc(C=C(C=C)C=C)cc1,9,55,3,0.05454545454545454,1,8,0
C=CC(C=C)=Cc1ccc(C=C(C=C)C=C)cc1,10,27,1,0.037037037037037035,1,9,0
C=CC=CC(C=C)=Cc1ccc(C=C(C=C)C=C)cc1,11,90,3,0.03333333333333333,1,10,0
C=CC=CC(C=C)=Cc1ccc(C=C(C=C)C=CC=C)cc1,12,77,2,0.025974025974025976,1,11,0
C=CC=CC=CC(C=C)=Cc1ccc(C=C(C=C)C=CC=C)cc1,13,181,5,0.027624309392265192,1,12,0
C=CC=CC=CC(C=C)=Cc1ccc(C=c2ccc(=C)cc2)cc1,14,133,4,0.03007518796992481,2,12,0
C=CC=c1ccc(=Cc2ccc(C=c3ccc(=C)cc3)cc2)cc1,15,94,3,0.031914893617021274,3,12,0
C=CC=c1ccc(=Cc2ccc(C=c3ccc(=CC=C)cc3)cc2)cc1,16,64,2,0.03125,3,13,0
C=CC=CC=c1ccc(=Cc2ccc(C=c3ccc(=CC=C)cc3)cc2)cc1,17,152,4,0.02631578947368421,3,14,0
C=CC=CC=c1ccc(=Cc2ccc(C=c3ccc(=CC(=C)C=C)cc3)cc2)cc1,18,171,4,0.023391812865497075,3,15,0
C=CC=CC=c1ccc(=Cc2ccc(C=c3ccc(=CC(=C)C=CC=C)cc3)cc2)cc1,19,208,4,0.019230769230769232,3,16,0
C=CC=CC=c1ccc(=Cc2ccc(C=c3ccc(=CC(=C)C=CC(=C)C=C)cc3)cc2)cc1,20,230,4,0.017391304347826087,3,17,0
C=CC=CC=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C)cc4)cc3)cc2)cc1,21,192,3,0.015625,4,17,0
C=CC=C(C=C)C=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C)cc4)cc3)cc2)cc1,22,213,3,0.014084507042253521,4,18,0
C=CC=CC=C(C=C)C=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C)cc4)cc3)cc2)cc1,23,254,3,0.011811023622047244,4,19,0
C=CC=CC=C(C=C)C=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=CC=C)cc4)cc3)cc2)cc1,24,299,4,0.013377926421404682,4,20,0
C=CC=CC=CC=C(C=C)C=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=CC=C)cc4)cc3)cc2)cc1,25,348,3,0.008620689655172414,4,21,0
C=Cc1ccccc(C=C)cc2ccc(cc2)cc2ccc(cc2)cc2ccc(cc2)cc2ccc(cccc1)cc2,26,323,1,0.0030959752321981426,5,21,0
C=Cc1ccccc2ccc(cc2)cc2ccc(cc2)cc2ccc(cc2)cc2ccc(cc2)cc2ccc(cc2)c1,27,258,1,0.003875968992248062,6,21,0
c1cc2ccc1cc1ccc(cc1)cc1ccc(cc1)cc1ccc(cc1)cc1ccc(cc1)cc1ccc(cc1)c2,28,23,0,0.0,7,21,0
