SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,3,3,1.0,0,0,0
C=C,1,4,3,0.75,0,1,0
c1ccccc1,4,7,1,0.14285714285714285,1,3,0
C#Cc1ccccc1,5,22,3,0.13636363636363635,1,3,1
C=CC#Cc1ccccc1,6,29,4,0.13793103448275862,1,4,1
C=CC=CC#Cc1ccccc1,7,46,5,0.10869565217391304,1,5,1
C#CC=CC=CC#Cc1ccccc1,8,56,6,0.10714285714285714,1,5,2
C=CC#CC=CC=CC#Cc1ccccc1,9,67,7,0.1044776119402985,1,6,2
C=CC#CC(C=C)=CC=CC#Cc1ccccc1,10,79,5,0.06329113924050633,1,7,2
C=CC=CC#CC(C=C)=CC=CC#Cc1ccccc1,11,106,6,0.05660377358490566,1,8,2
C=CC(C#Cc1ccccc1)=CC=CC#Cc1ccccc1,13,96,3,0.03125,2,9,2
C#Cc1ccc(C#CC=CC=C(C#Cc2ccccc2)C=C)cc1,14,96,4,0.041666666666666664,2,9,3
C#Cc1ccc(C#CC=CC=C(C#Cc2ccc(C#C)cc2)C=C)cc1,15,96,5,0.052083333333333336,2,9,4
C#Cc1ccc(C#CC(C=C)=CC=CC#Cc2ccc(C#Cc3ccccc3)cc2)cc1,19,129,4,0.031007751937984496,3,12,4
C=CC(C#Cc1ccc(C#Cc2ccccc2)cc1)=CC=CC#Cc1ccc(C#Cc2ccccc2)cc1,23,166,3,0.018072289156626505,4,15,4
C(#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1)c1ccccc1,24,65,1,0.015384615384615385,5,15,4
C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1,25,122,3,0.02459016393442623,5,15,5
C(#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1)c1ccccc1,29,82,1,0.012195121951219513,6,18,5
C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#Cc6ccccc6)cc5)cc4)cc3)cc2)cc1,30,157,1,0.006369426751592357,6,18,6
C1#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc1cc2,31,15,0,0.0,7,18,6
