SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,2,2,1.0,0,0,0
C#C,1,2,1,0.5,0,0,1
C#CC=C,2,8,3,0.375,0,1,1
C#CC=CC=C,3,17,4,0.23529411764705882,0,2,1
C#CC=CC=CC=C,4,30,3,0.1,0,3,1
C#CC=CC=C(C#C)C=C,5,32,3,0.09375,0,3,2
C#Cc1ccc(C#C)cc1,6,9,1,0.1111111111111111,1,3,2
C#Cc1ccc(C#CC=C)cc1,7,21,3,0.14285714285714285,1,4,2
C=CC#Cc1ccc(C#CC=C)cc1,8,15,2,0.13333333333333333,1,5,2
C=CC#Cc1ccc(C#CC=CC=C)cc1,9,42,5,0.11904761904761904,1,6,2
C=CC#Cc1ccc(C#CC(C=C)=CC=C)cc1,10,52,4,0.07692307692307693,1,7,2
C=CC#Cc1ccc(C#Cc2ccccc2)cc1,11,37,3,0.08108108108108109,2,7,2
C#Cc1ccc(C#Cc2ccc(C#CC=C)cc2)cc1,12,38,3,0.07894736842105263,2,7,3
C#Cc1ccc(C#Cc2ccc(C#CC=CC=C)cc2)cc1,13,55,4,0.07272727272727272,2,8,3
C#Cc1ccc(C#Cc2ccc(C#CC(C=C)=CC=C)cc2)cc1,14,66,3,0.045454545454545456,2,9,3
C#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1,15,49,2,0.04081632653061224,3,9,3
C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1,16,58,3,0.05172413793103448,3,10,3
C=CC(=C)C#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1,17,69,3,0.043478260869565216,3,11,3
C=CC=C(C#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1)C=C,18,92,3,0.03260869565217391,3,12,3
C(#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1)c1ccccc1,19,38,1,0.02631578947368421,4,12,3
C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1,20,72,2,0.027777777777777776,4,12,4
C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#C)cc4)cc3)cc2)cc1,21,39,1,0.02564102564102564,4,12,5
C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#CC=C)cc4)cc3)cc2)cc1,22,84,3,0.03571428571428571,4,13,5
C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#CC=CC=C)cc4)cc3)cc2)cc1,23,109,4,0.03669724770642202,4,14,5
C#CC=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#C)cc4)cc3)cc2)cc1,24,124,4,0.03225806451612903,4,14,6
C#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#C)cc4)cc3)cc2)cc1,25,140,3,0.02142857142857143,4,15,6
C#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#CC=C)cc4)cc3)cc2)cc1,26,156,4,0.02564102564102564,4,16,6
C=CC#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#CC=C)cc4)cc3)cc2)cc1,27,173,4,0.023121387283236993,4,17,6
C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#CC=C)cc5)cc4)cc3)cc2)cc1,28,67,2,0.029850746268656716,5,17,6
C1#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc(cc2)C#CC=CC=C1,29,66,1,0.015151515151515152,6,17,6
C=CC1=CC=CC#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc(cc2)C#C1,30,142,1,0.007042253521126761,6,18,6
C1#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc1cc2,31,12,0,0.0,7,18,6
