SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,3,1,0.3333333333333333,0,0,0
C=C,1,4,1,0.25,0,1,0
C=CC=C,2,10,2,0.2,0,2,0
C=CC=CC=C,3,18,3,0.16666666666666666,0,3,0
C=CC=C(C=C)C=C,4,28,4,0.14285714285714285,0,4,0
C=CC=C(C=C)C(=C)C=C,5,54,7,0.12962962962962962,0,5,0
C=CC=CC=C(C=C)C(=C)C=C,6,77,8,0.1038961038961039,0,6,0
C=CC=CC=c1ccccc1=C,7,77,6,0.07792207792207792,1,6,0
C=CC(=C)C=CC=c1ccccc1=C,8,92,7,0.07608695652173914,1,7,0
C=CC(=C)C=C(C=C)C=c1ccccc1=C,9,107,6,0.056074766355140186,1,8,0
C=CC(=C)C=C(C=C)C=c1ccc(C=C)cc1=C,10,123,6,0.04878048780487805,1,9,0
C=CC(=C)C=c1cc2ccc(C=C)cc2cc1=C,11,108,5,0.046296296296296294,2,9,0
C=CC(=C)C=c1cc2cc(C=C)c(C=C)cc2cc1=C,12,123,6,0.04878048780487805,2,10,0
C=CC=C(C=C)C=c1cc2cc(C=C)c(C=C)cc2cc1=C,13,155,7,0.04516129032258064,2,11,0
C=CC=CC(=CC=C)C=c1cc2cc(C=C)c(C=C)cc2cc1=C,14,192,7,0.036458333333333336,2,12,0
C=CC=CC=CC(=CC=C)C=c1cc2cc(C=C)c(C=C)cc2cc1=C,15,233,8,0.034334763948497854,2,13,0
C=CC=CC=c1cc2cc3cc(C=C)c(C=C)cc3cc2cc1=CC=C,16,211,7,0.03317535545023697,3,13,0
C=CC=c1cc2cc3cc4cc(C=C)c(C=C)cc4cc3cc2cc1=C,17,174,6,0.034482758620689655,4,13,0
C=CC=Cc1cc2cc3cc4cc(=C)c(=CC=C)cc4cc3cc2cc1C=C,18,213,6,0.028169014084507043,4,14,0
C=CC=c1cc2cc3cc4cc5ccc(C=C)cc5cc4cc3cc2cc1=C,19,194,5,0.02577319587628866,5,14,0
C=CC=c1cc2cc3cc4cc5cc(C=C)c(C=C)cc5cc4cc3cc2cc1=C,20,214,6,0.028037383177570093,5,15,0
C=CC=Cc1cc2cc3cc4cc5cc(=CC=C)c(=C)cc5cc4cc3cc2cc1C=C,21,257,6,0.023346303501945526,5,16,0
C=CC=c1cc2cc3cc4cc5cc6cc(C=C)ccc6cc5cc4cc3cc2cc1=C,22,236,5,0.0211864406779661,6,16,0
C=CC=c1cc2cc3cc4cc5cc6ccc(C=C)cc6cc5cc4cc3cc2cc1=CC=C,23,280,5,0.017857142857142856,6,17,0
C=Cc1ccc2cc3cc4cc5cc6cc7cc(=C)c(=C)cc7cc6cc5cc4cc3cc2c1,24,238,4,0.01680672268907563,7,17,0
C=Cc1cc2cc3cc4cc5cc6cc7cc(=C)c(=C)cc7cc6cc5cc4cc3cc2cc1C=C,25,139,3,0.02158273381294964,7,18,0
C=CC=Cc1cc2cc3cc4cc5cc6cc7cc(=C)c(=C)cc7cc6cc5cc4cc3cc2cc1C=C,26,307,5,0.016286644951140065,7,19,0
C=CC=Cc1cc2cc3cc4cc5cc6cc7cc(=CC=C)c(=C)cc7cc6cc5cc4cc3cc2cc1C=C,27,357,6,0.01680672268907563,7,20,0
C=CC=Cc1cc2cc3cc4cc5cc6cc7cc(=C)c(=CC=C)cc7cc6cc5cc4cc3cc2cc1C=CC=C,28,412,7,0.01699029126213592,7,21,0
C=CC=Cc1cc2cc3cc4cc5cc6cc7cc(=CC=C)c(=CC=C)cc7cc6cc5cc4cc3cc2cc1C=CC=C,29,246,5,0.02032520325203252,7,22,0
C=CC=CC=c1cc2cc3cc4cc5cc6cc7cc(C=CC=C)c(C=CC=C)cc7cc6cc5cc4cc3cc2cc1=CC=C,30,533,7,0.013133208255159476,7,23,0
C=CC=Cc1cc2cc3cc4cc5cc6cc7cc8cc(=C)c(=CC=C)cc8cc7cc6cc5cc4cc3cc2cc1C=CC=C,31,472,6,0.012711864406779662,8,23,0
C=CC=CC=Cc1cc2cc3cc4cc5cc6cc7cc8cc(=C)c(=CC=C)cc8cc7cc6cc5cc4cc3cc2cc1C=CC=C,32,535,5,0.009345794392523364,8,24,0
C=CC=Cc1cc2cc3cc4cc5cc6cc7cc8cc9cc(=C)ccccccc1cc2cc3cc4cc5cc6cc7cc8cc9=C,33,505,4,0.007920792079207921,9,24,0
C=CC=Cc1cc2cc3cc4cc5cc6cc7cc8cc9cc(=C)c%10cc9cc8cc7cc6cc5cc4cc3cc2cc1C=CC=CC=%10,34,473,3,0.006342494714587738,10,24,0
C=Cc1cc2cc3cc4cc5cc6cc7cc8cc9cc%10cc(=C)c%11cc%10cc9cc8cc7cc6cc5cc4cc3cc2cc1C=CC=%11,35,415,2,0.004819277108433735,11,24,0
c1cc2cc3cc4cc5cc6cc7cc8cc9cc%10cc%11cc(c1)c1cccc2cc3cc4cc5cc6cc7cc8cc9cc%10cc%11c1,36,125,1,0.008,12,24,0
c1c2cc3cc4cc5cc6cc7cc8cc9cc%10cc%11cc%12cc1c1cc2cc3cc4cc5cc6cc7cc8cc9cc%10cc%11cc%12c1,37,18,0,0.0,13,24,0
