SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,2,1,0.5,0,0,0
C=C,1,2,1,0.5,0,1,0
C=CC=C,2,6,2,0.3333333333333333,0,2,0
C=CC(=C)C=C,3,11,3,0.2727272727272727,0,3,0
C=CC(=C)C(=C)C=C,4,14,3,0.21428571428571427,0,4,0
C=c1ccccc1=C,5,13,2,0.15384615384615385,1,4,0
C=Cc1ccc(=C)c(=C)c1,6,33,4,0.12121212121212122,1,5,0
C=Cc1cc(=C)c(=C)cc1C=C,7,23,3,0.13043478260869565,1,6,0
C=CC=c1cc(C=C)c(C=C)cc1=C,8,61,6,0.09836065573770492,1,7,0
C=CC(=C)C=c1cc(C=C)c(C=C)cc1=C,9,74,6,0.08108108108108109,1,8,0
C=CC(=C)C=c1cc2ccccc2cc1=C,10,73,5,0.0684931506849315,2,8,0
C=CC=CC(=C)C=c1cc2ccccc2cc1=C,11,98,6,0.061224489795918366,2,9,0
C=CC=CC(=C)C=c1cc2ccc(C=C)cc2cc1=C,12,114,6,0.05263157894736842,2,10,0
C=CC=CC=CC(=C)C=c1cc2ccc(C=C)cc2cc1=C,13,145,7,0.04827586206896552,2,11,0
C=CC=CC=c1cc2cc3cc(C=C)ccc3cc2cc1=C,14,129,6,0.046511627906976744,3,11,0
C=CC=CC=c1cc2cc3cc(C=C)c(C=C)cc3cc2cc1=C,15,146,7,0.04794520547945205,3,12,0
C=CC(=C)C=CC=c1cc2cc3cc(C=C)c(C=C)cc3cc2cc1=C,16,165,8,0.048484848484848485,3,13,0
C=CC=CC(=C)C=CC=c1cc2cc3cc(C=C)c(C=C)cc3cc2cc1=C,17,202,9,0.04455445544554455,3,14,0
C=CC=CC(=C)C=C(C=C)C=c1cc2cc3cc(C=C)c(C=C)cc3cc2cc1=C,18,224,8,0.03571428571428571,3,15,0
C=CC=CC(=CC=C)C=C(C=C)C=c1cc2cc3cc(C=C)c(C=C)cc3cc2cc1=C,19,267,8,0.0299625468164794,3,16,0
C=CC=CC=CC(=CC=C)C=C(C=C)C=c1cc2cc3cc(C=C)c(C=C)cc3cc2cc1=C,20,314,9,0.028662420382165606,3,17,0
C=CC=C(C=CC=CC(=C)C=C)C=C(C=C)C=c1cc2cc3cc(C=C)c(C=C)cc3cc2cc1=C,21,341,9,0.026392961876832845,3,18,0
C=CC=C(C=CC=CC(=C)C=C)C=c1cc2cc3cc4cc(C=C)c(C=C)cc4cc3cc2cc1=C,22,316,8,0.02531645569620253,4,18,0
C=CC(=C)C=c1ccc(C=c2cc3cc4cc5cc(C=C)c(C=C)cc5cc4cc3cc2=C)cc1=C,23,271,7,0.025830258302583026,5,18,0
C=CC=C(C=C)C=c1ccc(C=c2cc3cc4cc5cc(C=C)c(C=C)cc5cc4cc3cc2=C)cc1=C,24,318,8,0.025157232704402517,5,19,0
C=CC=CC(=CC=C)C=c1ccc(C=c2cc3cc4cc5cc(C=C)c(C=C)cc5cc4cc3cc2=C)cc1=C,25,369,8,0.02168021680216802,5,20,0
C=CC=CC=CC(=CC=C)C=c1ccc(C=c2cc3cc4cc5cc(C=C)c(C=C)cc5cc4cc3cc2=C)cc1=C,26,424,9,0.02122641509433962,5,21,0
C=CC=C(C=CC=CC(=C)C=C)C=c1ccc(C=c2cc3cc4cc5cc(C=C)c(C=C)cc5cc4cc3cc2=C)cc1=C,27,455,9,0.01978021978021978,5,22,0
C=CC(=C)C=c1ccc(C=c2ccc(C=c3cc4cc5cc6cc(C=C)c(C=C)cc6cc5cc4cc3=C)cc2=C)cc1=C,28,400,8,0.02,6,22,0
C=CC(=C)C=c1ccc(C=c2cc3cc4cc5cc6cc7cc(C=C)c(C=C)cc7cc6cc5cc4cc3cc2=C)cc1=C,29,373,7,0.01876675603217158,7,22,0
C=CC(=C)C=c1ccc(C=c2cc3cc4cc5cc6cc7cc8ccccc8cc7cc6cc5cc4cc3cc2=C)cc1=C,30,372,6,0.016129032258064516,8,22,0
C=CC(=C)C=c1ccc(C=c2cc3cc4cc5cc6cc7cc8ccc(C=C)cc8cc7cc6cc5cc4cc3cc2=C)cc1=C,31,401,6,0.014962593516209476,8,23,0
C=CC=CC(=C)C=c1ccc(C=c2cc3cc4cc5cc6cc7cc8ccc(C=C)cc8cc7cc6cc5cc4cc3cc2=C)cc1=C,32,458,5,0.010917030567685589,8,24,0
C=C1C=CC(=C)C=c2ccc(cc2=C)C=c2cc3cc4cc5cc6cc7cc8ccc(cc8cc7cc6cc5cc4cc3cc2=C)C=C1,33,430,4,0.009302325581395349,9,24,0
C=c1ccc(=C)cc2cc3cc4cc5cc6cc7cc8cc9cc%10cc(cc1)ccc%10cc9cc8cc7cc6cc5cc4cc3cc2=C,34,401,2,0.004987531172069825,10,24,0
C=c1ccc2cc1=Cc1ccc3cc4cc5cc6cc7cc8cc9cc%10cc(=C)c(cc%10cc9cc8cc7cc6cc5cc4cc3c1)=C2,35,374,1,0.00267379679144385,11,24,0
C=c1cc2cc3cc4cc5cc6cc7cc8cc9cc%10cc%11ccc%12cc%11cc%10cc9cc8cc7cc6cc5cc4cc3cc2cc1=C%12,36,349,1,0.0028653295128939827,12,24,0
c1c2cc3cc4cc5cc6cc7cc8cc9cc%10cc%11cc%12cc1c1cc2cc3cc4cc5cc6cc7cc8cc9cc%10cc%11cc%12c1,37,15,0,0.0,13,24,0
