SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,2,1,0.5,0,0,0
C=C,1,2,1,0.5,0,1,0
C=CC=C,2,6,2,0.3333333333333333,0,2,0
C=CC=CC=C,3,12,4,0.3333333333333333,0,3,0
c1ccccc1,4,4,1,0.25,1,3,0
C=Cc1ccccc1,5,20,5,0.25,1,4,0
C=CC(=C)c1ccccc1,6,27,6,0.2222222222222222,1,5,0
C=CC=C(C=C)c1ccccc1,7,42,10,0.23809523809523808,1,6,0
C=CC=C(C=C)c1ccccc1C=C,8,70,8,0.11428571428571428,1,7,0
C=CC=c1c(=C)ccc2ccccc12,9,59,6,0.1016949152542373,2,7,0
C=CC=CC=c1c(=C)ccc2ccccc12,10,82,7,0.08536585365853659,2,8,0
C=CC=CC=c1c(=C)ccc2ccc(C=C)cc12,11,97,7,0.07216494845360824,2,9,0
C=CC=CC=c1c(=C)ccc2ccc(C=CC=C)cc12,12,126,9,0.07142857142857142,2,10,0
C=CC=Cc1ccc2ccc(=C)c(=CC=CC(=C)C=C)c2c1,13,144,9,0.0625,2,11,0
C=CC=CC(=C)C=CC=c1c(=C)ccc2ccc(C=CC=C)cc12,14,179,12,0.0670391061452514,2,12,0
C=CC=Cc1ccc2ccc(=C)c(=CC=CC(=C)C(C=C)=CC=C)c2c1,15,199,10,0.05025125628140704,2,13,0
C=CC=CC=C(C=C)C(=C)C=CC=c1c(=C)ccc2ccc(C=CC=C)cc12,16,240,12,0.05,2,14,0
C=CC=CC=Cc1ccc2ccc(=C)c(=CC=CC(=C)C(C=C)=CC=CC=C)c2c1,17,285,13,0.0456140350877193,2,15,0
C=CC=CC=Cc1ccc2ccc3cc(C(=C)C(C=C)=CC=CC=C)ccc3c2c1,18,262,12,0.04580152671755725,3,15,0
C=CC=CC=C(C=C)C(=C)c1ccc2c(ccc3ccc(C=CC=CC(=C)C=C)cc32)c1,19,287,12,0.041811846689895474,3,16,0
C=CC=CC=C(C=C)C(=CC=C)c1ccc2c(ccc3ccc(C=CC=CC(=C)C=C)cc32)c1,20,336,12,0.03571428571428571,3,17,0
C=CC=CC=C(C=C)C(=CC=C)c1ccc2c(ccc3ccc(C=CC=CC(C=C)=CC=C)cc32)c1,21,389,17,0.043701799485861184,3,18,0
C=CC=CC=C(C=C)C(=CC=C)c1ccc2c(ccc3ccc(C=CC=CC(C=C)=CC(=C)C=C)cc32)c1,22,419,13,0.031026252983293555,3,19,0
C=CC=C(C(C=C)=CC=CC(=C)C=C)c1ccc2c(ccc3ccc(C=CC=CC(C=C)=CC(=C)C=C)cc32)c1,23,450,12,0.02666666666666667,3,20,0
C=CC=C(C(C=C)=CC=C(C=C)C(=C)C=C)c1ccc2c(ccc3ccc(C=CC=CC(C=C)=CC(=C)C=C)cc32)c1,24,481,12,0.02494802494802495,3,21,0
C=CC(=C)C=C(C=C)C=CC=Cc1ccc2ccc3cc(-c4ccccc(C=C)c(C=C)ccc4C=C)ccc3c2c1,25,480,11,0.022916666666666665,4,21,0
C=CC(=C)C=C(C=C)C=C(C=C)C=Cc1ccc2ccc3cc(-c4ccccc(C=C)c(C=C)ccc4C=C)ccc3c2c1,26,513,10,0.01949317738791423,4,22,0
C=CC(=C)C=C(C=C)C=C(C=C)C=Cc1ccc2ccc3cc(-c4cc5ccc(C=C)c(C=C)c5cc4C=C)ccc3c2c1,27,453,9,0.019867549668874173,5,22,0
C=CC(C=Cc1ccc2ccc3cc(-c4cc5ccc(C=C)c(C=C)c5cc4C=C)ccc3c2c1)=Cc1cccc(C=C)c1,28,452,8,0.017699115044247787,6,22,0
C=Cc1ccc2ccc(C=Cc3ccc4ccc5cc(-c6cc7ccc(C=C)c(C=C)c7cc6C=C)ccc5c4c3)cc2c1,29,423,7,0.016548463356973995,7,22,0
C=Cc1ccc2cc3c(ccc4cc5c(ccc6cc(-c7cc8ccc(C=C)c(C=C)c8cc7C=C)ccc65)cc43)cc2c1,30,368,6,0.016304347826086956,8,22,0
C=CC=Cc1ccc2cc3c(ccc4cc5c(ccc6cc(-c7cc8ccc(C=C)c(C=C)c8cc7C=C)ccc65)cc43)cc2c1,31,423,6,0.014184397163120567,8,23,0
C=CC=Cc1ccc2cc3c(ccc4cc5c(ccc6cc(-c7cc8ccc(C=C)c(C=CC=C)c8cc7C=C)ccc65)cc43)cc2c1,32,482,5,0.01037344398340249,8,24,0
C=CC=Cc1c(C=C)ccc2cc(-c3ccc4c(ccc5cc6c(ccc7cc8c(ccc9ccccc98)cc76)cc54)c3)c(C=C)cc12,33,451,4,0.008869179600886918,9,24,0
C=CC=Cc1c(C=C)ccc2cc3c(ccc4cc5c(ccc6cc7c(ccc8cc9c(ccc%10ccccc%109)cc87)cc65)cc43)cc12,34,422,3,0.0071090047393364926,10,24,0
C=Cc1ccc2ccc3cc4c(ccc5cc6c(ccc7cc8c(ccc9cc%10c(ccc%11ccccc%11%10)cc98)cc76)cc54)cc3c2c1,35,395,2,0.005063291139240506,11,24,0
c1cc2ccc3ccc4cc5c(ccc6cc7c(ccc8cc9c(ccc%10cc%11c(ccc%12ccc1cc%12%11)cc%109)cc87)cc65)cc4c3c2,36,190,1,0.005263157894736842,12,24,0
c1cc2cc3c4ccc5cc6c(ccc7cc8c(ccc9cc%10c(ccc%11cc%12c(ccc%13cc(c1cc%13%12)c2c4)cc%11%10)cc98)cc76)cc53,37,33,0,0.0,13,24,0
