SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,2,1,0.5,0,0,0
C=C,1,2,1,0.5,0,1,0
C=CC=C,2,6,2,0.3333333333333333,0,2,0
C=CC(=C)C=C,3,11,3,0.2727272727272727,0,3,0
C=CC(=C)C(=C)C=C,4,14,4,0.2857142857142857,0,4,0
C=CC=C(C=C)C(=C)C=C,5,40,13,0.325,0,5,0
C=CC=C(C=C)C(=C)C(=C)C=C,6,50,15,0.3,0,6,0
C=CC=CC(=C)C(=C)C(C=C)=CC=C,7,71,17,0.23943661971830985,0,7,0
C=CC=C(C=C)C(=C)C(=C)C=C(C=C)C=C,8,64,15,0.234375,0,8,0
C=CC=c1cccc(C=C(C=C)C=C)c1=C,9,63,11,0.1746031746031746,1,8,0
C=CC(C=C)=Cc1cccc(=C(C=C)C=C)c1=C,10,56,10,0.17857142857142858,1,9,0
C=CC=CC(C=C)=c1cccc(C=C(C=C)C=C)c1=C,11,100,15,0.15,1,10,0
C=CC=CC(C=C)=c1ccc(C=C)c(C=C(C=C)C=C)c1=C,12,115,11,0.09565217391304348,1,11,0
C=CC(C=C)=Cc1c(C=C)ccc(=c2ccccc2=C)c1=C,13,101,7,0.06930693069306931,2,11,0
C=CC(C=C)=Cc1c(C=C)ccc(=c2cc(C=C)ccc2=C)c1=C,14,117,7,0.05982905982905983,2,12,0
C=CC(=C)C(C=C)=Cc1c(C=C)ccc(=c2cc(C=C)ccc2=C)c1=C,15,164,11,0.06707317073170732,2,13,0
C=CC=Cc1ccc(=c2cc(C=C)ccc2=C)c(=C)c1C=C(C=C)C(=C)C=C,16,201,12,0.05970149253731343,2,14,0
C=CC(=C)C(C=C)=c1c(=C)ccc2ccc(=c3cc(C=C)ccc3=C)c(=C)c12,17,164,11,0.06707317073170732,3,14,0
C=CC=C(C=C)C(C=C)=c1c(=C)ccc2ccc(=c3cc(C=C)ccc3=C)c(=C)c12,18,201,12,0.05970149253731343,3,15,0
C=Cc1ccc(=C)c(=c2ccc3ccc(=C)c(=c4c(C=C)cccc4=C)c3c2=C)c1,19,182,7,0.038461538461538464,4,15,0
C=Cc1ccc(=C)c(=c2ccc3ccc(=C)c(=c4c(C=C)c(C=C)ccc4=C)c3c2=C)c1,20,202,8,0.039603960396039604,4,16,0
C=Cc1ccc(=C)c(=c2ccc3ccc(=C)c(=c4c(C=C)c(C=C)ccc4=C)c3c2=C)c1C=C,21,222,10,0.04504504504504504,4,17,0
C=CC=Cc1c(C=C)ccc(=C)c1=c1c(=C)ccc2ccc(=c3c(C=C)c(C=C)ccc3=C)c(=C)c12,22,265,12,0.045283018867924525,4,18,0
C=CC=Cc1c(C=C)ccc(=C)c1=c1ccc2ccc(=C)c(=c3c(C=CC=C)c(C=C)ccc3=C)c2c1=C,23,312,16,0.05128205128205128,4,19,0
C=CC=Cc1c(C=C)ccc(=C)c1=c1c(=C)ccc2ccc(=c3c(C=CC(=C)C=C)c(C=C)ccc3=C)c(=C)c12,24,339,18,0.05309734513274336,4,20,0
C=CC(=C)C=Cc1c(C=C)ccc(=C)c1=c1ccc2ccc(=C)c(=c3c(C=CC(=C)C=C)c(C=C)ccc3=C)c2c1=C,25,367,12,0.0326975476839237,4,21,0
C=CC(=C)C=Cc1c(C=C)ccc(=C)c1=c1ccc2ccc(=C)c(=c3c(C(C=C)=CC(=C)C=C)c(C=C)ccc3=C)c2c1=C,26,395,11,0.027848101265822784,4,22,0
C=CC=C(C=C)C=Cc1c(C=C)ccc(=C)c1=c1ccc2ccc(=C)c(=c3c(C(C=C)=CC(=C)C=C)c(C=C)ccc3=C)c2c1=C,27,452,10,0.022123893805309734,4,23,0
C=CC=C(C=C)C=Cc1c(C=C)ccc(=C)c1=c1ccc2ccc(=C)c(=c3c(-c4cccc(C=C)c4)c(C=C)ccc3=C)c2c1=C,28,451,9,0.019955654101995565,5,23,0
C=CC=C(C=C)C=Cc1c(C=C)ccc(=C)c1=c1ccc2ccc(=C)c(=c3c(=C)ccc4ccc5ccc(C=C)cc5c34)c2c1=C,29,422,8,0.018957345971563982,6,23,0
C=CC=C(C=C)C=Cc1c(C=C)ccc2ccc3c(ccc4ccc(=C)c(=c5c(=C)ccc6ccc7ccc(C=C)cc7c56)c43)c12,30,421,7,0.0166270783847981,7,23,0
C=CC=C(C=C)c1cc2c(C=C)ccc3ccc4c(ccc5ccc(=C)c(c6c(=C)ccc7ccc8ccc(cc8c76)c1=C)c54)c32,31,366,6,0.01639344262295082,8,23,0
C=CC=C(C=C)c1cc2c(C=C)ccc3ccc4c(ccc5ccc(=C)c(c6c(=C)ccc7ccc8ccc(cc8c76)c1=CC=C)c54)c32,32,421,5,0.011876484560570071,8,24,0
C=CC=c1ccc(C=C)c2c3ccc4ccc5ccc(=C)c(c6c(=C)ccc7ccc8c(ccc9ccc(C=C)c(cc12)c98)c76)c5c4c3,33,393,4,0.010178117048346057,9,24,0
C=CC=c1ccc(C=C)c2c3ccc4ccc5ccc6ccc7ccc8ccc9c(ccc%10ccc(C=C)c(cc12)c%109)c8c7c6c5c4c3,34,392,3,0.007653061224489796,10,24,0
C=Cc1ccc2cccc3c4c(C=C)ccc5ccc6c(ccc7ccc8ccc9ccc%10ccc%11ccc(cc%11c%10c9c8c76)c1c23)c54,35,364,2,0.005494505494505495,11,24,0
C=Cc1ccc2ccc3c4ccc5ccc6ccc7ccc8ccc9ccc%10c(ccc%11ccc%12cccc(c1c24)c%12c%11%10)c9c8c7c6c53,36,337,1,0.002967359050445104,12,24,0
c1cc2ccc3ccc4ccc5ccc6c7ccc8ccc9ccc%10ccc%11ccc%12ccc%13c(ccc1c%13c2c3c4c57)c%12c%11c%10c9c86,37,87,0,0.0,13,24,0
