SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,3,3,1.0,0,0,0
c1ccccc1,4,7,1,0.14285714285714285,1,3,0
C#Cc1ccccc1,5,22,5,0.22727272727272727,1,3,1
C#Cc1ccc(C#C)cc1,6,13,3,0.23076923076923078,1,3,2
C#Cc1ccc(C#C)c(C#C)c1,7,34,9,0.2647058823529412,1,3,3
C#Cc1ccc(C#C)c(C#C)c1C#C,8,18,5,0.2777777777777778,1,3,4
C#Cc1cc(C#C)c(C#C)c(C#C)c1C#C,9,21,7,0.3333333333333333,1,3,5
C#Cc1cc(C#C)c(C#C)c(C#CC=C)c1C#C,10,28,9,0.32142857142857145,1,4,5
C#Cc1cc(C#C)c(C#C)c(C#CC=CC=C)c1C#C,11,45,9,0.2,1,5,5
C#Cc1cc(C#CC=C)c(C#C)c(C#CC=CC=C)c1C#C,12,75,15,0.2,1,6,5
C#Cc1cc(C#CC=C)c(C#Cc2ccccc2)c(C#CC=CC=C)c1C#C,16,106,14,0.1320754716981132,2,9,5
C#Cc1cc(C#CC(=C)C=C)c(C#Cc2ccccc2)c(C#CC=CC=C)c1C#C,17,122,15,0.12295081967213115,2,10,5
C#Cc1cc(C#CC(=C)C=C)c(C#Cc2ccccc2)c(C#CC(C=C)=CC=C)c1C#C,18,138,14,0.10144927536231885,2,11,5
C#Cc1c(C#C)c(C#CC(=C)C=C)c(C#Cc2ccccc2)c(C#CC(C=C)=CC=C)c1C#C,19,138,15,0.10869565217391304,2,11,6
C#Cc1c(C#Cc2ccccc2)c(C#C)c(C#CC(C=C)=CC=C)c(C#Cc2ccccc2)c1C#CC(=C)C=C,23,177,14,0.07909604519774012,3,14,6
C#Cc1c(C#CC(=C)C=C)c(C#Cc2ccccc2)c(C#CC(C=C)=CC=C)c(C#Cc2ccccc2)c1C#Cc1ccccc1,27,220,13,0.05909090909090909,4,17,6
C#Cc1ccccc1C#Cc1c(C#Cc2ccccc2)c(C#C)c(C#CC(=C)C=C)c(C#Cc2ccccc2)c1C#CC(C=C)=CC=C,28,260,15,0.057692307692307696,4,17,7
C#Cc1ccccc1C#Cc1c(C#CC(C=C)=CC=C)c(C#Cc2ccccc2)c(C#CC(=C)C=C)c(C#CC=C)c1C#Cc1ccccc1,29,283,17,0.06007067137809187,4,18,7
C#Cc1ccccc1C#Cc1c(C#Cc2ccccc2)c(C#CC=C)c(C#CC(=C)C=C)c(C#Cc2ccccc2)c1C#Cc1ccccc1,30,242,14,0.05785123966942149,5,18,7
C#Cc1ccccc1C#Cc1c(C#Cc2ccccc2)c(C#CC=C)c(C#CC(C=C)=CC=C)c(C#Cc2ccccc2)c1C#Cc1ccccc1,31,286,12,0.04195804195804196,5,19,7
C#Cc1ccccc1C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#CC(C=C)=CC=C)c(C#Cc2ccccc2)c1C#Cc1ccccc1,34,198,6,0.030303030303030304,6,21,7
C#CC(C=C)=C(C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#Cc2ccccc2C#C)c(C#Cc2ccccc2)c1C#Cc1ccccc1)C=C,35,198,5,0.025252525252525252,6,21,8
C#Cc1ccccc1C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#Cc2ccccc2C#C)c(C#Cc2ccccc2)c1C#Cc1ccccc1,36,105,2,0.01904761904761905,7,21,8
C#Cc1ccccc1C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c2c(c1C#Cc1ccccc1)C#Cc1ccccc1C#Cc1ccccc1C#C2,37,312,3,0.009615384615384616,8,21,8
C(#Cc1c(C#Cc2ccccc2)c2c#cc3ccccc3c#cc3ccccc3c#cc2c2c#cc3ccccc3c#cc3ccccc3c#cc12)c1ccccc1,38,160,1,0.00625,9,21,8
C#Cc1ccccc1C#Cc1c(C#Cc2ccccc2)c2c#cc3ccccc3c#cc3ccccc3c#cc2c2c#cc3ccccc3c#cc3ccccc3c#cc12,39,357,1,0.0028011204481792717,9,21,9
c1c2ccccc2c#cc2c3c#cc4ccccc4c#cc4ccccc4c#cc3c3c#cc4ccccc4c#cc4ccccc4c#cc3c2c#cc2ccccc2c#1,40,65,0,0.0,10,21,9
