SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,3,3,1.0,0,0,0
C#C,1,3,3,1.0,0,0,1
C#Cc1ccccc1,5,22,6,0.2727272727272727,1,3,1
C#Cc1ccc2ccccc2c1,8,57,3,0.05263157894736842,2,5,1
C#Cc1ccc2ccccc2c1-c1ccccc1,12,82,5,0.06097560975609756,3,8,1
C#Cc1ccc2ccccc2c1-c1ccccc1C=C,13,122,5,0.040983606557377046,3,9,1
C#CC#Cc1ccc2ccccc2c1-c1ccccc1C=C,14,122,6,0.04918032786885246,3,9,2
C=CC#CC#Cc1ccc2ccccc2c1-c1ccccc1C=C,15,138,8,0.057971014492753624,3,10,2
C=CC#CC#Cc1ccc2ccccc2c1-c1cccc(C=C)c1C=C,16,154,6,0.03896103896103896,3,11,2
C=CC=CC#CC#Cc1ccc2ccccc2c1-c1cccc(C=C)c1C=C,17,191,12,0.06282722513089005,3,12,2
C=CC(C=C)=CC#CC#Cc1ccc2ccccc2c1-c1cccc(C=C)c1C=C,18,176,9,0.05113636363636364,3,13,2
C=CC=CC(C=C)=CC#CC#Cc1ccc2ccccc2c1-c1cccc(C=C)c1C=C,19,256,20,0.078125,3,14,2
C=CC(=CC#CC#Cc1ccc2ccccc2c1-c1cccc(C=C)c1C=C)C=C(C=C)C=C,20,237,14,0.05907172995780591,3,15,2
C=CC(C=C)=Cc1ccccc1C#CC#Cc1ccc2ccccc2c1-c1cccc(C=C)c1C=C,22,259,9,0.03474903474903475,4,16,2
C=Cc1ccccc1-c1ccccc1C#CC#Cc1ccc2ccccc2c1-c1cccc(C=C)c1C=C,24,330,9,0.02727272727272727,5,17,2
C#Cc1cccc(C=C)c1-c1ccccc1C#CC#Cc1ccc2ccccc2c1-c1cccc(C=C)c1C=C,25,328,9,0.027439024390243903,5,17,3
C#Cc1ccc2ccccc2c1-c1ccccc1C#CC#Cc1ccc2ccccc2c1-c1cccc(C=C)c1C=C,27,356,6,0.016853932584269662,6,18,3
C#Cc1ccc(C=C)c(C=C)c1-c1c(C#CC#Cc2ccccc2-c2c(C#C)ccc3ccccc23)ccc2ccccc12,28,356,6,0.016853932584269662,6,18,4
C#Cc1ccc2ccccc2c1-c1ccccc1C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12,29,358,5,0.013966480446927373,7,18,4
C#CC#Cc1ccc2ccccc2c1-c1ccccc1C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12,30,358,6,0.01675977653631285,7,18,5
C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2c(C#C)ccc3ccccc23)cccc1C=C,31,385,6,0.015584415584415584,7,19,5
C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2cccc(C=C)c2-c2c(C#CC#Cc3ccccc3)ccc3ccccc23)ccc2ccccc12,35,446,9,0.020179372197309416,8,22,5
C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2cccc(C=C)c2-c2c(C#CC#Cc3ccccc3)ccc3ccccc23)ccc2ccccc12,36,446,10,0.02242152466367713,8,22,6
C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2cccc(C=C)c2-c2c(C#CC#Cc3ccc(C=C)cc3)ccc3ccccc23)ccc2ccccc12,37,477,10,0.020964360587002098,8,23,6
C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2cccc(C=C)c2-c2c(C#CC#Cc3ccc(C=C)cc3C=C)ccc3ccccc23)ccc2ccccc12,38,572,12,0.02097902097902098,8,24,6
C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2cccc(C=C)c2-c2c(C#CC#Cc3ccc(C=C)cc3C=CC=C)ccc3ccccc23)ccc2ccccc12,39,641,16,0.0249609984399376,8,25,6
C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2c(C#CC#Cc3ccc(C=C)cc3C=CC=C)ccc3ccccc23)ccc2ccccc12,41,679,13,0.01914580265095729,9,26,6
C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2c(C#CC#Cc3ccc(C=C)cc3C=CC(=C)C=C)ccc3ccccc23)ccc2ccccc12,42,718,9,0.012534818941504178,9,27,6
C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2c(C#CC#Cc3ccc(C=C)cc3C=CC(=C)C=C)ccc3ccccc23)ccc2ccccc12,43,756,7,0.009259259259259259,9,28,6
C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2c(C#CC#Cc3ccc(C=C)cc3C=CC(=C)C=CC=C)ccc3ccccc23)ccc2ccccc12,44,835,6,0.00718562874251497,9,29,6
