SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,2,2,1.0,0,0,0
C=C,1,2,2,1.0,0,1,0
C=CC=C,2,6,4,0.6666666666666666,0,2,0
C#CC(=C)C=C,3,13,4,0.3076923076923077,0,2,1
C#CC(C=C)=CC=C,4,24,8,0.3333333333333333,0,3,1
C#CC=CC=C(C#C)C=C,5,32,6,0.1875,0,3,2
C#CC=CC=C(C#C)C=CC=C,6,49,8,0.16326530612244897,0,4,2
C#CC=C(C=C)C=C(C#C)C=CC=C,7,61,9,0.14754098360655737,0,5,2
C#CC(C=CC=C)=CC(C=C)=C(C#C)C=C,8,72,10,0.1388888888888889,0,6,2
C#CC(C=C)=C(C=C)C(C=C)=C(C#C)C=CC=C,9,84,9,0.10714285714285714,0,7,2
C#CC(C=C)=C(C=C)C(C=C)=C(C#C)C=CC=CC=C,10,111,8,0.07207207207207207,0,8,2
C#CC(C=CC=CC=C)=C(C=C)C(C=CC=C)=C(C#C)C=C,11,142,8,0.056338028169014086,0,9,2
C#CC(C=CC=CC=C)=C(C=C)C(C=CC=C)=C(C#C)C=CC=C,12,177,6,0.03389830508474576,0,10,2
C#CC#CC(C=CC=C)=C(C=CC=C)C(C=C)=C(C#C)C=CC=CC=C,13,177,6,0.03389830508474576,0,10,3
C#CC#CC(C=CC=C)=C(C=CC=C)c1c(C#C)ccc(=CC=C)c1=C,14,143,5,0.03496503496503497,1,10,3
C#CC#CC(C=CC=C)=C(C=CC=C)c1c(C#C)ccc2ccccc12,15,142,4,0.028169014084507043,2,10,3
C#CC#Cc1ccccccccc1-c1c(C#C)ccc2ccccc12,16,141,3,0.02127659574468085,3,10,3
C#Cc1ccc2ccccc2c1-c1ccccccccc1C#CC#CC=C,17,158,4,0.02531645569620253,3,11,3
C#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12,18,126,3,0.023809523809523808,4,11,3
C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12,19,126,3,0.023809523809523808,4,11,4
C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12,20,75,2,0.02666666666666667,4,12,4
C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=CC=C)ccc2ccccc12,21,177,7,0.03954802259887006,4,13,4
C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=CC=CC=C)ccc2ccccc12,22,216,10,0.046296296296296294,4,14,4
C#CC(C=C)=CC=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12,23,218,7,0.03211009174311927,4,14,5
C#CC(C=C)=CC(C=C)=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12,24,241,8,0.03319502074688797,4,15,5
C#CC(C=C)=C(C=C)C(C=C)=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12,25,263,10,0.03802281368821293,4,16,5
C#CC(C=CC=C)=C(C=C)C(C=C)=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12,26,310,9,0.02903225806451613,4,17,5
C#Cc1ccc(=C)c(=C)c1C(C=C)=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12,27,264,8,0.030303030303030304,5,17,5
C#Cc1ccc(=C)c(=C)c1C(=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12)C(=C)C=C,28,288,9,0.03125,5,18,5
C#Cc1ccc(=CC=C)c(=C)c1C(=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12)C(=C)C=C,29,337,8,0.02373887240356083,5,19,5
C#Cc1ccc2ccccc2c1C(=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12)C(=C)C=C,30,336,7,0.020833333333333332,6,19,5
C#Cc1ccc2ccccc2c1C(=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC(=C)C=C)ccc2ccccc12)C(=C)C=C,31,363,8,0.02203856749311295,6,20,5
C#Cc1ccc2ccccc2c1C(C(=C)C=C)=C(C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC(=C)C=C)ccc2ccccc12)C=C,32,390,8,0.020512820512820513,6,21,5
