SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,3,2,0.6666666666666666,0,0,0
c1ccccc1,4,7,3,0.42857142857142855,1,3,0
c1ccc2ccccc2c1,7,18,4,0.2222222222222222,2,5,0
C=Cc1ccc2ccccc2c1,8,70,9,0.12857142857142856,2,6,0
C=CC=Cc1ccc2ccccc2c1,9,95,10,0.10526315789473684,2,7,0
C=CC(=C)C=Cc1ccc2ccccc2c1,10,111,11,0.0990990990990991,2,8,0
C=CC(=C)C=Cc1ccc2cccc(-c3ccccc3)c2c1,14,146,13,0.08904109589041095,3,11,0
C=CC=CC(=C)C=Cc1ccc2cccc(-c3ccccc3)c2c1,15,181,18,0.09944751381215469,3,12,0
C=CC(=CC(=C)C=Cc1ccc2cccc(-c3ccccc3)c2c1)c1ccccc1,19,225,13,0.057777777777777775,4,15,0
C(=Cc1ccc2cccc(-c3ccccc3)c2c1)c1cccc(-c2ccccc2)c1,20,227,13,0.05726872246696035,5,15,0
C=Cc1ccccc1-c1cccc(C=Cc2ccc3cccc(-c4ccccc4)c3c2)c1,21,291,21,0.07216494845360824,5,16,0
C=CC(=C)c1ccccc1-c1cccc(C=Cc2ccc3cccc(-c4ccccc4)c3c2)c1,22,316,20,0.06329113924050633,5,17,0
C=CC=C(C=C)c1ccccc1-c1cccc(C=Cc2ccc3cccc(-c4ccccc4)c3c2)c1,23,366,27,0.07377049180327869,5,18,0
C=CC=C(c1ccccc1)c1ccccc1-c1cccc(C=Cc2ccc3cccc(-c4ccccc4)c3c2)c1,26,397,20,0.05037783375314862,6,20,0
C=Cc1ccc2ccccc2c1-c1ccccc1-c1cccc(C=Cc2ccc3cccc(-c4ccccc4)c3c2)c1,28,453,15,0.033112582781456956,7,21,0
C=Cc1ccc2ccccc2c1-c1ccccc1-c1cccc(C=Cc2ccc3ccc4ccc5ccccc5c4c3c2)c1,30,513,13,0.025341130604288498,8,22,0
C=Cc1ccc2ccccc2c1-c1ccccc1-c1cccc(C=Cc2ccc3ccc4ccc5cccc(-c6ccccc6)c5c4c3c2)c1,34,582,15,0.02577319587628866,9,25,0
C=Cc1ccc2ccc(C=C)c(-c3ccccc3-c3cccc(C=Cc4ccc5ccc6ccc7cccc(-c8ccccc8)c7c6c5c4)c3)c2c1,35,618,16,0.025889967637540454,9,26,0
C=Cc1ccc2ccc(C=C)c(-c3ccccc3-c3cccc(C=Cc4ccc5ccc6ccc7cccc(-c8ccccc8)c7c6c5c4)c3)c2c1-c1ccccc1,39,691,14,0.020260492040520984,10,29,0
C=Cc1ccc2ccc3ccc4ccccc4c3c2c1-c1ccccc1-c1cccc(C=Cc2ccc3ccc4ccc5cccc(-c6ccccc6)c5c4c3c2)c1,40,728,13,0.017857142857142856,11,29,0
C=Cc1ccc2ccc3ccc4ccccc4c3c2c1-c1ccccc1-c1cccc2ccc3ccc4ccc5ccc6cccc(-c7ccccc7)c6c5c4c3c12,41,652,12,0.018404907975460124,12,29,0
C=Cc1ccc2ccc3ccc4cccc(C=C)c4c3c2c1-c1ccccc1-c1cccc2ccc3ccc4ccc5ccc6cccc(-c7ccccc7)c6c5c4c3c12,42,688,10,0.014534883720930232,12,30,0
C=Cc1cccc2ccc3ccc4ccc5ccc6cccc(-c7cccc8ccc9ccc%10ccc%11ccc%12cccc(-c%13ccccc%13)c%12c%11c%10c9c78)c6c5c4c3c12,43,654,9,0.013761467889908258,13,30,0
c1ccc(-c2cccc3ccc4ccc5ccc6ccc7cccc(-c8cccc9ccc%10ccc%11ccc%12ccc%13ccc%14ccccc%14c%13c%12c%11c%10c89)c7c6c5c4c23)cc1,45,692,6,0.008670520231213872,14,31,0
c1ccc(-c2cccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccc%11ccc%12ccc%13ccc%14ccc%15ccccc%15c%14c%13c%12c%11c%10c9c8c7c6c5c4c23)cc1,47,695,3,0.004316546762589928,15,32,0
C=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccc%11ccc%12ccc%13ccc%14ccccc%14c%13c%12c%11c%10c9c8c7c6c5c4c3c2c1-c1ccccc1,48,732,1,0.001366120218579235,15,33,0
c1ccc2c(c1)ccc1ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccc%11ccc%12ccc%13ccc%14ccc%15ccccc%15c%14c%13c%12c%11c%10c9c8c7c6c5c4c3c12,49,394,0,0.0,16,33,0
