SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,3,2,0.6666666666666666,0,0,0
c1ccccc1,4,7,3,0.42857142857142855,1,3,0
c1ccc2ccccc2c1,7,18,4,0.2222222222222222,2,5,0
C=Cc1ccc2ccccc2c1,8,70,10,0.14285714285714285,2,6,0
C(=Cc1ccc2ccccc2c1)c1ccccc1,12,114,14,0.12280701754385964,3,9,0
C(=Cc1ccc2c(ccc3ccccc32)c1)c1ccccc1,15,146,14,0.0958904109589041,4,11,0
C=Cc1ccc(C=Cc2ccc3c(ccc4ccccc43)c2)cc1,16,164,16,0.0975609756097561,4,12,0
C=Cc1ccc(C=Cc2ccc3c(ccc4c5ccccc5ccc34)c2)cc1,19,202,10,0.04950495049504951,5,14,0
C=CC(=C)c1ccc(C=Cc2ccc3c(ccc4c5ccccc5ccc34)c2)cc1,20,223,11,0.04932735426008968,5,15,0
C=CC(=C)c1ccc2cc(-c3ccc4c(ccc5c6ccccc6ccc45)c3)ccc2c1,22,268,8,0.029850746268656716,6,16,0
C=CC(=C)c1ccc2cc(-c3ccc4c(ccc5c6ccc(-c7ccccc7)cc6ccc45)c3)ccc2c1,26,320,10,0.03125,7,19,0
C=CC=C(C=C)c1ccc2cc(-c3ccc4c(ccc5c6ccc(-c7ccccc7)cc6ccc45)c3)ccc2c1,27,370,14,0.03783783783783784,7,20,0
C=CC=C(C=C)c1ccc2cc(-c3ccc4c(ccc5c6ccc(-c7ccc8ccccc8c7)cc6ccc45)c3)ccc2c1,30,487,14,0.028747433264887063,8,22,0
C=Cc1ccc2c(ccc3cc(-c4ccc5c(ccc6c7ccc(-c8ccc9ccccc9c8)cc7ccc56)c4)ccc32)c1C=C,32,485,7,0.01443298969072165,9,23,0
C=Cc1c(C=Cc2ccccc2)ccc2c1ccc1cc(-c3ccc4c(ccc5c6ccc(-c7ccc8ccccc8c7)cc6ccc45)c3)ccc12,36,586,9,0.015358361774744027,10,26,0
C=Cc1c(C=Cc2ccc(-c3ccccc3)cc2)ccc2c1ccc1cc(-c3ccc4c(ccc5c6ccc(-c7ccc8ccccc8c7)cc6ccc45)c3)ccc12,40,660,11,0.016666666666666666,11,29,0
C=Cc1ccc(-c2ccc(C=Cc3ccc4c(ccc5cc(-c6ccc7c(ccc8c9ccc(-c%10ccc%11ccccc%11c%10)cc9ccc78)c6)ccc54)c3C=C)cc2)cc1,41,697,12,0.01721664275466284,11,30,0
C=Cc1ccc(-c2ccc(C=Cc3ccc4c(ccc5cc(-c6ccc7c(ccc8c9ccc(-c%10ccc%11cc(-c%12ccccc%12)ccc%11c%10)cc9ccc78)c6)ccc54)c3C=C)cc2)cc1,45,777,11,0.014157014157014158,12,33,0
C=Cc1ccc2c(ccc3cc(C=Cc4ccc5c(ccc6cc(-c7ccc8c(ccc9c%10ccc(-c%11ccc%12cc(-c%13ccccc%13)ccc%12c%11)cc%10ccc89)c7)ccc65)c4C=C)ccc32)c1,47,937,8,0.008537886872998933,13,34,0
C=Cc1c(C=Cc2ccc3c(ccc4c5ccccc5ccc34)c2)ccc2c1ccc1cc(-c3ccc4c(ccc5c6ccc(-c7ccc8cc(-c9ccccc9)ccc8c7)cc6ccc45)c3)ccc12,49,980,5,0.00510204081632653,14,35,0
C=Cc1ccccc1-c1ccc2cc(-c3ccc4c(ccc5c6ccc(-c7ccc8c(ccc9c(C=C)c(C=Cc%10ccc%11c(ccc%12c%13ccccc%13ccc%11%12)c%10)ccc98)c7)cc6ccc45)c3)ccc2c1,50,1113,3,0.0026954177897574125,14,36,0
C=Cc1cc2ccc1-c1ccc3cc(ccc3c1)-c1ccc3c(ccc4c5ccc(cc5ccc34)-c3ccc4c(ccc5c(C=C)c(ccc54)C=Cc4ccc5c(ccc6c7ccc-2cc7ccc56)c4)c3)c1,51,1025,2,0.001951219512195122,15,36,0
C=Cc1c2ccc3c1ccc1cc(ccc13)-c1ccc3c(ccc4c5ccc(cc5ccc34)-c3ccc4c(ccc5c6ccc(cc6ccc45)-c4ccc5c(ccc6c7ccc(cc7ccc56)C=C2)c4)c3)c1,52,979,1,0.0010214504596527069,16,36,0
c1cc2c3ccc4c5ccc(cc5ccc24)-c2ccc4c(ccc5c6ccc(cc6ccc45)-c4ccc5c(ccc6c7ccc(cc7ccc56)-c5ccc6c(ccc7c8ccc(cc8ccc67)-c1c3)c5)c4)c2,53,131,0,0.0,17,36,0
