SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,2,1,0.5,0,0,0
C=C,1,2,1,0.5,0,1,0
C=CC=C,2,6,2,0.3333333333333333,0,2,0
C=CC(=C)C=C,3,11,3,0.2727272727272727,0,3,0
C=CC(=C)C(=C)C=C,4,14,4,0.2857142857142857,0,4,0
C=CC(=C)C(=C)C(=C)C=C,5,19,5,0.2631578947368421,0,5,0
C=CC=C(C(=C)C=C)C(=C)C=C,6,30,6,0.2,0,6,0
C=CC=c1c(=C)ccc(=C)c1=C,7,41,5,0.12195121951219512,1,6,0
C=CC=c1ccc(=C)c(=C)c1=CC=C,8,60,5,0.08333333333333333,1,7,0
C=CC=CC=c1ccc(=C)c(=C)c1=CC=C,9,83,5,0.060240963855421686,1,8,0
C=CC=CC=c1ccc(=CC=C)c(=C)c1=CC=C,10,110,5,0.045454545454545456,1,9,0
C=CC=CC=c1ccc(=CC(=C)C=C)c(=C)c1=CC=C,11,127,6,0.047244094488188976,1,10,0
C=CC=c1c(=CC=CC(=C)C=C)ccc(=CC(=C)C=C)c1=C,12,145,7,0.04827586206896552,1,11,0
C=CC=CC(=C)C=c1ccc(=CC=CC(=C)C=C)c(=CC=C)c1=C,13,180,8,0.044444444444444446,1,12,0
C=CC=CC(=C)C=c1ccc2c(C=CC(=C)C=C)cccc2c1=C,14,162,7,0.043209876543209874,2,12,0
C=CC=CC(=C)C=c1ccc2c(ccc3cc(C=C)ccc32)c1=C,15,145,6,0.041379310344827586,3,12,0
C=CC(=C)C=CC(=C)C=c1ccc2c(ccc3cc(C=C)ccc32)c1=C,16,164,7,0.042682926829268296,3,13,0
C=CC=C(C=C)C=CC(=C)C=c1ccc2c(ccc3cc(C=C)ccc32)c1=C,17,201,11,0.05472636815920398,3,14,0
C=CC(=C)C=C(C=C)C=CC(=C)C=c1ccc2c(ccc3cc(C=C)ccc32)c1=C,18,223,9,0.04035874439461883,3,15,0
C=CC=Cc1ccc2c(ccc3c(=C)c(=CC(=C)C=CC(C=C)=CC(=C)C=C)ccc32)c1,19,266,10,0.03759398496240601,3,16,0
C=CC=Cc1ccc2c(ccc3c4ccc(C=CC(C=C)=CC(=C)C=C)cc4ccc23)c1,20,265,9,0.033962264150943396,4,16,0
C=CC=CC(=C)C=C(C=C)C=Cc1ccc2c(ccc3c4ccc(C=CC=C)cc4ccc23)c1,21,312,12,0.038461538461538464,4,17,0
C=CC=CC(=C)C=C(C=C)C=Cc1ccc2c(ccc3c4ccc(C(C=C)=CC=C)cc4ccc23)c1,22,338,13,0.038461538461538464,4,18,0
C=CC=CC(=C)C=C(C=C)C=C(C=C)c1ccc2c(ccc3c4ccc(C(C=C)=CC=C)cc4ccc23)c1,23,365,12,0.03287671232876712,4,19,0
C=CC=C(C=C)c1ccc2c(ccc3c4ccc(C(C=C)=Cc5ccc(=CC=C)c(=C)c5)cc4ccc23)c1,24,339,10,0.029498525073746312,5,19,0
C=CC=C(C=C)c1ccc2c(ccc3c4ccc(-c5ccc6c(=C)c(=CC=C)ccc6c5)cc4ccc23)c1,25,313,9,0.02875399361022364,6,19,0
C=CC=c1ccc2cc(-c3ccc4c(ccc5c6ccc(-c7ccccc7)cc6ccc45)c3)ccc2c1=C,26,268,7,0.026119402985074626,7,19,0
C=CC(C=C)=c1ccc2cc(-c3ccc4c(ccc5c6ccc(-c7ccccc7)cc6ccc45)c3)ccc2c1=C,27,249,5,0.020080321285140562,7,20,0
C=CC(C=C)=c1ccc2cc(-c3ccc4c(ccc5c6ccc(-c7ccc(C=C)cc7)cc6ccc45)c3)ccc2c1=C,28,272,6,0.022058823529411766,7,21,0
C=CC=CC(C=C)=c1ccc2cc(-c3ccc4c(ccc5c6ccc(-c7ccc(C=C)cc7)cc6ccc45)c3)ccc2c1=C,29,368,6,0.016304347826086956,7,22,0
C=CC=CC(C=C)=c1ccc2cc(-c3ccc4c(ccc5c6ccc(-c7ccc(C(=C)C=C)cc7)cc6ccc45)c3)ccc2c1=C,30,396,7,0.017676767676767676,7,23,0
C=CC=CC(=C)c1ccc(-c2ccc3c(ccc4c5ccc(-c6ccc7c(=C)c(=C(C=C)C=CC=C)ccc7c6)cc5ccc34)c2)cc1,31,453,10,0.02207505518763797,7,24,0
C=CC=CC(C=C)=c1ccc2cc(-c3ccc4c(ccc5c6ccc(-c7ccc(-c8ccccc8)cc7)cc6ccc45)c3)ccc2c1=C,32,398,7,0.017587939698492462,8,24,0
C=c1ccccc1=c1ccc2cc(-c3ccc4c(ccc5c6ccc(-c7ccc(-c8ccccc8)cc7)cc6ccc45)c3)ccc2c1=C,33,371,6,0.016172506738544475,9,24,0
c1ccc(-c2ccc(-c3ccc4c(ccc5c6ccc(-c7ccc8c(ccc9c%10ccccc%10ccc89)c7)cc6ccc45)c3)cc2)cc1,34,370,5,0.013513513513513514,10,24,0
C=Cc1ccc(-c2ccc(-c3ccc4c(ccc5c6ccc(-c7ccc8c(ccc9c%10ccccc%10ccc89)c7)cc6ccc45)c3)cc2)cc1,35,398,5,0.01256281407035176,10,25,0
C=Cc1ccc(-c2ccc(-c3ccc4c(ccc5c6ccc(-c7ccc8c(ccc9c%10ccccc%10ccc89)c7)cc6ccc45)c3)cc2)c(C=C)c1,36,484,4,0.008264462809917356,10,26,0
C=Cc1ccc2c(ccc3cc(-c4ccc5c(ccc6c7ccc(-c8ccc9c(ccc%10c%11ccccc%11ccc9%10)c8)cc7ccc56)c4)ccc32)c1,37,513,3,0.005847953216374269,11,26,0
C=Cc1ccc2c(ccc3cc(-c4ccc5c(ccc6c7ccc(-c8ccc9c(ccc%10c%11ccc(C=C)cc%11ccc9%10)c8)cc7ccc56)c4)ccc32)c1,38,547,4,0.007312614259597806,11,27,0
C=Cc1ccc2c(ccc3c4ccc(-c5ccc6c(ccc7c8ccc(-c9ccc%10c(ccc%11c(C=C)c(C=C)ccc%11%10)c9)cc8ccc67)c5)cc4ccc23)c1,39,580,4,0.006896551724137931,11,28,0
