SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,2,1,0.5,0,0,0
C=C,1,2,1,0.5,0,1,0
C=CC=C,2,6,2,0.3333333333333333,0,2,0
C=CC=CC=C,3,12,4,0.3333333333333333,0,3,0
C=CC=CC(=C)C=C,4,30,9,0.3,0,4,0
C=CC=CC(=C)C=CC=C,5,27,7,0.25925925925925924,0,5,0
C=CC=c1ccccc1=C,6,39,9,0.23076923076923078,1,5,0
C=CC=c1cc(C=C)ccc1=C,7,50,9,0.18,1,6,0
C=CC=c1cc(C=C)c(C=C)cc1=C,8,61,10,0.16393442622950818,1,7,0
C=CC(C=C)=c1cc(C=C)c(C=C)cc1=C,9,54,8,0.14814814814814814,1,8,0
C=CC(=C)c1cc(=C(C=C)C=C)c(=C)cc1C=C,10,65,7,0.1076923076923077,1,9,0
C=CC=C(C=C)c1cc(=C(C=C)C=C)c(=C)cc1C=C,11,88,9,0.10227272727272728,1,10,0
C=CC(C=C)=c1cc2c(C=C)c(C=C)ccc2cc1=C,12,76,6,0.07894736842105263,2,10,0
C=CC(C=C)=c1cc2c(ccc3ccccc32)cc1=C,13,75,5,0.06666666666666667,3,10,0
C=Cc1cccc2cc3ccc4ccccc4c3cc12,14,97,4,0.041237113402061855,4,10,0
C=Cc1ccc2ccc3cc4cccc(C=C)c4cc3c2c1,15,113,5,0.04424778761061947,4,11,0
C=Cc1ccc2ccc3cc4ccc(C=C)c(C=C)c4cc3c2c1,16,129,6,0.046511627906976744,4,12,0
C=CC=Cc1c(C=C)ccc2cc3ccc4ccc(C=C)cc4c3cc12,17,162,7,0.043209876543209874,4,13,0
C=CC=Cc1c(C=C)ccc2cc3ccc4ccc(C(=C)C=C)cc4c3cc12,18,181,8,0.04419889502762431,4,14,0
C=CC=CC(=C)c1ccc2ccc3cc4ccc(C=C)c(C=CC=C)c4cc3c2c1,19,220,11,0.05,4,15,0
C=CC=CC=Cc1c(C=C)ccc2cc3ccc4ccc(C(=C)C=CC=C)cc4c3cc12,20,263,14,0.053231939163498096,4,16,0
C=CC=CC(=C)c1ccc2ccc3cc4ccc5ccc(C=CC=C)cc5c4cc3c2c1,21,242,13,0.05371900826446281,5,16,0
C=CC=CC(=C)c1ccc2ccc3cc4ccc5cc(C=C)c(C=CC=C)cc5c4cc3c2c1,22,265,13,0.04905660377358491,5,17,0
C=CC=CC(=C)c1ccc2ccc3cc4ccc5cc6ccc(C=C)cc6cc5c4cc3c2c1,23,244,9,0.036885245901639344,6,17,0
C=CC=CC(=CC=C)c1ccc2ccc3cc4ccc5cc6ccc(C=C)cc6cc5c4cc3c2c1,24,289,13,0.04498269896193772,6,18,0
C=Cc1cccc(-c2ccc3ccc4cc5ccc6cc7ccc(C=C)cc7cc6c5cc4c3c2)c1,25,267,6,0.02247191011235955,7,18,0
C=CC=Cc1cccc(-c2ccc3ccc4cc5ccc6cc7ccc(C=C)cc7cc6c5cc4c3c2)c1,26,314,8,0.025477707006369428,7,19,0
C=CC=CC=Cc1cccc(-c2ccc3ccc4cc5ccc6cc7ccc(C=C)cc7cc6c5cc4c3c2)c1,27,365,9,0.024657534246575342,7,20,0
C=CC(=C)C=CC=Cc1cccc(-c2ccc3ccc4cc5ccc6cc7ccc(C=C)cc7cc6c5cc4c3c2)c1,28,394,9,0.02284263959390863,7,21,0
C=CC(=C)C(=C)C=CC=Cc1cccc(-c2ccc3ccc4cc5ccc6cc7ccc(C=C)cc7cc6c5cc4c3c2)c1,29,423,8,0.018912529550827423,7,22,0
C=CC=C(C=C)C(=C)C=CC=Cc1cccc(-c2ccc3ccc4cc5ccc6cc7ccc(C=C)cc7cc6c5cc4c3c2)c1,30,482,11,0.022821576763485476,7,23,0
C=CC(C=C)=C(C=C)C(=C)C=CC=Cc1cccc(-c2ccc3ccc4cc5ccc6cc7ccc(C=C)cc7cc6c5cc4c3c2)c1,31,455,9,0.01978021978021978,7,24,0
C=CC=Cc1ccc2cc3ccc4cc5ccc6ccc(-c7cccc(C=CC=CC(=C)C(C=C)=C(C=C)C=C)c7)cc6c5cc4c3cc2c1,32,516,12,0.023255813953488372,7,25,0
C=CC=Cc1ccc2cc3ccc4cc5ccc6ccc(-c7cc(C=CC=CC(=C)C(C=C)=C(C=C)C=C)ccc7C=C)cc6c5cc4c3cc2c1,33,549,11,0.020036429872495445,7,26,0
C=CC=CC(C=C)=C(C=C)C(=C)C=CC=Cc1ccc(C=C)c(-c2ccc3ccc4cc5ccc6cc7ccc(C=CC=C)cc7cc6c5cc4c3c2)c1,34,685,14,0.020437956204379562,7,27,0
C=CC=CC(C=C)=C(C=C)C(=C)C=CC=Cc1ccc2ccc3cc4ccc5cc6ccc7cc8ccc(C=CC=C)cc8cc7c6cc5c4cc3c2c1,35,649,13,0.020030816640986132,8,27,0
C=CC=CC(C=C)=C(C=C)C(=C)C=CC=Cc1ccc2ccc3cc4ccc5cc6ccc7cc8ccc(C=C(C=C)C=C)cc8cc7c6cc5c4cc3c2c1,36,618,11,0.01779935275080906,8,28,0
C=CC=CC(C=C)=c1ccc2cc3ccc4cc5ccc6cc7ccc8cc9ccc(C=C(C=C)C=C)cc9cc8c7cc6c5cc4c3cc2ccccc1=C,37,584,10,0.017123287671232876,9,28,0
C=CC=Cc1cccc2ccccc3cc4c(ccc5cc6ccc7cc8ccc9cc%10ccc(C=C(C=C)C=C)cc%10cc9c8cc7c6cc54)cc3ccc12,38,583,9,0.015437392795883362,10,28,0
C=CC(=C)C=Cc1cccc2ccccc3cc4c(ccc5cc6ccc7cc8ccc9cc%10ccc(C=C(C=C)C=C)cc%10cc9c8cc7c6cc54)cc3ccc12,39,619,10,0.01615508885298869,10,29,0
C=CC(=C)C(C=C)=Cc1cccc2ccccc3cc4c(ccc5cc6ccc7cc8ccc9cc%10ccc(C=C(C=C)C=C)cc%10cc9c8cc7c6cc54)cc3ccc12,40,655,12,0.0183206106870229,10,30,0
